File.......:  cell3ppochloranilliftfsi - OCT,05.2021

System.....:  
Potential..:  -0.006V
Current....:  -9.0503nA
Temperature:  -0.7 +-0.0 C
Time.......:  15:59:38 - 16:00:25
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.3181e+01       -9.4169e+02        0.998           0.0
   2      7.5549e+05       4.6346e+01       -1.2609e+03        0.997           1.3
   3      5.7077e+05       1.1788e+02       -1.6447e+03        0.998           2.1
   4      4.3121e+05       2.3947e+02       -2.1424e+03        0.997           3.1
   5      3.2578e+05       4.0615e+02       -2.7940e+03        0.997           3.8
   6      2.4612e+05       6.5604e+02       -3.6117e+03        0.999           4.2
   7      1.8594e+05       1.0536e+03       -4.6398e+03        0.998           4.6
   8      1.4048e+05       1.7306e+03       -5.9149e+03        0.997           5.1
   9      1.0613e+05       2.6663e+03       -7.3748e+03        0.999           5.5
  10      8.0180e+04       4.2680e+03       -8.9966e+03        0.999           6.2
  11      6.0575e+04       6.2942e+03       -1.0593e+04        0.999           6.9
  12      4.5764e+04       8.9462e+03       -1.1950e+04        0.999           7.3
  13      3.4574e+04       1.2076e+04       -1.2746e+04        0.999           7.8
  14      2.6121e+04       1.5352e+04       -1.2806e+04        0.999           8.3
  15      1.9734e+04       1.8423e+04       -1.2197e+04        1.000           8.7
  16      1.4909e+04       2.0986e+04       -1.1141e+04        1.000           9.2
  17      1.1263e+04       2.3012e+04       -9.9351e+03        0.999           9.6
  18      8.5095e+03       2.4538e+04       -8.8088e+03        1.000          10.1
  19      6.4288e+03       2.5708e+04       -7.9031e+03        1.000          10.5
  20      4.8569e+03       2.6655e+04       -7.2491e+03        1.000          11.0
  21      3.6694e+03       2.7471e+04       -6.8283e+03        0.999          11.4
  22      2.7722e+03       2.8228e+04       -6.7227e+03        1.000          11.9
  23      2.0944e+03       2.8997e+04       -6.8629e+03        1.000          12.4
  24      1.5823e+03       2.9820e+04       -7.2325e+03        1.000          12.8
  25      1.1954e+03       3.0720e+04       -7.8523e+03        1.000          13.3
  26      9.0311e+02       3.1752e+04       -8.6868e+03        1.000          13.8
  27      6.8229e+02       3.2929e+04       -9.7729e+03        0.999          14.2
  28      5.1546e+02       3.4290e+04       -1.1107e+04        1.000          14.7
  29      3.8943e+02       3.5912e+04       -1.2682e+04        1.000          15.2
  30      2.9421e+02       3.7778e+04       -1.4568e+04        1.000          15.7
  31      2.2227e+02       3.9975e+04       -1.6720e+04        1.000          16.1
  32      1.6793e+02       4.2506e+04       -1.9253e+04        1.000          16.5
  33      1.2687e+02       4.5458e+04       -2.2151e+04        1.000          17.0
  34      9.5846e+01       4.8911e+04       -2.5459e+04        1.000          17.5
  35      7.2411e+01       5.2912e+04       -2.9190e+04        0.999          18.1
  36      5.4092e+01       5.7558e+04       -3.3804e+04        1.000          19.5
  37      3.9533e+01       6.3528e+04       -3.9190e+04        0.999          21.7
  38      2.8174e+01       7.1096e+04       -4.6025e+04        1.000          23.5
  39      1.9503e+01       8.0909e+04       -5.4600e+04        0.999          25.1
  40      1.3058e+01       9.3781e+04       -6.5583e+04        0.999          27.0
  41      8.4196e+00       1.1091e+05       -7.9798e+04        0.999          29.1
  42      5.2123e+00       1.3391e+05       -9.8425e+04        0.999          31.8
  43      3.0979e+00       1.6492e+05       -1.2312e+05        0.999          35.2
  44      1.7783e+00       2.0616e+05       -1.5593e+05        0.999          40.2
  45      1.0000e+00       2.5930e+05       -1.9964e+05        0.999          44.7

