File.......:  cell10ppochloranilliftfsi30wt - OCT,05.2021

System.....:  
Potential..:  -0.014V
Current....:  -30.083nA
Temperature:  -0.7 +-0.2 C
Time.......:  16:01:25 - 16:02:12
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.5247e+02       -2.8600e+02        0.998           0.0
   2      7.5549e+05       4.2268e+02       -2.6475e+02        0.999           1.3
   3      5.7077e+05       4.8229e+02       -2.3468e+02        0.999           1.8
   4      4.3121e+05       5.1812e+02       -1.9536e+02        1.000           2.5
   5      3.2578e+05       5.4872e+02       -1.6256e+02        0.999           3.2
   6      2.4612e+05       5.6888e+02       -1.3294e+02        1.000           3.7
   7      1.8594e+05       5.8221e+02       -1.0888e+02        1.000           4.1
   8      1.4048e+05       5.9359e+02       -9.0060e+01        1.000           4.6
   9      1.0613e+05       5.9952e+02       -7.5387e+01        1.000           5.0
  10      8.0180e+04       6.0551e+02       -6.4578e+01        1.000           5.5
  11      6.0575e+04       6.0807e+02       -5.9997e+01        1.000           5.9
  12      4.5764e+04       6.1297e+02       -5.7185e+01        1.000           6.3
  13      3.4574e+04       6.1836e+02       -5.8089e+01        1.000           6.8
  14      2.6121e+04       6.2255e+02       -6.0839e+01        1.000           7.3
  15      1.9734e+04       6.2823e+02       -6.6421e+01        1.000           7.7
  16      1.4909e+04       6.3367e+02       -7.6089e+01        1.000           8.2
  17      1.1263e+04       6.4093e+02       -8.8394e+01        1.000           8.6
  18      8.5095e+03       6.4837e+02       -1.0511e+02        1.000           9.1
  19      6.4288e+03       6.5329e+02       -1.2586e+02        1.000           9.8
  20      4.8569e+03       6.6560e+02       -1.5255e+02        1.000          10.5
  21      3.6694e+03       6.8129e+02       -1.8499e+02        1.000          10.9
  22      2.7722e+03       7.0008e+02       -2.2645e+02        1.000          11.4
  23      2.0944e+03       7.2388e+02       -2.7727e+02        1.000          11.8
  24      1.5823e+03       7.5355e+02       -3.3939e+02        0.999          12.3
  25      1.1954e+03       7.9013e+02       -4.1570e+02        0.999          12.8
  26      9.0311e+02       8.3666e+02       -5.0823e+02        0.999          13.2
  27      6.8229e+02       8.9357e+02       -6.2074e+02        0.999          13.7
  28      5.1546e+02       9.6405e+02       -7.5702e+02        0.999          14.1
  29      3.8943e+02       1.0534e+03       -9.2120e+02        0.999          14.6
  30      2.9421e+02       1.1627e+03       -1.1192e+03        0.998          15.1
  31      2.2227e+02       1.2991e+03       -1.3564e+03        0.999          15.5
  32      1.6793e+02       1.4652e+03       -1.6410e+03        0.999          16.0
  33      1.2687e+02       1.6699e+03       -1.9811e+03        0.998          16.4
  34      9.5846e+01       1.9228e+03       -2.3868e+03        0.998          17.0
  35      7.2411e+01       2.2320e+03       -2.8654e+03        0.998          17.5
  36      5.4092e+01       2.6135e+03       -3.4565e+03        0.998          18.9
  37      3.9533e+01       3.1302e+03       -4.2154e+03        0.997          20.7
  38      2.8174e+01       3.8226e+03       -5.2081e+03        0.997          22.1
  39      1.9503e+01       4.7614e+03       -6.5217e+03        0.996          24.1
  40      1.3058e+01       6.0739e+03       -8.3185e+03        0.996          26.4
  41      8.4196e+00       7.9530e+03       -1.0821e+04        0.995          28.7
  42      5.2123e+00       1.0713e+04       -1.4378e+04        0.995          31.4
  43      3.0979e+00       1.4805e+04       -1.9419e+04        0.994          34.8
  44      1.7783e+00       2.0941e+04       -2.6595e+04        0.994          39.8
  45      1.0000e+00       2.9719e+04       -3.6421e+04        0.992          44.4

