File.......:  cell1ppochloranil0604liftfsi40wt - OCT,13.2021

System.....:  
Potential..:  0.038V
Current....:  -30.429nA
Temperature:  -0.8 +-0.1 C
Time.......:  16:07:32 - 16:08:20
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.3092e+02       -6.7963e+02        0.998           0.0
   2      7.5549e+05       2.0311e+02       -8.6782e+02        0.995           1.5
   3      5.7077e+05       2.9507e+02       -1.1049e+03        0.994           2.1
   4      4.3121e+05       4.5859e+02       -1.3685e+03        0.998           3.0
   5      3.2578e+05       6.6426e+02       -1.6974e+03        0.998           4.0
   6      2.4612e+05       9.5302e+02       -2.0748e+03        0.998           4.4
   7      1.8594e+05       1.3610e+03       -2.4922e+03        0.998           4.8
   8      1.4048e+05       1.9263e+03       -2.8966e+03        0.999           5.3
   9      1.0613e+05       2.6241e+03       -3.2503e+03        0.998           5.7
  10      8.0180e+04       3.4498e+03       -3.4794e+03        0.999           6.2
  11      6.0575e+04       4.3398e+03       -3.5229e+03        0.999           6.6
  12      4.5764e+04       5.2026e+03       -3.3655e+03        1.000           7.1
  13      3.4574e+04       5.9587e+03       -3.0907e+03        0.999           7.5
  14      2.6121e+04       6.5721e+03       -2.6876e+03        0.999           8.2
  15      1.9734e+04       7.0253e+03       -2.3187e+03        0.999           8.9
  16      1.4909e+04       7.3570e+03       -1.9798e+03        1.000           9.4
  17      1.1263e+04       7.6041e+03       -1.6999e+03        1.000           9.8
  18      8.5095e+03       7.7914e+03       -1.4842e+03        1.000          10.3
  19      6.4288e+03       7.9413e+03       -1.3319e+03        1.000          10.7
  20      4.8569e+03       8.0727e+03       -1.2355e+03        1.000          11.2
  21      3.6694e+03       8.2000e+03       -1.1745e+03        1.000          11.6
  22      2.7722e+03       8.3215e+03       -1.1780e+03        1.000          12.1
  23      2.0944e+03       8.4511e+03       -1.2229e+03        1.000          12.6
  24      1.5823e+03       8.5925e+03       -1.3093e+03        1.000          13.0
  25      1.1954e+03       8.7492e+03       -1.4440e+03        1.000          13.5
  26      9.0311e+02       8.9299e+03       -1.6201e+03        1.000          13.9
  27      6.8229e+02       9.1357e+03       -1.8489e+03        1.000          14.4
  28      5.1546e+02       9.3743e+03       -2.1330e+03        1.000          14.9
  29      3.8943e+02       9.6588e+03       -2.4721e+03        1.000          15.3
  30      2.9421e+02       9.9855e+03       -2.8889e+03        1.000          15.8
  31      2.2227e+02       1.0377e+04       -3.3789e+03        1.000          16.2
  32      1.6793e+02       1.0833e+04       -3.9733e+03        1.000          16.7
  33      1.2687e+02       1.1375e+04       -4.6766e+03        1.000          17.2
  34      9.5846e+01       1.2024e+04       -5.5054e+03        1.000          17.7
  35      7.2411e+01       1.2795e+04       -6.4743e+03        1.000          18.3
  36      5.4092e+01       1.3738e+04       -7.6742e+03        0.999          19.7
  37      3.9533e+01       1.4969e+04       -9.1766e+03        0.999          21.4
  38      2.8174e+01       1.6602e+04       -1.1108e+04        0.999          22.8
  39      1.9503e+01       1.8798e+04       -1.3618e+04        0.999          24.4
  40      1.3058e+01       2.1802e+04       -1.6937e+04        0.999          26.3
  41      8.4196e+00       2.6012e+04       -2.1368e+04        0.999          28.4
  42      5.2123e+00       3.1981e+04       -2.7342e+04        0.999          31.1
  43      3.0979e+00       4.0473e+04       -3.5354e+04        0.998          34.4
  44      1.7783e+00       5.2418e+04       -4.6011e+04        0.998          41.2
  45      1.0000e+00       6.8406e+04       -5.9847e+04        0.998          45.7

