File.......:  cell1 - OCT,15.2021

System.....:  
Potential..:  0.105V
Current....:  -106.16nA
Temperature:  -0.7 +-0.1 C
Time.......:  15:14:19 - 15:15:05
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.1811e+02       -6.0357e+02        0.997           0.0
   2      7.5549e+05       3.3476e+02       -7.3315e+02        0.998           1.3
   3      5.7077e+05       4.7551e+02       -8.8973e+02        0.995           1.8
   4      4.3121e+05       6.9842e+02       -9.7231e+02        0.998           2.8
   5      3.2578e+05       9.3870e+02       -1.0606e+03        0.998           3.7
   6      2.4612e+05       1.2114e+03       -1.1053e+03        0.999           4.1
   7      1.8594e+05       1.4881e+03       -1.0901e+03        0.999           4.6
   8      1.4048e+05       1.7457e+03       -1.0208e+03        0.999           5.0
   9      1.0613e+05       1.9673e+03       -9.1712e+02        1.000           5.5
  10      8.0180e+04       2.1420e+03       -7.9460e+02        0.999           5.9
  11      6.0575e+04       2.2676e+03       -6.7126e+02        1.000           6.4
  12      4.5764e+04       2.3605e+03       -5.5923e+02        1.000           6.8
  13      3.4574e+04       2.4277e+03       -4.6445e+02        1.000           7.3
  14      2.6121e+04       2.4752e+03       -3.8735e+02        1.000           7.7
  15      1.9734e+04       2.5111e+03       -3.2905e+02        1.000           8.2
  16      1.4909e+04       2.5386e+03       -2.8770e+02        1.000           8.6
  17      1.1263e+04       2.5638e+03       -2.6012e+02        1.000           9.1
  18      8.5095e+03       2.5851e+03       -2.4582e+02        1.000           9.5
  19      6.4288e+03       2.6074e+03       -2.4350e+02        1.000          10.0
  20      4.8569e+03       2.6310e+03       -2.5084e+02        1.000          10.5
  21      3.6694e+03       2.6574e+03       -2.6372e+02        1.000          10.9
  22      2.7722e+03       2.6859e+03       -2.9153e+02        1.000          11.4
  23      2.0944e+03       2.7190e+03       -3.2920e+02        1.000          11.8
  24      1.5823e+03       2.7575e+03       -3.7760e+02        1.000          12.3
  25      1.1954e+03       2.8023e+03       -4.4114e+02        1.000          12.8
  26      9.0311e+02       2.8551e+03       -5.1846e+02        1.000          13.2
  27      6.8229e+02       2.9169e+03       -6.1477e+02        1.000          13.7
  28      5.1546e+02       2.9905e+03       -7.3261e+02        1.000          14.1
  29      3.8943e+02       3.0805e+03       -8.7383e+02        1.000          14.6
  30      2.9421e+02       3.1873e+03       -1.0472e+03        1.000          15.1
  31      2.2227e+02       3.3179e+03       -1.2540e+03        1.000          15.5
  32      1.6793e+02       3.4756e+03       -1.5060e+03        1.000          16.0
  33      1.2687e+02       3.6686e+03       -1.8079e+03        1.000          16.4
  34      9.5846e+01       3.9070e+03       -2.1668e+03        0.999          17.0
  35      7.2411e+01       4.1998e+03       -2.5906e+03        0.999          17.5
  36      5.4092e+01       4.5598e+03       -3.1186e+03        0.999          18.9
  37      3.9533e+01       5.0539e+03       -3.7840e+03        0.999          20.7
  38      2.8174e+01       5.7212e+03       -4.6342e+03        0.999          22.5
  39      1.9503e+01       6.6515e+03       -5.7384e+03        0.999          24.5
  40      1.3058e+01       7.9582e+03       -7.1765e+03        0.999          26.3
  41      8.4196e+00       9.8173e+03       -9.0489e+03        0.998          28.5
  42      5.2123e+00       1.2461e+04       -1.1482e+04        0.998          31.1
  43      3.0979e+00       1.6170e+04       -1.4608e+04        0.998          34.4
  44      1.7783e+00       2.1213e+04       -1.8625e+04        0.998          39.4
  45      1.0000e+00       2.7924e+04       -2.3650e+04        0.998          44.0

