File.......:  cell10 - OCT,16.2021

System.....:  
Potential..:  -0.063V
Current....:  -19.697nA
Temperature:  -0.8 +-0.1 C
Time.......:  14:20:06 - 14:20:54
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.8532e+02       -6.8465e+02        0.997           0.0
   2      7.5549e+05       2.9594e+02       -8.6145e+02        0.998           1.3
   3      5.7077e+05       4.2600e+02       -1.0849e+03        0.998           1.8
   4      4.3121e+05       6.7676e+02       -1.2536e+03        0.998           2.8
   5      3.2578e+05       9.6061e+02       -1.4496e+03        0.999           3.7
   6      2.4612e+05       1.3243e+03       -1.6110e+03        0.999           4.1
   7      1.8594e+05       1.7423e+03       -1.7031e+03        0.999           4.6
   8      1.4048e+05       2.1831e+03       -1.6998e+03        0.999           5.0
   9      1.0613e+05       2.6010e+03       -1.6002e+03        0.999           5.5
  10      8.0180e+04       2.9576e+03       -1.4325e+03        0.999           5.9
  11      6.0575e+04       3.2282e+03       -1.2365e+03        1.000           6.4
  12      4.5764e+04       3.4311e+03       -1.0324e+03        1.000           6.8
  13      3.4574e+04       3.5739e+03       -8.5247e+02        1.000           7.3
  14      2.6121e+04       3.6701e+03       -6.9714e+02        1.000           7.7
  15      1.9734e+04       3.7383e+03       -5.7273e+02        1.000           8.2
  16      1.4909e+04       3.7863e+03       -4.8060e+02        1.000           8.6
  17      1.1263e+04       3.8259e+03       -4.1219e+02        1.000           9.1
  18      8.5095e+03       3.8553e+03       -3.6710e+02        1.000           9.5
  19      6.4288e+03       3.8840e+03       -3.4323e+02        1.000          10.0
  20      4.8569e+03       3.9121e+03       -3.3513e+02        1.000          10.5
  21      3.6694e+03       3.9430e+03       -3.3560e+02        1.000          10.9
  22      2.7722e+03       3.9757e+03       -3.5785e+02        1.000          11.4
  23      2.0944e+03       4.0127e+03       -3.9431e+02        1.000          11.8
  24      1.5823e+03       4.0551e+03       -4.4517e+02        1.000          12.3
  25      1.1954e+03       4.1037e+03       -5.1600e+02        1.000          12.8
  26      9.0311e+02       4.1602e+03       -6.0430e+02        1.000          13.2
  27      6.8229e+02       4.2257e+03       -7.1733e+02        1.000          13.7
  28      5.1546e+02       4.3020e+03       -8.5862e+02        1.000          14.1
  29      3.8943e+02       4.3952e+03       -1.0304e+03        1.000          14.6
  30      2.9421e+02       4.5027e+03       -1.2472e+03        1.000          15.1
  31      2.2227e+02       4.6330e+03       -1.5105e+03        1.000          15.5
  32      1.6793e+02       4.7863e+03       -1.8420e+03        1.000          16.0
  33      1.2687e+02       4.9715e+03       -2.2508e+03        1.000          16.4
  34      9.5846e+01       5.1982e+03       -2.7576e+03        1.000          17.0
  35      7.2411e+01       5.4745e+03       -3.3813e+03        1.000          17.5
  36      5.4092e+01       5.7990e+03       -4.1972e+03        0.999          19.3
  37      3.9533e+01       6.2644e+03       -5.2900e+03        0.999          21.5
  38      2.8174e+01       6.9014e+03       -6.8010e+03        0.999          22.9
  39      1.9503e+01       7.8065e+03       -8.9390e+03        0.999          24.5
  40      1.3058e+01       9.1266e+03       -1.2047e+04        0.998          26.3
  41      8.4196e+00       1.1121e+04       -1.6694e+04        0.998          28.5
  42      5.2123e+00       1.4221e+04       -2.3841e+04        0.997          31.1
  43      3.0979e+00       1.9184e+04       -3.5026e+04        0.996          34.4
  44      1.7783e+00       2.7270e+04       -5.2771e+04        0.996          39.4
  45      1.0000e+00       4.0130e+04       -8.0273e+04        0.994          46.3

8          45.3

