File.......:  cell10ppobqliftfsi30wt0915 - OCT,14.2021

System.....:  
Potential..:  0.024V
Current....:  -7.0516nA
Temperature:  -0.8 +-0.0 C
Time.......:  15:52:55 - 15:53:43
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.1681e+02       -7.5845e+02        0.998           0.0
   2      7.5549e+05       1.6858e+02       -9.8415e+02        0.999           1.5
   3      5.7077e+05       2.1977e+02       -1.2804e+03        0.999           2.1
   4      4.3121e+05       4.1501e+02       -1.5829e+03        0.998           3.0
   5      3.2578e+05       6.0819e+02       -1.9991e+03        0.998           4.0
   6      2.4612e+05       8.8607e+02       -2.5129e+03        0.998           4.4
   7      1.8594e+05       1.3033e+03       -3.1067e+03        0.999           4.8
   8      1.4048e+05       1.9062e+03       -3.7450e+03        0.998           5.3
   9      1.0613e+05       2.7312e+03       -4.4415e+03        0.998           5.7
  10      8.0180e+04       3.8403e+03       -5.0331e+03        0.998           6.2
  11      6.0575e+04       5.1225e+03       -5.3954e+03        0.999           6.6
  12      4.5764e+04       6.6071e+03       -5.4281e+03        0.999           7.3
  13      3.4574e+04       7.9695e+03       -5.1843e+03        0.999           8.0
  14      2.6121e+04       9.1531e+03       -4.6791e+03        1.000           8.5
  15      1.9734e+04       1.0077e+04       -4.0548e+03        1.000           8.9
  16      1.4909e+04       1.0756e+04       -3.4110e+03        0.999           9.4
  17      1.1263e+04       1.1233e+04       -2.8274e+03        1.000           9.8
  18      8.5095e+03       1.1560e+04       -2.3396e+03        1.000          10.3
  19      6.4288e+03       1.1788e+04       -1.9579e+03        1.000          10.7
  20      4.8569e+03       1.1955e+04       -1.6730e+03        1.000          11.2
  21      3.6694e+03       1.2097e+04       -1.4442e+03        1.000          11.6
  22      2.7722e+03       1.2209e+04       -1.3207e+03        1.000          12.1
  23      2.0944e+03       1.2320e+04       -1.2602e+03        1.000          12.6
  24      1.5823e+03       1.2430e+04       -1.2578e+03        1.000          13.0
  25      1.1954e+03       1.2547e+04       -1.3184e+03        1.000          13.5
  26      9.0311e+02       1.2682e+04       -1.4282e+03        1.000          13.9
  27      6.8229e+02       1.2832e+04       -1.5994e+03        1.000          14.4
  28      5.1546e+02       1.3006e+04       -1.8310e+03        1.000          14.9
  29      3.8943e+02       1.3213e+04       -2.1203e+03        1.000          15.3
  30      2.9421e+02       1.3447e+04       -2.4959e+03        1.000          15.8
  31      2.2227e+02       1.3729e+04       -2.9504e+03        1.000          16.2
  32      1.6793e+02       1.4059e+04       -3.5276e+03        1.000          16.7
  33      1.2687e+02       1.4445e+04       -4.2383e+03        1.000          17.2
  34      9.5846e+01       1.4908e+04       -5.1108e+03        1.000          17.7
  35      7.2411e+01       1.5454e+04       -6.1768e+03        1.000          18.3
  36      5.4092e+01       1.6120e+04       -7.5688e+03        1.000          19.7
  37      3.9533e+01       1.7011e+04       -9.4271e+03        1.000          21.4
  38      2.8174e+01       1.8206e+04       -1.1974e+04        0.999          22.8
  39      1.9503e+01       1.9868e+04       -1.5567e+04        0.999          24.4
  40      1.3058e+01       2.2224e+04       -2.0783e+04        0.999          26.3
  41      8.4196e+00       2.5731e+04       -2.8584e+04        0.999          28.4
  42      5.2123e+00       3.1131e+04       -4.0583e+04        0.999          31.1
  43      3.0979e+00       3.9717e+04       -5.9345e+04        0.998          35.0
  44      1.7783e+00       5.3745e+04       -8.8996e+04        0.998          40.6
  45      1.0000e+00       7.6156e+04       -1.3468e+05        0.998          45.3

