File.......:  cell4ppochloranil0604liftfsi40wt - OCT,14.2021

System.....:  
Potential..:  0.030V
Current....:  -4.1343nA
Temperature:  -0.8 +-0.0 C
Time.......:  15:51:08 - 15:51:57
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.6975e+01       -9.4893e+02        0.998           0.0
   2      7.5549e+05      -3.5114e+00       -1.2544e+03        0.996           1.8
   3      5.7077e+05      -2.9020e+01       -1.6502e+03        0.993           2.3
   4      4.3121e+05       8.9094e+01       -2.1642e+03        0.997           3.3
   5      3.2578e+05       1.3939e+02       -2.8382e+03        0.998           4.2
   6      2.4612e+05       2.3157e+02       -3.7019e+03        0.998           4.7
   7      1.8594e+05       3.1033e+02       -4.8701e+03        0.998           5.1
   8      1.4048e+05       4.8066e+02       -6.3700e+03        0.998           5.5
   9      1.0613e+05       6.8175e+02       -8.3123e+03        0.999           6.0
  10      8.0180e+04       1.1332e+03       -1.0881e+04        0.999           6.7
  11      6.0575e+04       1.5890e+03       -1.4176e+04        0.999           7.3
  12      4.5764e+04       2.2457e+03       -1.8472e+04        0.998           7.8
  13      3.4574e+04       3.2576e+03       -2.4074e+04        0.998           8.2
  14      2.6121e+04       4.8974e+03       -3.1300e+04        0.999           8.7
  15      1.9734e+04       7.4078e+03       -4.0616e+04        0.999           9.2
  16      1.4909e+04       1.1360e+04       -5.2374e+04        0.998           9.6
  17      1.1263e+04       1.7537e+04       -6.7171e+04        0.997          10.1
  18      8.5095e+03       2.7280e+04       -8.5097e+04        0.999          10.5
  19      6.4288e+03       4.3511e+04       -1.0554e+05        0.999          11.2
  20      4.8569e+03       6.5382e+04       -1.2774e+05        0.997          11.9
  21      3.6694e+03       9.5786e+04       -1.4912e+05        0.999          12.4
  22      2.7722e+03       1.3443e+05       -1.6548e+05        1.000          12.8
  23      2.0944e+03       1.7886e+05       -1.7293e+05        0.998          13.3
  24      1.5823e+03       2.2402e+05       -1.6947e+05        0.999          13.7
  25      1.1954e+03       2.6435e+05       -1.5683e+05        1.000          14.2
  26      9.0311e+02       2.9690e+05       -1.3852e+05        1.000          14.7
  27      6.8229e+02       3.2129e+05       -1.1878e+05        1.000          15.1
  28      5.1546e+02       3.3874e+05       -1.0051e+05        0.999          15.6
  29      3.8943e+02       3.5089e+05       -8.4986e+04        1.000          16.0
  30      2.9421e+02       3.6001e+05       -7.3178e+04        1.000          16.5
  31      2.2227e+02       3.6738e+05       -6.4747e+04        1.000          17.0
  32      1.6793e+02       3.7300e+05       -5.9347e+04        1.000          17.4
  33      1.2687e+02       3.7845e+05       -5.6882e+04        0.999          17.9
  34      9.5846e+01       3.8387e+05       -5.7227e+04        1.000          18.4
  35      7.2411e+01       3.8970e+05       -5.9379e+04        1.000          19.0
  36      5.4092e+01       3.9370e+05       -6.3354e+04        1.000          20.4
  37      3.9533e+01       4.0493e+05       -7.3518e+04        1.000          22.1
  38      2.8174e+01       4.1472e+05       -8.5281e+04        1.000          23.6
  39      1.9503e+01       4.2860e+05       -1.0309e+05        0.999          25.2
  40      1.3058e+01       4.4745e+05       -1.2913e+05        1.000          27.0
  41      8.4196e+00       4.7315e+05       -1.6777e+05        0.999          29.2
  42      5.2123e+00       5.1037e+05       -2.2539e+05        1.000          31.8
  43      3.0979e+00       5.6567e+05       -3.1309e+05        1.000          35.1
  44      1.7783e+00       6.4838e+05       -4.4667e+05        0.999          41.9
  45      1.0000e+00       7.7271e+05       -6.4856e+05        0.999          46.5

