File.......:  cell2ppocl0604liftfsi20wt - OCT,15.2021

System.....:  
Potential..:  0.045V
Current....:  -3.4064nA
Temperature:  -0.7 +-0.2 C
Time.......:  15:22:18 - 15:23:06
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.2548e+01       -8.1112e+02        0.997           0.0
   2      7.5549e+05       2.0143e+01       -1.0682e+03        0.997           1.8
   3      5.7077e+05       6.3896e+00       -1.4061e+03        0.999           2.3
   4      4.3121e+05       9.2425e+01       -1.8546e+03        0.997           3.3
   5      3.2578e+05       1.2367e+02       -2.4273e+03        0.998           4.2
   6      2.4612e+05       1.9101e+02       -3.1835e+03        0.998           4.7
   7      1.8594e+05       2.5672e+02       -4.1733e+03        0.997           5.1
   8      1.4048e+05       3.6259e+02       -5.4929e+03        0.997           5.5
   9      1.0613e+05       4.9302e+02       -7.1342e+03        0.998           6.0
  10      8.0180e+04       6.9834e+02       -9.3822e+03        0.999           6.4
  11      6.0575e+04       1.1789e+03       -1.2223e+04        0.998           7.1
  12      4.5764e+04       1.6391e+03       -1.5974e+04        0.998           7.8
  13      3.4574e+04       2.3034e+03       -2.0844e+04        0.998           8.2
  14      2.6121e+04       3.3288e+03       -2.7167e+04        0.999           8.7
  15      1.9734e+04       4.9247e+03       -3.5388e+04        0.999           9.2
  16      1.4909e+04       7.3303e+03       -4.5913e+04        0.999           9.6
  17      1.1263e+04       1.1035e+04       -5.9456e+04        0.999          10.1
  18      8.5095e+03       1.6793e+04       -7.6572e+04        0.998          10.5
  19      6.4288e+03       2.7030e+04       -9.7827e+04        0.999          11.2
  20      4.8569e+03       4.1218e+04       -1.2366e+05        0.998          11.9
  21      3.6694e+03       6.2293e+04       -1.5397e+05        0.998          12.4
  22      2.7722e+03       9.3388e+04       -1.8687e+05        0.999          12.8
  23      2.0944e+03       1.3680e+05       -2.1911e+05        1.000          13.3
  24      1.5823e+03       1.9288e+05       -2.4500e+05        0.999          13.7
  25      1.1954e+03       2.5842e+05       -2.5846e+05        0.999          14.2
  26      9.0311e+02       3.2609e+05       -2.5624e+05        1.000          14.7
  27      6.8229e+02       3.8815e+05       -2.3928e+05        0.998          15.1
  28      5.1546e+02       4.3919e+05       -2.1327e+05        0.999          15.6
  29      3.8943e+02       4.7745e+05       -1.8295e+05        0.999          16.0
  30      2.9421e+02       5.0488e+05       -1.5552e+05        0.999          16.5
  31      2.2227e+02       5.2586e+05       -1.3066e+05        0.999          17.0
  32      1.6793e+02       5.4002e+05       -1.1282e+05        1.000          17.4
  33      1.2687e+02       5.5119e+05       -9.9229e+04        1.000          17.9
  34      9.5846e+01       5.6179e+05       -9.0134e+04        1.000          18.4
  35      7.2411e+01       5.7026e+05       -8.5223e+04        1.000          19.0
  36      5.4092e+01       5.7363e+05       -7.8891e+04        1.000          20.4
  37      3.9533e+01       5.8683e+05       -8.9747e+04        1.000          22.1
  38      2.8174e+01       5.9870e+05       -9.5155e+04        0.998          23.6
  39      1.9503e+01       6.1407e+05       -1.0897e+05        0.999          25.1
  40      1.3058e+01       6.3392e+05       -1.3166e+05        1.000          27.0
  41      8.4196e+00       6.6144e+05       -1.6477e+05        0.999          29.2
  42      5.2123e+00       6.9926e+05       -2.1533e+05        1.000          32.3
  43      3.0979e+00       7.5678e+05       -2.9015e+05        1.000          36.2
  44      1.7783e+00       8.4158e+05       -4.0140e+05        1.000          41.1
  45      1.0000e+00       9.6646e+05       -5.6217e+05        0.999          45.6

