File.......:  cell3ppoclliftfsi20wt0905 - OCT,17.2021

System.....:  
Potential..:  0.018V
Current....:  -6.8987nA
Temperature:  -0.8 +-0.0 C
Time.......:  14:37:16 - 14:38:04
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.6915e+02       -7.9744e+02        0.997           0.0
   2      7.5549e+05       2.8483e+02       -1.0342e+03        0.998           1.3
   3      5.7077e+05       4.4584e+02       -1.2797e+03        0.997           1.8
   4      4.3121e+05       7.6693e+02       -1.5073e+03        0.998           2.8
   5      3.2578e+05       1.1269e+03       -1.7435e+03        0.999           3.7
   6      2.4612e+05       1.5848e+03       -1.9036e+03        0.999           4.1
   7      1.8594e+05       2.0788e+03       -1.9703e+03        0.999           4.6
   8      1.4048e+05       2.5837e+03       -1.9276e+03        0.999           5.0
   9      1.0613e+05       3.0307e+03       -1.7895e+03        0.999           5.5
  10      8.0180e+04       3.3914e+03       -1.5899e+03        0.999           5.9
  11      6.0575e+04       3.6633e+03       -1.3910e+03        1.000           6.4
  12      4.5764e+04       3.8645e+03       -1.1982e+03        1.000           6.8
  13      3.4574e+04       4.0191e+03       -1.0491e+03        1.000           7.3
  14      2.6121e+04       4.1353e+03       -9.3287e+02        1.000           7.7
  15      1.9734e+04       4.2350e+03       -8.5416e+02        1.000           8.2
  16      1.4909e+04       4.3227e+03       -8.1460e+02        1.000           8.6
  17      1.1263e+04       4.4131e+03       -8.0486e+02        1.000           9.1
  18      8.5095e+03       4.5003e+03       -8.2579e+02        1.000           9.5
  19      6.4288e+03       4.5971e+03       -8.7693e+02        1.000          10.0
  20      4.8569e+03       4.7027e+03       -9.5571e+02        1.000          10.5
  21      3.6694e+03       4.8264e+03       -1.0524e+03        1.000          10.9
  22      2.7722e+03       4.9622e+03       -1.1893e+03        1.000          11.4
  23      2.0944e+03       5.1182e+03       -1.3580e+03        1.000          11.8
  24      1.5823e+03       5.2982e+03       -1.5631e+03        1.000          12.3
  25      1.1954e+03       5.5041e+03       -1.8152e+03        1.000          12.8
  26      9.0311e+02       5.7434e+03       -2.1156e+03        0.999          13.2
  27      6.8229e+02       6.0196e+03       -2.4792e+03        1.000          13.7
  28      5.1546e+02       6.3350e+03       -2.9132e+03        1.000          14.4
  29      3.8943e+02       6.7170e+03       -3.4314e+03        0.999          15.1
  30      2.9421e+02       7.1585e+03       -4.0542e+03        1.000          15.5
  31      2.2227e+02       7.6859e+03       -4.7928e+03        1.000          16.0
  32      1.6793e+02       8.2963e+03       -5.6785e+03        0.999          16.4
  33      1.2687e+02       9.0106e+03       -6.7352e+03        0.999          16.9
  34      9.5846e+01       9.8482e+03       -8.0009e+03        0.999          17.4
  35      7.2411e+01       1.0825e+04       -9.5153e+03        0.999          18.0
  36      5.4092e+01       1.1984e+04       -1.1443e+04        0.999          19.4
  37      3.9533e+01       1.3498e+04       -1.3983e+04        0.999          21.2
  38      2.8174e+01       1.5468e+04       -1.7453e+04        0.999          22.6
  39      1.9503e+01       1.8160e+04       -2.2306e+04        0.999          24.2
  40      1.3058e+01       2.1991e+04       -2.9273e+04        0.999          26.0
  41      8.4196e+00       2.7719e+04       -3.9473e+04        0.999          28.2
  42      5.2123e+00       3.6588e+04       -5.4662e+04        0.999          30.9
  43      3.0979e+00       5.0710e+04       -7.7257e+04        0.999          34.9
  44      1.7783e+00       7.3398e+04       -1.1056e+05        0.999          40.6
  45      1.0000e+00       1.0818e+05       -1.5762e+05        0.999          45.3

