File.......:  cell2ppobqliftfsi50wt1002 - OCT,18.2021

System.....:  
Potential..:  -0.089V
Current....:  1.5324nA
Temperature:  -0.8 +-0.1 C
Time.......:  10:19:46 - 10:20:38
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.2350e+01       -9.8872e+02        0.994           0.0
   2      7.5549e+05      -3.0296e+01       -1.3178e+03        0.997           1.8
   3      5.7077e+05      -7.1849e+01       -1.7090e+03        0.998           2.3
   4      4.3121e+05       7.3305e+01       -2.2804e+03        0.997           3.3
   5      3.2578e+05       1.4056e+02       -2.9796e+03        0.997           4.2
   6      2.4612e+05       1.6943e+02       -3.9324e+03        0.998           4.7
   7      1.8594e+05       1.8796e+02       -5.1586e+03        0.998           5.1
   8      1.4048e+05       4.6204e+02       -6.8137e+03        0.996           5.6
   9      1.0613e+05       3.7794e+02       -8.8621e+03        0.997           6.1
  10      8.0180e+04       5.2642e+02       -1.1666e+04        0.998           6.5
  11      6.0575e+04       9.3645e+02       -1.5252e+04        0.998           7.2
  12      4.5764e+04       1.1524e+03       -2.0049e+04        0.999           7.9
  13      3.4574e+04       1.4500e+03       -2.6249e+04        0.999           8.4
  14      2.6121e+04       1.9900e+03       -3.4413e+04        0.998           8.9
  15      1.9734e+04       2.5265e+03       -4.5298e+04        0.999           9.3
  16      1.4909e+04       3.5005e+03       -5.9266e+04        0.997           9.8
  17      1.1263e+04       4.7764e+03       -7.7826e+04        0.997          10.2
  18      8.5095e+03       6.2928e+03       -1.0221e+05        0.997          10.7
  19      6.4288e+03       1.0673e+04       -1.3455e+05        0.999          11.4
  20      4.8569e+03       1.4347e+04       -1.7587e+05        0.999          12.1
  21      3.6694e+03       2.0218e+04       -2.3082e+05        0.998          12.6
  22      2.7722e+03       2.8707e+04       -3.0248e+05        0.998          13.1
  23      2.0944e+03       4.2252e+04       -3.9477e+05        0.997          13.5
  24      1.5823e+03       6.2758e+04       -5.1670e+05        0.998          14.0
  25      1.1954e+03       9.5451e+04       -6.7386e+05        0.996          14.5
  26      9.0311e+02       1.6796e+05       -8.7530e+05        0.997          15.2
  27      6.8229e+02       2.4847e+05       -1.1301e+06        0.997          15.9
  28      5.1546e+02       3.7466e+05       -1.4488e+06        0.998          16.4
  29      3.8943e+02       5.7021e+05       -1.8481e+06        0.999          16.9
  30      2.9421e+02       8.8477e+05       -2.3024e+06        0.999          17.3
  31      2.2227e+02       1.4040e+06       -2.8651e+06        0.999          17.8
  32      1.6793e+02       1.9977e+06       -3.3356e+06        0.999          18.2
  33      1.2687e+02       2.8755e+06       -3.7611e+06        0.987          18.7
  34      9.5846e+01       3.7764e+06       -4.3152e+06        0.997          19.3
  35      7.2411e+01       4.6932e+06       -3.9762e+06        0.998          19.9
  36      5.4092e+01       7.2613e+06       -6.0912e+06        0.985          21.3
  37      3.9533e+01       7.0495e+06       -3.6900e+06        0.991          23.9
  38      2.8174e+01       7.4506e+06       -2.3418e+06        0.962          26.1
  39      1.9503e+01       8.2154e+06       -2.1476e+06        0.969          27.7
  40      1.3058e+01       8.3292e+06       -1.5100e+06        0.990          29.6
  41      8.4196e+00       8.5528e+06       -1.1639e+06        0.979          31.8
  42      5.2123e+00       8.7300e+06       -9.3763e+05        0.995          34.4
  43      3.0979e+00       8.8729e+06       -7.8150e+05        1.000          37.7
  44      1.7783e+00       8.9981e+06       -7.6128e+05        1.000          44.5
  45      1.0000e+00       9.1696e+06       -8.1098e+05        0.998          49.1

