File.......:  cell1ppoclliftfsi30wt1018 - OCT,19.2021

System.....:  
Potential..:  0.059V
Current....:  -45.387nA
Temperature:  -0.7 +-0.1 C
Time.......:  17:31:43 - 17:32:30
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.3016e+02       -5.7524e+02        0.998           0.0
   2      7.5549e+05       3.3840e+02       -6.9615e+02        0.999           1.3
   3      5.7077e+05       4.7491e+02       -8.3684e+02        0.995           1.8
   4      4.3121e+05       6.8526e+02       -9.1861e+02        0.999           2.8
   5      3.2578e+05       9.1184e+02       -9.9776e+02        0.999           3.7
   6      2.4612e+05       1.1626e+03       -1.0383e+03        0.999           4.2
   7      1.8594e+05       1.4214e+03       -1.0318e+03        0.999           4.6
   8      1.4048e+05       1.6628e+03       -9.7506e+02        0.999           5.1
   9      1.0613e+05       1.8613e+03       -8.8175e+02        0.999           5.6
  10      8.0180e+04       2.0247e+03       -7.8082e+02        1.000           6.0
  11      6.0575e+04       2.1513e+03       -6.7831e+02        1.000           6.5
  12      4.5764e+04       2.2466e+03       -5.8855e+02        1.000           6.9
  13      3.4574e+04       2.3204e+03       -5.1455e+02        1.000           7.4
  14      2.6121e+04       2.3779e+03       -4.5980e+02        1.000           7.9
  15      1.9734e+04       2.4276e+03       -4.2165e+02        1.000           8.3
  16      1.4909e+04       2.4719e+03       -4.0158e+02        1.000           8.8
  17      1.1263e+04       2.5167e+03       -3.9665e+02        1.000           9.2
  18      8.5095e+03       2.5608e+03       -4.0637e+02        1.000           9.7
  19      6.4288e+03       2.6090e+03       -4.3090e+02        1.000          10.2
  20      4.8569e+03       2.6622e+03       -4.6747e+02        1.000          10.7
  21      3.6694e+03       2.7246e+03       -5.1354e+02        1.000          11.1
  22      2.7722e+03       2.7935e+03       -5.7829e+02        1.000          11.6
  23      2.0944e+03       2.8733e+03       -6.5697e+02        1.000          12.1
  24      1.5823e+03       2.9663e+03       -7.5140e+02        1.000          12.6
  25      1.1954e+03       3.0736e+03       -8.6534e+02        0.999          13.0
  26      9.0311e+02       3.1984e+03       -9.9785e+02        0.999          13.5
  27      6.8229e+02       3.3426e+03       -1.1548e+03        0.999          14.0
  28      5.1546e+02       3.5101e+03       -1.3377e+03        1.000          14.4
  29      3.8943e+02       3.7073e+03       -1.5481e+03        1.000          14.9
  30      2.9421e+02       3.9330e+03       -1.7943e+03        1.000          15.4
  31      2.2227e+02       4.1976e+03       -2.0769e+03        1.000          15.9
  32      1.6793e+02       4.5001e+03       -2.4085e+03        0.999          16.3
  33      1.2687e+02       4.8500e+03       -2.7935e+03        0.999          16.8
  34      9.5846e+01       5.2565e+03       -3.2404e+03        0.999          17.3
  35      7.2411e+01       5.7280e+03       -3.7594e+03        0.999          17.9
  36      5.4092e+01       6.2649e+03       -4.3986e+03        0.999          19.7
  37      3.9533e+01       6.9666e+03       -5.2069e+03        0.999          21.9
  38      2.8174e+01       7.8723e+03       -6.2565e+03        0.999          23.3
  39      1.9503e+01       9.0617e+03       -7.6505e+03        0.999          24.9
  40      1.3058e+01       1.0668e+04       -9.5397e+03        0.999          26.8
  41      8.4196e+00       1.2906e+04       -1.2155e+04        0.998          29.0
  42      5.2123e+00       1.6108e+04       -1.5825e+04        0.998          31.6
  43      3.0979e+00       2.0775e+04       -2.0983e+04        0.998          34.9
  44      1.7783e+00       2.7610e+04       -2.8157e+04        0.998          39.9
  45      1.0000e+00       3.7273e+04       -3.7784e+04        0.998          44.5

