File.......:  cell4ppobqliftfsi40w1020 - OCT,22.2021

System.....:  
Potential..:  -0.006V
Current....:  -356.25pA
Temperature:  -0.7 +-0.2 C
Time.......:  10:37:04 - 10:37:51
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.0484e+02       -8.7697e+02        0.996           0.0
   2      7.5549e+05       1.8007e+02       -1.1488e+03        0.998           1.5
   3      5.7077e+05       2.4511e+02       -1.4909e+03        0.995           2.1
   4      4.3121e+05       5.5393e+02       -1.8633e+03        0.998           3.0
   5      3.2578e+05       8.6470e+02       -2.3266e+03        0.998           4.0
   6      2.4612e+05       1.3363e+03       -2.8179e+03        0.999           4.4
   7      1.8594e+05       1.9951e+03       -3.3180e+03        0.999           4.8
   8      1.4048e+05       2.8276e+03       -3.7071e+03        0.998           5.3
   9      1.0613e+05       3.8032e+03       -3.9352e+03        0.999           5.7
  10      8.0180e+04       4.8379e+03       -3.9330e+03        0.999           6.2
  11      6.0575e+04       5.7494e+03       -3.7022e+03        0.999           6.6
  12      4.5764e+04       6.5267e+03       -3.3248e+03        0.999           7.1
  13      3.4574e+04       7.1495e+03       -2.8928e+03        1.000           7.8
  14      2.6121e+04       7.5822e+03       -2.5202e+03        1.000           8.5
  15      1.9734e+04       7.9011e+03       -2.2220e+03        1.000           8.9
  16      1.4909e+04       8.1474e+03       -2.0064e+03        1.000           9.4
  17      1.1263e+04       8.3462e+03       -1.8798e+03        1.000           9.8
  18      8.5095e+03       8.5232e+03       -1.8395e+03        1.000          10.3
  19      6.4288e+03       8.6977e+03       -1.8862e+03        1.000          10.7
  20      4.8569e+03       8.8784e+03       -2.0120e+03        1.000          11.2
  21      3.6694e+03       9.0882e+03       -2.2068e+03        1.000          11.6
  22      2.7722e+03       9.3167e+03       -2.5078e+03        1.000          12.1
  23      2.0944e+03       9.5823e+03       -2.9053e+03        1.000          12.6
  24      1.5823e+03       9.8928e+03       -3.4142e+03        1.000          13.0
  25      1.1954e+03       1.0257e+04       -4.0614e+03        1.000          13.5
  26      9.0311e+02       1.0701e+04       -4.8617e+03        1.000          13.9
  27      6.8229e+02       1.1228e+04       -5.8554e+03        1.000          14.4
  28      5.1546e+02       1.1859e+04       -7.0800e+03        1.000          14.9
  29      3.8943e+02       1.2632e+04       -8.5802e+03        1.000          15.3
  30      2.9421e+02       1.3558e+04       -1.0431e+04        1.000          15.8
  31      2.2227e+02       1.4704e+04       -1.2695e+04        0.999          16.2
  32      1.6793e+02       1.6094e+04       -1.5482e+04        0.999          16.7
  33      1.2687e+02       1.7820e+04       -1.8894e+04        0.999          17.2
  34      9.5846e+01       1.9986e+04       -2.3066e+04        0.999          17.7
  35      7.2411e+01       2.2715e+04       -2.8115e+04        0.999          18.3
  36      5.4092e+01       2.6215e+04       -3.4459e+04        0.999          19.7
  37      3.9533e+01       3.1070e+04       -4.2799e+04        0.999          21.4
  38      2.8174e+01       3.7960e+04       -5.3771e+04        0.999          22.8
  39      1.9503e+01       4.7794e+04       -6.8367e+04        0.999          24.8
  40      1.3058e+01       6.2071e+04       -8.8011e+04        0.999          27.1
  41      8.4196e+00       8.2965e+04       -1.1465e+05        0.999          29.3
  42      5.2123e+00       1.1366e+05       -1.5117e+05        0.999          32.0
  43      3.0979e+00       1.5857e+05       -2.0143e+05        1.000          35.3
  44      1.7783e+00       2.2336e+05       -2.7092e+05        0.999          40.3
  45      1.0000e+00       3.1281e+05       -3.6565e+05        1.000          45.0

