File.......:  cell4ppoclliftfsi50wt - OCT,25.2021

System.....:  
Potential..:  -0.004V
Current....:  -11.86nA
Temperature:  -0.7 +-0.2 C
Time.......:  10:31:37 - 10:32:26
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       6.8582e+01       -8.3476e+02        0.998           0.0
   2      7.5549e+05       1.2566e+02       -1.0945e+03        0.996           1.5
   3      5.7077e+05       1.8264e+02       -1.4250e+03        0.998           2.1
   4      4.3121e+05       4.0463e+02       -1.8093e+03        0.998           3.0
   5      3.2578e+05       6.3969e+02       -2.3032e+03        0.997           4.0
   6      2.4612e+05       9.8098e+02       -2.9118e+03        0.998           4.4
   7      1.8594e+05       1.5347e+03       -3.5754e+03        0.995           4.9
   8      1.4048e+05       2.2994e+03       -4.3061e+03        0.999           5.4
   9      1.0613e+05       3.3496e+03       -4.9086e+03        0.998           5.8
  10      8.0180e+04       4.6750e+03       -5.3617e+03        0.997           6.3
  11      6.0575e+04       6.0931e+03       -5.4597e+03        0.998           6.7
  12      4.5764e+04       7.5231e+03       -5.2039e+03        0.999           7.4
  13      3.4574e+04       8.7331e+03       -4.7121e+03        1.000           8.1
  14      2.6121e+04       9.6777e+03       -4.0784e+03        1.000           8.6
  15      1.9734e+04       1.0368e+04       -3.4281e+03        1.000           9.1
  16      1.4909e+04       1.0846e+04       -2.8296e+03        1.000           9.5
  17      1.1263e+04       1.1171e+04       -2.3371e+03        1.000          10.0
  18      8.5095e+03       1.1399e+04       -1.9454e+03        1.000          10.5
  19      6.4288e+03       1.1570e+04       -1.6551e+03        1.000          10.9
  20      4.8569e+03       1.1691e+04       -1.4453e+03        1.000          11.4
  21      3.6694e+03       1.1817e+04       -1.2962e+03        1.000          11.9
  22      2.7722e+03       1.1923e+04       -1.2336e+03        1.000          12.3
  23      2.0944e+03       1.2032e+04       -1.2261e+03        1.000          12.8
  24      1.5823e+03       1.2150e+04       -1.2701e+03        1.000          13.3
  25      1.1954e+03       1.2279e+04       -1.3748e+03        1.000          13.8
  26      9.0311e+02       1.2427e+04       -1.5264e+03        1.000          14.2
  27      6.8229e+02       1.2596e+04       -1.7410e+03        1.000          14.7
  28      5.1546e+02       1.2795e+04       -2.0195e+03        1.000          15.2
  29      3.8943e+02       1.3036e+04       -2.3610e+03        1.000          15.7
  30      2.9421e+02       1.3315e+04       -2.7948e+03        1.000          16.1
  31      2.2227e+02       1.3654e+04       -3.3131e+03        1.000          16.6
  32      1.6793e+02       1.4052e+04       -3.9607e+03        1.000          17.0
  33      1.2687e+02       1.4532e+04       -4.7440e+03        1.000          17.5
  34      9.5846e+01       1.5115e+04       -5.6863e+03        1.000          18.1
  35      7.2411e+01       1.5817e+04       -6.8199e+03        1.000          18.7
  36      5.4092e+01       1.6679e+04       -8.2419e+03        1.000          20.1
  37      3.9533e+01       1.7841e+04       -1.0120e+04        1.000          21.9
  38      2.8174e+01       1.9424e+04       -1.2607e+04        1.000          23.3
  39      1.9503e+01       2.1614e+04       -1.5962e+04        0.999          24.9
  40      1.3058e+01       2.4743e+04       -2.0600e+04        0.999          26.7
  41      8.4196e+00       2.9322e+04       -2.7099e+04        0.999          28.9
  42      5.2123e+00       3.6145e+04       -3.6302e+04        0.999          31.6
  43      3.0979e+00       4.6368e+04       -4.9382e+04        0.999          34.9
  44      1.7783e+00       6.1490e+04       -6.7978e+04        0.999          41.7
  45      1.0000e+00       8.2973e+04       -9.4047e+04        0.999          46.3

