File.......:  cell10ppobqliftfsi40wt - OCT,26.2021

System.....:  
Potential..:  -0.016V
Current....:  -2.1921nA
Temperature:  -0.7 +-0.1 C
Time.......:  10:35:02 - 10:35:51
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.9051e+01       -7.4329e+02        0.999           0.0
   2      7.5549e+05       4.9126e+01       -9.8136e+02        0.996           1.8
   3      5.7077e+05       7.2524e+01       -1.2628e+03        0.997           2.3
   4      4.3121e+05       1.4747e+02       -1.6416e+03        0.998           3.3
   5      3.2578e+05       1.9757e+02       -2.1261e+03        0.998           4.2
   6      2.4612e+05       2.9908e+02       -2.7743e+03        0.997           4.7
   7      1.8594e+05       3.3344e+02       -3.5935e+03        0.996           5.1
   8      1.4048e+05       3.9012e+02       -4.6900e+03        0.994           5.6
   9      1.0613e+05       6.5558e+02       -6.0728e+03        0.997           6.1
  10      8.0180e+04       8.9279e+02       -7.8924e+03        0.996           6.5
  11      6.0575e+04       1.2911e+03       -1.0240e+04        0.998           7.2
  12      4.5764e+04       1.7344e+03       -1.3311e+04        0.999           7.9
  13      3.4574e+04       2.3568e+03       -1.7290e+04        0.998           8.4
  14      2.6121e+04       3.2875e+03       -2.2448e+04        0.998           8.9
  15      1.9734e+04       4.7235e+03       -2.9163e+04        0.999           9.3
  16      1.4909e+04       6.8289e+03       -3.7758e+04        0.999           9.8
  17      1.1263e+04       1.0286e+04       -4.8724e+04        0.998          10.2
  18      8.5095e+03       1.5524e+04       -6.2577e+04        0.999          10.7
  19      6.4288e+03       2.3592e+04       -7.9670e+04        0.997          11.2
  20      4.8569e+03       3.7372e+04       -9.9525e+04        0.998          11.9
  21      3.6694e+03       5.5776e+04       -1.2265e+05        0.999          12.6
  22      2.7722e+03       8.2234e+04       -1.4624e+05        0.998          13.1
  23      2.0944e+03       1.1766e+05       -1.6740e+05        0.998          13.5
  24      1.5823e+03       1.6103e+05       -1.8213e+05        0.998          14.0
  25      1.1954e+03       2.0808e+05       -1.8730e+05        1.000          14.5
  26      9.0311e+02       2.5405e+05       -1.8223e+05        0.998          15.0
  27      6.8229e+02       2.9435e+05       -1.6927e+05        0.999          15.4
  28      5.1546e+02       3.2738e+05       -1.5296e+05        0.999          15.9
  29      3.8943e+02       3.5352e+05       -1.3565e+05        0.999          16.4
  30      2.9421e+02       3.7376e+05       -1.2074e+05        1.000          16.9
  31      2.2227e+02       3.9051e+05       -1.0789e+05        0.999          17.3
  32      1.6793e+02       4.0558e+05       -9.8920e+04        0.999          17.8
  33      1.2687e+02       4.1864e+05       -9.1628e+04        0.999          18.3
  34      9.5846e+01       4.3224e+05       -8.6043e+04        1.000          18.8
  35      7.2411e+01       4.4278e+05       -8.4954e+04        1.000          19.4
  36      5.4092e+01       4.4272e+05       -8.3775e+04        1.000          20.8
  37      3.9533e+01       4.6447e+05       -8.7532e+04        0.999          22.6
  38      2.8174e+01       4.7838e+05       -8.8837e+04        1.000          24.0
  39      1.9503e+01       4.9303e+05       -1.0009e+05        0.998          25.6
  40      1.3058e+01       5.0905e+05       -1.1645e+05        0.999          27.5
  41      8.4196e+00       5.3057e+05       -1.4474e+05        0.998          29.6
  42      5.2123e+00       5.5965e+05       -1.9084e+05        1.000          32.3
  43      3.0979e+00       6.0278e+05       -2.6476e+05        1.000          35.6
  44      1.7783e+00       6.6748e+05       -3.8186e+05        1.000          42.4
  45      1.0000e+00       7.6776e+05       -5.6353e+05        0.999          47.0

