File.......:  cell3ppobqliftfsi40wt - OCT,29.2021

System.....:  
Potential..:  0.051V
Current....:  -12.087nA
Temperature:  -0.8 +-0.2 C
Time.......:  13:40:44 - 13:41:31
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.2249e+02       -9.1547e+02        0.996           0.0
   2      7.5549e+05       3.9474e+02       -1.1555e+03        0.997           1.3
   3      5.7077e+05       5.6568e+02       -1.4271e+03        0.994           1.8
   4      4.3121e+05       9.5806e+02       -1.6052e+03        0.998           2.8
   5      3.2578e+05       1.3689e+03       -1.7898e+03        0.998           3.7
   6      2.4612e+05       1.8406e+03       -1.8826e+03        0.999           4.1
   7      1.8594e+05       2.3270e+03       -1.8673e+03        0.999           4.6
   8      1.4048e+05       2.7702e+03       -1.7490e+03        0.999           5.0
   9      1.0613e+05       3.1461e+03       -1.5628e+03        0.999           5.5
  10      8.0180e+04       3.4337e+03       -1.3546e+03        1.000           5.9
  11      6.0575e+04       3.6308e+03       -1.1683e+03        1.000           6.4
  12      4.5764e+04       3.7781e+03       -1.0024e+03        1.000           6.8
  13      3.4574e+04       3.8934e+03       -8.8178e+02        1.000           7.3
  14      2.6121e+04       3.9785e+03       -7.9490e+02        1.000           7.7
  15      1.9734e+04       4.0545e+03       -7.4438e+02        1.000           8.2
  16      1.4909e+04       4.1253e+03       -7.3123e+02        1.000           8.6
  17      1.1263e+04       4.2009e+03       -7.4682e+02        1.000           9.1
  18      8.5095e+03       4.2771e+03       -7.9389e+02        1.000           9.5
  19      6.4288e+03       4.3646e+03       -8.7198e+02        1.000          10.0
  20      4.8569e+03       4.4635e+03       -9.7998e+02        1.000          10.5
  21      3.6694e+03       4.5809e+03       -1.1132e+03        1.000          10.9
  22      2.7722e+03       4.7124e+03       -1.2912e+03        1.000          11.4
  23      2.0944e+03       4.8652e+03       -1.5120e+03        1.000          11.8
  24      1.5823e+03       5.0437e+03       -1.7822e+03        1.000          12.3
  25      1.1954e+03       5.2495e+03       -2.1181e+03        1.000          12.8
  26      9.0311e+02       5.4905e+03       -2.5267e+03        1.000          13.2
  27      6.8229e+02       5.7723e+03       -3.0314e+03        0.999          13.7
  28      5.1546e+02       6.0972e+03       -3.6493e+03        1.000          14.4
  29      3.8943e+02       6.4972e+03       -4.4097e+03        0.999          15.1
  30      2.9421e+02       6.9713e+03       -5.3489e+03        1.000          15.5
  31      2.2227e+02       7.5554e+03       -6.5006e+03        0.999          16.0
  32      1.6793e+02       8.2602e+03       -7.9211e+03        0.999          16.4
  33      1.2687e+02       9.1322e+03       -9.6641e+03        0.999          16.9
  34      9.5846e+01       1.0222e+04       -1.1797e+04        0.999          17.4
  35      7.2411e+01       1.1592e+04       -1.4382e+04        0.999          18.0
  36      5.4092e+01       1.3354e+04       -1.7651e+04        0.999          19.4
  37      3.9533e+01       1.5813e+04       -2.1932e+04        0.998          21.2
  38      2.8174e+01       1.9254e+04       -2.7598e+04        0.998          22.6
  39      1.9503e+01       2.4164e+04       -3.5191e+04        0.998          24.2
  40      1.3058e+01       3.1265e+04       -4.5502e+04        0.998          26.0
  41      8.4196e+00       4.1653e+04       -5.9692e+04        0.998          28.7
  42      5.2123e+00       5.6971e+04       -7.9537e+04        0.998          31.9
  43      3.0979e+00       7.9611e+04       -1.0755e+05        0.998          35.3
  44      1.7783e+00       1.1300e+05       -1.4735e+05        0.998          40.3
  45      1.0000e+00       1.6042e+05       -2.0259e+05        0.997          44.9

