File.......:  cell10ppoclliftfsi50wt - OCT,29.2021

System.....:  
Potential..:  -0.003V
Current....:  -29.45nA
Temperature:  -0.7 +-0.1 C
Time.......:  13:44:28 - 13:45:17
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.4223e+02       -3.4580e+01        0.998           0.0
   2      7.5549e+05       1.4514e+02       -2.9961e+01        0.999           1.3
   3      5.7077e+05       1.4801e+02       -2.7506e+01        0.999           1.8
   4      4.3121e+05       1.5019e+02       -2.5699e+01        1.000           2.5
   5      3.2578e+05       1.5248e+02       -2.5395e+01        1.000           3.2
   6      2.4612e+05       1.5484e+02       -2.6142e+01        1.000           3.7
   7      1.8594e+05       1.5744e+02       -2.7939e+01        1.000           4.1
   8      1.4048e+05       1.6033e+02       -3.0903e+01        1.000           4.6
   9      1.0613e+05       1.6365e+02       -3.4992e+01        1.000           5.0
  10      8.0180e+04       1.6751e+02       -4.0470e+01        1.000           5.5
  11      6.0575e+04       1.7176e+02       -4.7515e+01        1.000           5.9
  12      4.5764e+04       1.7690e+02       -5.6317e+01        1.000           6.3
  13      3.4574e+04       1.8295e+02       -6.7301e+01        1.000           6.8
  14      2.6121e+04       1.8995e+02       -8.0696e+01        1.000           7.3
  15      1.9734e+04       1.9819e+02       -9.7371e+01        0.999           7.7
  16      1.4909e+04       2.0768e+02       -1.1800e+02        1.000           8.2
  17      1.1263e+04       2.1883e+02       -1.4382e+02        0.999           8.6
  18      8.5095e+03       2.3169e+02       -1.7602e+02        0.999           9.1
  19      6.4288e+03       2.4682e+02       -2.1674e+02        0.999           9.6
  20      4.8569e+03       2.6498e+02       -2.6795e+02        0.999          10.0
  21      3.6694e+03       2.8767e+02       -3.3225e+02        0.999          10.5
  22      2.7722e+03       3.1499e+02       -4.1402e+02        0.999          10.9
  23      2.0944e+03       3.4946e+02       -5.1708e+02        0.999          11.4
  24      1.5823e+03       3.9057e+02       -6.4187e+02        0.999          12.1
  25      1.1954e+03       4.4653e+02       -8.0330e+02        0.998          12.8
  26      9.0311e+02       5.1977e+02       -1.0046e+03        0.999          13.2
  27      6.8229e+02       6.1457e+02       -1.2548e+03        0.999          13.7
  28      5.1546e+02       7.3786e+02       -1.5637e+03        0.998          14.1
  29      3.8943e+02       8.9974e+02       -1.9439e+03        0.998          14.6
  30      2.9421e+02       1.1075e+03       -2.4082e+03        0.998          15.1
  31      2.2227e+02       1.3787e+03       -2.9724e+03        0.998          15.5
  32      1.6793e+02       1.7233e+03       -3.6560e+03        0.998          16.0
  33      1.2687e+02       2.1651e+03       -4.4784e+03        0.998          16.4
  34      9.5846e+01       2.7289e+03       -5.4624e+03        0.998          17.0
  35      7.2411e+01       3.4293e+03       -6.6139e+03        0.998          17.9
  36      5.4092e+01       4.3462e+03       -8.0415e+03        0.998          19.5
  37      3.9533e+01       5.6097e+03       -9.8550e+03        0.998          21.3
  38      2.8174e+01       7.3473e+03       -1.2185e+04        0.998          22.8
  39      1.9503e+01       9.7741e+03       -1.5190e+04        0.998          24.4
  40      1.3058e+01       1.3191e+04       -1.9106e+04        0.998          26.4
  41      8.4196e+00       1.8046e+04       -2.4235e+04        0.997          28.6
  42      5.2123e+00       2.4933e+04       -3.1010e+04        0.998          31.3
  43      3.0979e+00       3.4523e+04       -3.9940e+04        0.997          34.6
  44      1.7783e+00       4.7648e+04       -5.1972e+04        0.998          41.5
  45      1.0000e+00       6.4649e+04       -6.8165e+04        0.997          46.1

