File.......:  cell4ppoclliftfsi20wt - OCT,30.2021

System.....:  
Potential..:  0.010V
Current....:  -48.138nA
Temperature:  -0.7 +-0.1 C
Time.......:  15:05:33 - 15:06:20
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.4894e+02       -3.6432e+01        0.999           0.0
   2      7.5549e+05       1.5230e+02       -2.8851e+01        0.999           1.0
   3      5.7077e+05       1.5492e+02       -2.3607e+01        0.999           1.5
   4      4.3121e+05       1.5606e+02       -1.9043e+01        1.000           2.3
   5      3.2578e+05       1.5717e+02       -1.5925e+01        1.000           3.0
   6      2.4612e+05       1.5806e+02       -1.3776e+01        1.000           3.4
   7      1.8594e+05       1.5885e+02       -1.2464e+01        1.000           3.8
   8      1.4048e+05       1.5968e+02       -1.1862e+01        1.000           4.3
   9      1.0613e+05       1.6047e+02       -1.1912e+01        1.000           4.8
  10      8.0180e+04       1.6143e+02       -1.2612e+01        1.000           5.2
  11      6.0575e+04       1.6238e+02       -1.4058e+01        1.000           5.7
  12      4.5764e+04       1.6367e+02       -1.6077e+01        1.000           6.1
  13      3.4574e+04       1.6519e+02       -1.8878e+01        1.000           6.6
  14      2.6121e+04       1.6697e+02       -2.2428e+01        1.000           7.0
  15      1.9734e+04       1.6914e+02       -2.7012e+01        1.000           7.5
  16      1.4909e+04       1.7174e+02       -3.2784e+01        1.000           7.9
  17      1.1263e+04       1.7491e+02       -4.0033e+01        1.000           8.4
  18      8.5095e+03       1.7864e+02       -4.9044e+01        1.000           8.8
  19      6.4288e+03       1.8314e+02       -6.0332e+01        1.000           9.3
  20      4.8569e+03       1.8858e+02       -7.4273e+01        0.999           9.8
  21      3.6694e+03       1.9533e+02       -9.1304e+01        1.000          10.2
  22      2.7722e+03       2.0313e+02       -1.1301e+02        0.999          10.6
  23      2.0944e+03       2.1252e+02       -1.4011e+02        0.999          11.1
  24      1.5823e+03       2.2384e+02       -1.7408e+02        1.000          11.6
  25      1.1954e+03       2.3727e+02       -2.1708e+02        0.999          12.0
  26      9.0311e+02       2.5374e+02       -2.7127e+02        1.000          12.5
  27      6.8229e+02       2.7361e+02       -3.4006e+02        1.000          12.9
  28      5.1546e+02       2.9823e+02       -4.2728e+02        0.999          13.4
  29      3.8943e+02       3.2944e+02       -5.3794e+02        0.999          13.9
  30      2.9421e+02       3.6540e+02       -6.7306e+02        0.999          14.6
  31      2.2227e+02       4.1569e+02       -8.4900e+02        0.998          15.3
  32      1.6793e+02       4.7935e+02       -1.0714e+03        0.998          15.7
  33      1.2687e+02       5.6152e+02       -1.3516e+03        0.998          16.2
  34      9.5846e+01       6.6813e+02       -1.7046e+03        0.998          16.7
  35      7.2411e+01       8.0686e+02       -2.1466e+03        0.997          17.3
  36      5.4092e+01       9.9054e+02       -2.7233e+03        0.997          18.7
  37      3.9533e+01       1.2554e+03       -3.5130e+03        0.997          20.5
  38      2.8174e+01       1.6406e+03       -4.6153e+03        0.997          21.9
  39      1.9503e+01       2.2183e+03       -6.1865e+03        0.997          23.6
  40      1.3058e+01       3.1097e+03       -8.4725e+03        0.997          26.0
  41      8.4196e+00       4.5415e+03       -1.1901e+04        0.997          28.6
  42      5.2123e+00       6.9160e+03       -1.7128e+04        0.997          31.3
  43      3.0979e+00       1.0944e+04       -2.5114e+04        0.997          34.7
  44      1.7783e+00       1.7830e+04       -3.7249e+04        0.997          39.7
  45      1.0000e+00       2.9014e+04       -5.4808e+04        0.996          44.3

