File.......:  cell3liftfsi preheat - OCT,31.2021

System.....:  
Potential..:  -0.003V
Current....:  -1.2434nA
Temperature:  -0.8 +-0.1 C
Time.......:  11:49:22 - 11:50:10
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.6308e+00       -9.7545e+02        0.997           0.0
   2      7.5549e+05       1.8678e+01       -1.2818e+03        0.996           1.8
   3      5.7077e+05      -6.4941e+01       -1.7035e+03        0.996           2.3
   4      4.3121e+05       8.7842e+01       -2.2165e+03        0.997           3.3
   5      3.2578e+05       1.3891e+02       -2.9042e+03        0.998           4.2
   6      2.4612e+05       1.9927e+02       -3.7943e+03        0.998           4.7
   7      1.8594e+05       2.7446e+02       -4.9791e+03        0.999           5.1
   8      1.4048e+05       3.5494e+02       -6.5441e+03        0.997           5.5
   9      1.0613e+05       4.6514e+02       -8.5641e+03        0.998           6.0
  10      8.0180e+04       8.0435e+02       -1.1261e+04        0.998           6.7
  11      6.0575e+04       1.0213e+03       -1.4723e+04        0.999           7.4
  12      4.5764e+04       1.3361e+03       -1.9287e+04        0.998           7.8
  13      3.4574e+04       1.7689e+03       -2.5294e+04        0.998           8.2
  14      2.6121e+04       2.4204e+03       -3.3133e+04        0.999           8.7
  15      1.9734e+04       3.3694e+03       -4.3457e+04        0.999           9.2
  16      1.4909e+04       4.6708e+03       -5.6919e+04        0.999           9.6
  17      1.1263e+04       6.7858e+03       -7.4545e+04        0.999          10.1
  18      8.5095e+03       1.1714e+04       -9.7855e+04        0.999          10.8
  19      6.4288e+03       1.6638e+04       -1.2768e+05        0.999          11.5
  20      4.8569e+03       2.4485e+04       -1.6646e+05        0.998          11.9
  21      3.6694e+03       3.7151e+04       -2.1660e+05        0.999          12.4
  22      2.7722e+03       5.7059e+04       -2.8043e+05        0.998          12.8
  23      2.0944e+03       8.9019e+04       -3.6065e+05        0.997          13.3
  24      1.5823e+03       1.3944e+05       -4.5901e+05        0.997          13.7
  25      1.1954e+03       2.1749e+05       -5.7468e+05        0.999          14.2
  26      9.0311e+02       3.3395e+05       -7.0078e+05        0.998          14.7
  27      6.8229e+02       5.1544e+05       -8.1636e+05        0.999          15.3
  28      5.1546e+02       7.2589e+05       -9.1275e+05        0.998          16.0
  29      3.8943e+02       9.7495e+05       -9.6129e+05        0.998          16.5
  30      2.9421e+02       1.2292e+06       -9.4843e+05        0.998          17.0
  31      2.2227e+02       1.4689e+06       -8.7377e+05        0.999          17.4
  32      1.6793e+02       1.6549e+06       -7.6829e+05        0.999          17.9
  33      1.2687e+02       1.7941e+06       -6.4561e+05        1.000          18.3
  34      9.5846e+01       1.8908e+06       -5.3108e+05        1.000          18.9
  35      7.2411e+01       1.9611e+06       -4.3193e+05        0.999          19.4
  36      5.4092e+01       2.0382e+06       -3.2257e+05        0.999          20.8
  37      3.9533e+01       2.0306e+06       -2.6088e+05        1.000          22.6
  38      2.8174e+01       2.0627e+06       -2.0704e+05        0.999          24.0
  39      1.9503e+01       2.0753e+06       -1.6449e+05        0.999          25.6
  40      1.3058e+01       2.0894e+06       -1.3810e+05        0.999          27.5
  41      8.4196e+00       2.1049e+06       -1.2609e+05        0.999          29.6
  42      5.2123e+00       2.1219e+06       -1.2810e+05        1.000          32.3
  43      3.0979e+00       2.1461e+06       -1.4965e+05        1.000          35.6
  44      1.7783e+00       2.1779e+06       -1.9830e+05        1.000          40.5
  45      1.0000e+00       2.2268e+06       -2.8176e+05        1.000          45.0

