File.......:  cell2litfsi - OCT,31.2021

System.....:  
Potential..:  -0.017V
Current....:  6.5996pA
Temperature:  -0.7 +-0.0 C
Time.......:  11:47:30 - 11:48:20
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -3.8517e+01       -1.1635e+03        0.998           0.0
   2      7.5549e+05      -3.9936e+01       -1.5652e+03        0.997           1.9
   3      5.7077e+05      -1.3757e+02       -2.0163e+03        0.996           2.9
   4      4.3121e+05       3.5509e+01       -2.6976e+03        0.998           4.4
   5      3.2578e+05       5.8499e+01       -3.5440e+03        0.998           5.3
   6      2.4612e+05       1.1714e+02       -4.6747e+03        0.998           5.8
   7      1.8594e+05       2.0286e+02       -6.1528e+03        0.998           6.2
   8      1.4048e+05       2.8266e+02       -8.0701e+03        0.997           6.7
   9      1.0613e+05       5.2266e+02       -1.0666e+04        0.999           7.4
  10      8.0180e+04       6.3470e+02       -1.4000e+04        0.998           8.0
  11      6.0575e+04       7.4648e+02       -1.8389e+04        0.998           8.5
  12      4.5764e+04       8.9117e+02       -2.4177e+04        0.998           8.9
  13      3.4574e+04       1.0556e+03       -3.1850e+04        0.998           9.4
  14      2.6121e+04       1.3057e+03       -4.1894e+04        0.998           9.8
  15      1.9734e+04       1.6017e+03       -5.5260e+04        0.999          10.3
  16      1.4909e+04       1.9557e+03       -7.2805e+04        0.998          10.7
  17      1.1263e+04       4.6209e+03       -9.6730e+04        0.999          11.4
  18      8.5095e+03       5.1886e+03       -1.2715e+05        0.998          12.1
  19      6.4288e+03       5.7588e+03       -1.6739e+05        0.999          12.6
  20      4.8569e+03       6.5670e+03       -2.2055e+05        0.998          13.0
  21      3.6694e+03       7.8908e+03       -2.9123e+05        0.997          13.5
  22      2.7722e+03       9.1534e+03       -3.8401e+05        0.998          13.9
  23      2.0944e+03       1.1191e+04       -5.0702e+05        0.999          14.4
  24      1.5823e+03       1.3865e+04       -6.6958e+05        0.999          14.9
  25      1.1954e+03       1.6366e+04       -8.8432e+05        0.998          15.3
  26      9.0311e+02       5.2712e+04       -1.1735e+06        0.999          16.0
  27      6.8229e+02       6.0222e+04       -1.5461e+06        0.997          16.7
  28      5.1546e+02       6.8869e+04       -2.0389e+06        0.999          17.2
  29      3.8943e+02       8.5119e+04       -2.6887e+06        0.997          17.7
  30      2.9421e+02       1.0784e+05       -3.5576e+06        0.997          18.2
  31      2.2227e+02       1.2846e+05       -4.6999e+06        0.997          18.6
  32      1.6793e+02       1.9279e+05       -6.1805e+06        0.997          19.1
  33      1.2687e+02       2.6175e+05       -8.1713e+06        0.999          19.6
  34      9.5846e+01       7.3667e+05       -1.0667e+07        0.998          20.4
  35      7.2411e+01       9.0920e+05       -1.4324e+07        0.998          21.3
  36      5.4092e+01       4.8396e+05       -2.2454e+07        0.991          22.7
  37      3.9533e+01       1.2827e+06       -2.6385e+07        0.994          24.5
  38      2.8174e+01       1.8546e+06       -3.5245e+07        0.967          25.9
  39      1.9503e+01       3.8317e+06       -5.1211e+07        0.969          27.5
  40      1.3058e+01       7.1244e+06       -7.4277e+07        0.990          29.4
  41      8.4196e+00       1.4891e+07       -1.0885e+08        0.950          31.6
  42      5.2123e+00       3.1668e+07       -1.7399e+08        0.981          34.3
  43      3.0979e+00       5.5210e+07       -2.7274e+08        0.998          37.7
  44      1.7783e+00       1.2077e+08       -4.4247e+08        0.997          42.6
  45      1.0000e+00       2.6204e+08       -6.9812e+08        0.977          47.3

