File.......:  cell2ppobqliftfsi40wt - NOV,03.2021

System.....:  
Potential..:  0.043V
Current....:  -10.556nA
Temperature:  -0.7 +-0.1 C
Time.......:  15:51:21 - 15:52:11
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.8412e+02       -7.4685e+02        0.998           0.0
   2      7.5549e+05       4.4829e+02       -8.9048e+02        0.998           1.3
   3      5.7077e+05       6.5368e+02       -1.0652e+03        0.995           1.8
   4      4.3121e+05       9.3467e+02       -1.1126e+03        0.998           2.8
   5      3.2578e+05       1.2306e+03       -1.1511e+03        0.997           3.7
   6      2.4612e+05       1.5246e+03       -1.1311e+03        1.000           4.2
   7      1.8594e+05       1.7801e+03       -1.0548e+03        0.998           4.6
   8      1.4048e+05       2.0098e+03       -9.2348e+02        0.998           5.1
   9      1.0613e+05       2.1827e+03       -8.0370e+02        0.999           5.6
  10      8.0180e+04       2.3057e+03       -6.7457e+02        1.000           6.0
  11      6.0575e+04       2.3955e+03       -5.6274e+02        1.000           6.5
  12      4.5764e+04       2.4595e+03       -4.6577e+02        1.000           6.9
  13      3.4574e+04       2.5083e+03       -3.9215e+02        1.000           7.4
  14      2.6121e+04       2.5440e+03       -3.3573e+02        1.000           7.9
  15      1.9734e+04       2.5732e+03       -2.9438e+02        1.000           8.3
  16      1.4909e+04       2.5978e+03       -2.6823e+02        1.000           8.8
  17      1.1263e+04       2.6224e+03       -2.5401e+02        1.000           9.2
  18      8.5095e+03       2.6450e+03       -2.5301e+02        1.000           9.7
  19      6.4288e+03       2.6698e+03       -2.6262e+02        1.000          10.2
  20      4.8569e+03       2.6973e+03       -2.8196e+02        1.000          10.7
  21      3.6694e+03       2.7289e+03       -3.0811e+02        1.000          11.1
  22      2.7722e+03       2.7640e+03       -3.4929e+02        1.000          11.6
  23      2.0944e+03       2.8050e+03       -4.0190e+02        1.000          12.1
  24      1.5823e+03       2.8529e+03       -4.6760e+02        1.000          12.6
  25      1.1954e+03       2.9087e+03       -5.5056e+02        1.000          13.0
  26      9.0311e+02       2.9739e+03       -6.5136e+02        1.000          13.5
  27      6.8229e+02       3.0501e+03       -7.7483e+02        1.000          14.0
  28      5.1546e+02       3.1394e+03       -9.2582e+02        1.000          14.4
  29      3.8943e+02       3.2462e+03       -1.1074e+03        1.000          14.9
  30      2.9421e+02       3.3695e+03       -1.3329e+03        1.000          15.4
  31      2.2227e+02       3.5168e+03       -1.6066e+03        1.000          15.9
  32      1.6793e+02       3.6886e+03       -1.9462e+03        1.000          16.3
  33      1.2687e+02       3.8942e+03       -2.3653e+03        1.000          16.8
  34      9.5846e+01       4.1444e+03       -2.8827e+03        0.999          17.3
  35      7.2411e+01       4.4500e+03       -3.5201e+03        0.999          17.9
  36      5.4092e+01       4.8198e+03       -4.3512e+03        0.999          19.3
  37      3.9533e+01       5.3329e+03       -5.4543e+03        0.999          21.5
  38      2.8174e+01       6.0633e+03       -6.9768e+03        0.999          23.3
  39      1.9503e+01       7.1506e+03       -9.1037e+03        0.999          24.9
  40      1.3058e+01       8.7507e+03       -1.2126e+04        0.999          26.8
  41      8.4196e+00       1.1257e+04       -1.6471e+04        0.999          29.0
  42      5.2123e+00       1.5226e+04       -2.2757e+04        0.999          31.6
  43      3.0979e+00       2.1480e+04       -3.1834e+04        0.999          35.0
  44      1.7783e+00       3.1398e+04       -4.4734e+04        0.999          40.0
  45      1.0000e+00       4.6168e+04       -6.2434e+04        0.999          47.0

