File.......:  cell1ppobqliftfsi40wt - NOV,03.2021

System.....:  
Potential..:  -0.047V
Current....:  13.854nA
Temperature:  -0.8 +-0.2 C
Time.......:  15:49:16 - 15:50:03
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.4673e+02       -5.7069e+02        0.997           0.0
   2      7.5549e+05       3.5608e+02       -6.7893e+02        0.998           1.3
   3      5.7077e+05       5.0262e+02       -8.0139e+02        0.996           1.8
   4      4.3121e+05       6.9910e+02       -8.6531e+02        0.998           2.8
   5      3.2578e+05       9.1486e+02       -9.3241e+02        0.999           3.7
   6      2.4612e+05       1.1449e+03       -9.6023e+02        0.999           4.2
   7      1.8594e+05       1.3767e+03       -9.3545e+02        0.999           4.6
   8      1.4048e+05       1.5952e+03       -8.7811e+02        0.999           5.1
   9      1.0613e+05       1.7774e+03       -7.8778e+02        0.999           5.6
  10      8.0180e+04       1.9239e+03       -6.8163e+02        0.999           6.0
  11      6.0575e+04       2.0268e+03       -5.8735e+02        1.000           6.5
  12      4.5764e+04       2.1052e+03       -4.9755e+02        1.000           6.9
  13      3.4574e+04       2.1650e+03       -4.2530e+02        1.000           7.4
  14      2.6121e+04       2.2099e+03       -3.7018e+02        1.000           7.9
  15      1.9734e+04       2.2449e+03       -3.3115e+02        1.000           8.3
  16      1.4909e+04       2.2742e+03       -3.0867e+02        1.000           8.8
  17      1.1263e+04       2.3029e+03       -3.0027e+02        1.000           9.2
  18      8.5095e+03       2.3300e+03       -3.0613e+02        1.000           9.7
  19      6.4288e+03       2.3595e+03       -3.2650e+02        1.000          10.2
  20      4.8569e+03       2.3922e+03       -3.5965e+02        1.000          10.7
  21      3.6694e+03       2.4310e+03       -4.0388e+02        1.000          11.1
  22      2.7722e+03       2.4750e+03       -4.6769e+02        1.000          11.6
  23      2.0944e+03       2.5276e+03       -5.4868e+02        1.000          12.1
  24      1.5823e+03       2.5909e+03       -6.4983e+02        1.000          12.6
  25      1.1954e+03       2.6666e+03       -7.7606e+02        1.000          13.0
  26      9.0311e+02       2.7577e+03       -9.2948e+02        1.000          13.5
  27      6.8229e+02       2.8685e+03       -1.1170e+03        1.000          14.0
  28      5.1546e+02       3.0019e+03       -1.3448e+03        1.000          14.4
  29      3.8943e+02       3.1673e+03       -1.6177e+03        1.000          14.9
  30      2.9421e+02       3.3664e+03       -1.9504e+03        1.000          15.4
  31      2.2227e+02       3.6128e+03       -2.3472e+03        1.000          15.9
  32      1.6793e+02       3.9142e+03       -2.8254e+03        0.999          16.3
  33      1.2687e+02       4.2865e+03       -3.3949e+03        0.999          16.8
  34      9.5846e+01       4.7482e+03       -4.0678e+03        0.999          17.3
  35      7.2411e+01       5.3003e+03       -4.8503e+03        0.999          18.2
  36      5.4092e+01       6.0081e+03       -5.8100e+03        0.999          19.8
  37      3.9533e+01       6.9555e+03       -7.0061e+03        0.999          21.6
  38      2.8174e+01       8.2148e+03       -8.5265e+03        0.999          23.0
  39      1.9503e+01       9.9149e+03       -1.0479e+04        0.999          24.6
  40      1.3058e+01       1.2212e+04       -1.3043e+04        0.999          26.5
  41      8.4196e+00       1.5366e+04       -1.6483e+04        0.999          28.7
  42      5.2123e+00       1.9720e+04       -2.1232e+04        0.999          31.3
  43      3.0979e+00       2.5809e+04       -2.7971e+04        0.999          34.7
  44      1.7783e+00       3.4373e+04       -3.7652e+04        0.999          39.6
  45      1.0000e+00       4.6258e+04       -5.1458e+04        0.999          44.2

