File.......:  cell2 - NOV,09.2021

System.....:  
Potential..:  0.010V
Current....:  -2.5808nA
Temperature:  -0.8 +-0.1 C
Time.......:  12:00:00 - 12:00:49
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       6.9795e+01       -4.2272e+00        0.999           0.0
   2      7.5549e+05       7.0882e+01       -4.0467e+00        0.999           1.0
   3      5.7077e+05       7.1458e+01       -3.9478e+00        1.000           1.5
   4      4.3121e+05       7.2274e+01       -3.9847e+00        1.000           2.1
   5      3.2578e+05       7.3223e+01       -4.2762e+00        1.000           2.6
   6      2.4612e+05       7.5535e+01       -4.8027e+00        1.000           3.1
   7      1.8594e+05       7.8511e+01       -5.1639e+00        1.000           3.5
   8      1.4048e+05       7.7240e+01       -5.9315e+00        1.000           4.1
   9      1.0613e+05       7.8688e+01       -6.8802e+00        1.000           4.6
  10      8.0180e+04       7.9271e+01       -8.0429e+00        1.000           5.1
  11      6.0575e+04       8.2032e+01       -9.4629e+00        1.000           5.6
  12      4.5764e+04       8.6118e+01       -1.1237e+01        1.000           6.0
  13      3.4574e+04       8.5174e+01       -1.3407e+01        1.000           6.6
  14      2.6121e+04       9.9364e+01       -1.6033e+01        1.000           7.1
  15      1.9734e+04       9.3232e+01       -1.9231e+01        1.000           7.6
  16      1.4909e+04       9.8473e+01       -2.3235e+01        1.000           8.1
  17      1.1263e+04       9.7007e+01       -2.8151e+01        1.000           8.6
  18      8.5095e+03       9.6087e+01       -3.4203e+01        0.999           9.1
  19      6.4288e+03       9.9390e+01       -4.1739e+01        1.000           9.6
  20      4.8569e+03       1.0099e+02       -5.1002e+01        1.000          10.1
  21      3.6694e+03       1.0470e+02       -6.2302e+01        0.999          10.6
  22      2.7722e+03       1.1192e+02       -7.6398e+01        0.999          11.1
  23      2.0944e+03       1.2106e+02       -9.3626e+01        0.999          11.7
  24      1.5823e+03       1.3161e+02       -1.1455e+02        1.000          12.2
  25      1.1954e+03       1.4435e+02       -1.3984e+02        1.000          12.7
  26      9.0311e+02       1.6021e+02       -1.6997e+02        1.000          13.2
  27      6.8229e+02       1.8115e+02       -2.0579e+02        0.999          13.7
  28      5.1546e+02       2.0862e+02       -2.4811e+02        1.000          14.2
  29      3.8943e+02       2.4246e+02       -2.9796e+02        0.999          14.8
  30      2.9421e+02       2.8117e+02       -3.5699e+02        0.999          15.3
  31      2.2227e+02       3.2837e+02       -4.2700e+02        0.999          15.8
  32      1.6793e+02       3.8300e+02       -5.1078e+02        0.999          16.3
  33      1.2687e+02       4.4368e+02       -6.0656e+02        0.999          17.1
  34      9.5846e+01       5.2359e+02       -7.2574e+02        0.999          17.9
  35      7.2411e+01       6.2284e+02       -8.6713e+02        0.999          18.5
  36      5.4092e+01       7.4473e+02       -1.0413e+03        0.999          20.0
  37      3.9533e+01       9.1250e+02       -1.2621e+03        0.999          21.9
  38      2.8174e+01       1.1404e+03       -1.5432e+03        0.999          23.4
  39      1.9503e+01       1.4523e+03       -1.9043e+03        0.999          25.1
  40      1.3058e+01       1.8835e+03       -2.3704e+03        0.999          27.1
  41      8.4196e+00       2.4835e+03       -2.9832e+03        0.999          29.4
  42      5.2123e+00       3.3191e+03       -3.7948e+03        0.999          32.0
  43      3.0979e+00       4.4803e+03       -4.8950e+03        0.999          35.5
  44      1.7783e+00       6.0753e+03       -6.3960e+03        0.999          42.5
  45      1.0000e+00       8.2252e+03       -8.4509e+03        0.999          47.1

