File.......:  cell3 - NOV,09.2021

System.....:  
Potential..:  0.000V
Current....:  7.469nA
Temperature:  -0.8 +-0.1 C
Time.......:  12:01:44 - 12:02:34
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.1698e+01        6.2148e-01        0.999           0.0
   2      7.5549e+05       3.2082e+01        1.3095e-02        0.999           1.0
   3      5.7077e+05       3.1977e+01       -5.5186e-01        0.999           1.5
   4      4.3121e+05       3.2488e+01       -1.1839e+00        1.000           2.1
   5      3.2578e+05       3.2822e+01       -1.7662e+00        1.000           2.6
   6      2.4612e+05       3.3134e+01       -2.4277e+00        1.000           3.1
   7      1.8594e+05       3.3503e+01       -3.2299e+00        1.000           3.5
   8      1.4048e+05       3.4061e+01       -4.0998e+00        0.999           4.1
   9      1.0613e+05       3.4577e+01       -5.2321e+00        1.000           4.6
  10      8.0180e+04       3.5107e+01       -6.5772e+00        1.000           5.1
  11      6.0575e+04       3.6024e+01       -8.3089e+00        1.000           5.6
  12      4.5764e+04       3.6679e+01       -1.0403e+01        1.000           6.0
  13      3.4574e+04       3.7774e+01       -1.2976e+01        1.000           6.6
  14      2.6121e+04       3.9331e+01       -1.6153e+01        1.000           7.1
  15      1.9734e+04       4.0997e+01       -2.0088e+01        0.999           7.6
  16      1.4909e+04       4.2948e+01       -2.4968e+01        0.999           8.1
  17      1.1263e+04       4.5082e+01       -3.1064e+01        1.000           8.6
  18      8.5095e+03       4.7771e+01       -3.8579e+01        0.999           9.1
  19      6.4288e+03       5.2045e+01       -4.8425e+01        1.000           9.9
  20      4.8569e+03       5.6571e+01       -6.0189e+01        0.999          10.7
  21      3.6694e+03       6.2392e+01       -7.4703e+01        0.999          11.2
  22      2.7722e+03       6.9846e+01       -9.2747e+01        0.998          11.7
  23      2.0944e+03       7.9684e+01       -1.1497e+02        0.998          12.2
  24      1.5823e+03       9.1865e+01       -1.4221e+02        1.000          12.7
  25      1.1954e+03       1.0685e+02       -1.7552e+02        0.998          13.2
  26      9.0311e+02       1.2612e+02       -2.1589e+02        0.999          13.7
  27      6.8229e+02       1.5041e+02       -2.6485e+02        0.999          14.2
  28      5.1546e+02       1.8034e+02       -3.2385e+02        1.000          14.8
  29      3.8943e+02       2.1740e+02       -3.9494e+02        1.000          15.4
  30      2.9421e+02       2.6236e+02       -4.8018e+02        1.000          15.9
  31      2.2227e+02       3.1773e+02       -5.8314e+02        0.999          16.4
  32      1.6793e+02       3.8090e+02       -7.0213e+02        0.999          17.3
  33      1.2687e+02       4.6073e+02       -8.5231e+02        0.999          18.1
  34      9.5846e+01       5.5749e+02       -1.0350e+03        0.999          18.7
  35      7.2411e+01       6.7616e+02       -1.2576e+03        0.999          19.4
  36      5.4092e+01       8.2622e+02       -1.5404e+03        0.999          20.9
  37      3.9533e+01       1.0304e+03       -1.9142e+03        0.999          22.8
  38      2.8174e+01       1.3152e+03       -2.4170e+03        0.999          24.3
  39      1.9503e+01       1.7251e+03       -3.1062e+03        0.999          26.0
  40      1.3058e+01       2.3244e+03       -4.0610e+03        0.999          28.0
  41      8.4196e+00       3.2344e+03       -5.3949e+03        0.999          30.2
  42      5.2123e+00       4.6197e+03       -7.2818e+03        0.999          33.6
  43      3.0979e+00       6.7712e+03       -9.9338e+03        0.999          37.6
  44      1.7783e+00       1.0074e+04       -1.3570e+04        0.999          42.6
  45      1.0000e+00       1.4894e+04       -1.8328e+04        0.999          47.3

