File.......:  cell10ppobqliftfsi - NOV,10.2021

System.....:  
Potential..:  -0.012V
Current....:  -19.963nA
Temperature:  -0.8 +-0.1 C
Time.......:  11:04:03 - 11:04:50
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.3708e+02       -2.0476e+01        0.999           0.0
   2      7.5549e+05       1.3722e+02       -1.6596e+01        0.999           1.0
   3      5.7077e+05       1.3781e+02       -1.4493e+01        0.999           1.5
   4      4.3121e+05       1.3763e+02       -1.2589e+01        1.000           2.3
   5      3.2578e+05       1.3668e+02       -1.1697e+01        1.000           3.0
   6      2.4612e+05       1.3886e+02       -1.1427e+01        1.000           3.4
   7      1.8594e+05       1.3896e+02       -1.1672e+01        1.000           3.9
   8      1.4048e+05       1.3868e+02       -1.2439e+01        1.000           4.4
   9      1.0613e+05       1.3937e+02       -1.3703e+01        1.000           4.8
  10      8.0180e+04       1.4124e+02       -1.5568e+01        1.000           5.3
  11      6.0575e+04       1.4294e+02       -1.8086e+01        1.000           5.7
  12      4.5764e+04       1.4485e+02       -2.1271e+01        1.000           6.2
  13      3.4574e+04       1.4615e+02       -2.5234e+01        1.000           6.7
  14      2.6121e+04       1.4890e+02       -3.0028e+01        1.000           7.1
  15      1.9734e+04       1.5183e+02       -3.5941e+01        1.000           7.6
  16      1.4909e+04       1.5527e+02       -4.3075e+01        1.000           8.1
  17      1.1263e+04       1.5910e+02       -5.1748e+01        1.000           8.5
  18      8.5095e+03       1.6544e+02       -6.2224e+01        1.000           9.0
  19      6.4288e+03       1.7272e+02       -7.5003e+01        1.000           9.5
  20      4.8569e+03       1.8015e+02       -9.0551e+01        1.000           9.9
  21      3.6694e+03       1.8858e+02       -1.0954e+02        1.000          10.4
  22      2.7722e+03       1.9812e+02       -1.3368e+02        1.000          10.9
  23      2.0944e+03       2.0990e+02       -1.6419e+02        0.999          11.4
  24      1.5823e+03       2.2240e+02       -2.0311e+02        0.999          11.8
  25      1.1954e+03       2.3640e+02       -2.5308e+02        1.000          12.3
  26      9.0311e+02       2.5426e+02       -3.1692e+02        0.999          12.8
  27      6.8229e+02       2.7712e+02       -3.9866e+02        0.999          13.2
  28      5.1546e+02       3.0568e+02       -5.0287e+02        0.999          13.7
  29      3.8943e+02       3.4210e+02       -6.3032e+02        0.998          14.4
  30      2.9421e+02       3.9122e+02       -7.9644e+02        0.998          15.1
  31      2.2227e+02       4.5797e+02       -1.0054e+03        0.998          15.6
  32      1.6793e+02       5.4435e+02       -1.2669e+03        0.998          16.1
  33      1.2687e+02       6.5966e+02       -1.5924e+03        0.998          16.5
  34      9.5846e+01       8.1352e+02       -1.9954e+03        0.998          17.1
  35      7.2411e+01       1.0174e+03       -2.4898e+03        0.998          17.7
  36      5.4092e+01       1.2920e+03       -3.1185e+03        0.998          19.2
  37      3.9533e+01       1.6856e+03       -3.9538e+03        0.998          20.9
  38      2.8174e+01       2.2530e+03       -5.0768e+03        0.998          22.4
  39      1.9503e+01       3.0897e+03       -6.6011e+03        0.998          24.5
  40      1.3058e+01       4.3541e+03       -8.7134e+03        0.998          26.8
  41      8.4196e+00       6.2864e+03       -1.1661e+04        0.998          29.0
  42      5.2123e+00       9.2569e+03       -1.5803e+04        0.998          31.8
  43      3.0979e+00       1.3787e+04       -2.1629e+04        0.998          35.2
  44      1.7783e+00       2.0609e+04       -2.9801e+04        0.997          40.2
  45      1.0000e+00       3.0429e+04       -4.1006e+04        0.997          44.8

