File.......:  cell4ppobqliftfsi50wt - NOV,11.2021

System.....:  
Potential..:  0.029V
Current....:  -11.019nA
Temperature:  -0.7 +-0.1 C
Time.......:  08:43:52 - 08:44:42
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.2848e+02       -5.1949e+02        0.997           0.0
   2      7.5549e+05       4.7864e+02       -5.6547e+02        0.994           1.3
   3      5.7077e+05       6.1267e+02       -5.8679e+02        0.995           1.8
   4      4.3121e+05       7.8374e+02       -5.4926e+02        0.995           2.3
   5      3.2578e+05       8.8179e+02       -4.9534e+02        0.993           2.8
   6      2.4612e+05       9.9760e+02       -4.4536e+02        0.993           3.3
   7      1.8594e+05       1.0573e+03       -3.8376e+02        0.992           3.8
   8      1.4048e+05       1.1374e+03       -3.4388e+02        0.994           4.3
   9      1.0613e+05       1.1570e+03       -2.8721e+02        0.999           5.1
  10      8.0180e+04       1.1807e+03       -2.6280e+02        1.000           5.8
  11      6.0575e+04       1.2069e+03       -2.4906e+02        0.999           6.3
  12      4.5764e+04       1.2291e+03       -2.3849e+02        0.998           6.8
  13      3.4574e+04       1.2516e+03       -2.4401e+02        0.999           7.3
  14      2.6121e+04       1.2797e+03       -2.5912e+02        1.000           7.9
  15      1.9734e+04       1.3070e+03       -2.8345e+02        1.000           8.4
  16      1.4909e+04       1.3401e+03       -3.1855e+02        1.000           8.9
  17      1.1263e+04       1.3778e+03       -3.6394e+02        1.000           9.4
  18      8.5095e+03       1.4212e+03       -4.2078e+02        1.000           9.9
  19      6.4288e+03       1.4711e+03       -4.9274e+02        1.000          10.4
  20      4.8569e+03       1.5320e+03       -5.8109e+02        1.000          10.9
  21      3.6694e+03       1.6002e+03       -6.8431e+02        0.999          11.4
  22      2.7722e+03       1.6795e+03       -8.1509e+02        0.999          11.9
  23      2.0944e+03       1.7744e+03       -9.7453e+02        0.999          12.4
  24      1.5823e+03       1.8861e+03       -1.1692e+03        1.000          13.0
  25      1.1954e+03       2.0179e+03       -1.4104e+03        0.999          13.5
  26      9.0311e+02       2.1760e+03       -1.7042e+03        1.000          14.0
  27      6.8229e+02       2.3675e+03       -2.0663e+03        1.000          14.5
  28      5.1546e+02       2.6036e+03       -2.5094e+03        0.999          15.0
  29      3.8943e+02       2.8962e+03       -3.0505e+03        0.999          15.5
  30      2.9421e+02       3.2625e+03       -3.7071e+03        0.998          16.1
  31      2.2227e+02       3.7288e+03       -4.4923e+03        0.999          16.6
  32      1.6793e+02       4.3003e+03       -5.4347e+03        0.999          17.3
  33      1.2687e+02       5.0263e+03       -6.5490e+03        0.999          18.1
  34      9.5846e+01       5.9351e+03       -7.8507e+03        0.999          18.7
  35      7.2411e+01       7.0740e+03       -9.3704e+03        0.999          19.3
  36      5.4092e+01       8.4185e+03       -1.1240e+04        0.999          20.8
  37      3.9533e+01       1.0385e+04       -1.3429e+04        0.999          22.6
  38      2.8174e+01       1.2937e+04       -1.6229e+04        0.999          24.1
  39      1.9503e+01       1.6362e+04       -1.9766e+04        0.999          25.7
  40      1.3058e+01       2.1002e+04       -2.4291e+04        0.999          27.7
  41      8.4196e+00       2.7301e+04       -3.0078e+04        0.999          29.9
  42      5.2123e+00       3.5834e+04       -3.7767e+04        0.999          32.6
  43      3.0979e+00       4.7671e+04       -4.7938e+04        0.999          36.0
  44      1.7783e+00       6.3548e+04       -6.1651e+04        0.998          42.9
  45      1.0000e+00       8.4498e+04       -8.0082e+04        0.998          47.6

