File.......:  cell2ppoclliftfsi20wt - NOV,11.2021

System.....:  
Potential..:  0.003V
Current....:  -41.22nA
Temperature:  -0.7 +-0.2 C
Time.......:  08:42:06 - 08:42:55
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.4909e+02       -5.7925e+02        0.998           0.0
   2      7.5549e+05       3.8127e+02       -6.8157e+02        0.997           1.3
   3      5.7077e+05       5.5524e+02       -7.9158e+02        0.997           1.8
   4      4.3121e+05       8.0641e+02       -8.2389e+02        0.994           2.3
   5      3.2578e+05       9.7175e+02       -8.3559e+02        0.993           2.8
   6      2.4612e+05       1.2038e+03       -7.4746e+02        0.984           3.3
   7      1.8594e+05       1.3688e+03       -6.7586e+02        0.992           3.8
   8      1.4048e+05       1.4907e+03       -5.6884e+02        0.985           4.3
   9      1.0613e+05       1.5387e+03       -4.6225e+02        0.996           5.1
  10      8.0180e+04       1.6182e+03       -3.8025e+02        0.999           5.8
  11      6.0575e+04       1.6422e+03       -3.0745e+02        0.997           6.3
  12      4.5764e+04       1.6759e+03       -2.4323e+02        0.999           6.8
  13      3.4574e+04       1.6970e+03       -2.0909e+02        0.999           7.3
  14      2.6121e+04       1.7102e+03       -1.7866e+02        1.000           7.9
  15      1.9734e+04       1.7222e+03       -1.5892e+02        1.000           8.4
  16      1.4909e+04       1.7348e+03       -1.4507e+02        1.000           8.9
  17      1.1263e+04       1.7488e+03       -1.4152e+02        1.000           9.4
  18      8.5095e+03       1.7619e+03       -1.4362e+02        1.000           9.9
  19      6.4288e+03       1.7769e+03       -1.5271e+02        1.000          10.4
  20      4.8569e+03       1.7914e+03       -1.6474e+02        1.000          10.9
  21      3.6694e+03       1.8135e+03       -1.8142e+02        1.000          11.4
  22      2.7722e+03       1.8358e+03       -2.0697e+02        1.000          11.9
  23      2.0944e+03       1.8612e+03       -2.3772e+02        1.000          12.4
  24      1.5823e+03       1.8915e+03       -2.7563e+02        1.000          13.0
  25      1.1954e+03       1.9264e+03       -3.2314e+02        1.000          13.5
  26      9.0311e+02       1.9675e+03       -3.7964e+02        1.000          14.0
  27      6.8229e+02       2.0152e+03       -4.4869e+02        1.000          14.5
  28      5.1546e+02       2.0702e+03       -5.3174e+02        1.000          15.0
  29      3.8943e+02       2.1355e+03       -6.3109e+02        1.000          15.5
  30      2.9421e+02       2.2099e+03       -7.5182e+02        1.000          16.1
  31      2.2227e+02       2.2977e+03       -8.9701e+02        1.000          16.6
  32      1.6793e+02       2.3995e+03       -1.0771e+03        1.000          17.1
  33      1.2687e+02       2.5182e+03       -1.2984e+03        1.000          17.6
  34      9.5846e+01       2.6617e+03       -1.5702e+03        1.000          18.2
  35      7.2411e+01       2.8352e+03       -1.9070e+03        0.999          18.8
  36      5.4092e+01       3.0571e+03       -2.3420e+03        0.999          20.3
  37      3.9533e+01       3.3557e+03       -2.9304e+03        0.999          22.1
  38      2.8174e+01       3.7855e+03       -3.7280e+03        0.999          23.5
  39      1.9503e+01       4.4323e+03       -4.8166e+03        0.999          25.2
  40      1.3058e+01       5.4315e+03       -6.3053e+03        0.999          27.5
  41      8.4196e+00       6.9926e+03       -8.3219e+03        0.999          30.2
  42      5.2123e+00       9.4094e+03       -1.0990e+04        0.999          32.9
  43      3.0979e+00       1.3023e+04       -1.4410e+04        0.999          36.3
  44      1.7783e+00       1.8179e+04       -1.8675e+04        0.999          41.3
  45      1.0000e+00       2.5019e+04       -2.3924e+04        0.999          46.0

