File.......:  cell2ppoclliftfsi40wt - NOV,12.2021

System.....:  
Potential..:  -0.050V
Current....:  -25.208nA
Temperature:  -0.8 +-0.2 C
Time.......:  11:48:56 - 11:49:42
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.5942e+02       -7.7356e+02        0.998           0.0
   2      7.5549e+05       4.2238e+02       -9.4325e+02        0.998           1.3
   3      5.7077e+05       6.2660e+02       -1.1408e+03        0.998           1.8
   4      4.3121e+05       9.4142e+02       -1.2069e+03        0.998           2.8
   5      3.2578e+05       1.2641e+03       -1.2613e+03        0.999           3.7
   6      2.4612e+05       1.5923e+03       -1.2424e+03        0.999           4.1
   7      1.8594e+05       1.8922e+03       -1.1586e+03        1.000           4.6
   8      1.4048e+05       2.1352e+03       -1.0244e+03        0.999           5.0
   9      1.0613e+05       2.3229e+03       -8.8505e+02        1.000           5.5
  10      8.0180e+04       2.4570e+03       -7.4681e+02        1.000           5.9
  11      6.0575e+04       2.5537e+03       -6.2673e+02        1.000           6.4
  12      4.5764e+04       2.6231e+03       -5.2839e+02        1.000           6.8
  13      3.4574e+04       2.6787e+03       -4.5511e+02        1.000           7.3
  14      2.6121e+04       2.7208e+03       -4.0026e+02        1.000           7.7
  15      1.9734e+04       2.7583e+03       -3.6357e+02        1.000           8.2
  16      1.4909e+04       2.7928e+03       -3.4441e+02        1.000           8.6
  17      1.1263e+04       2.8288e+03       -3.3870e+02        1.000           9.1
  18      8.5095e+03       2.8639e+03       -3.4639e+02        1.000           9.5
  19      6.4288e+03       2.9034e+03       -3.6747e+02        1.000          10.0
  20      4.8569e+03       2.9472e+03       -3.9953e+02        1.000          10.5
  21      3.6694e+03       2.9976e+03       -4.3905e+02        1.000          10.9
  22      2.7722e+03       3.0534e+03       -4.9660e+02        1.000          11.4
  23      2.0944e+03       3.1177e+03       -5.6797e+02        1.000          11.8
  24      1.5823e+03       3.1922e+03       -6.5467e+02        1.000          12.3
  25      1.1954e+03       3.2774e+03       -7.6197e+02        1.000          12.8
  26      9.0311e+02       3.3767e+03       -8.8966e+02        0.999          13.2
  27      6.8229e+02       3.4915e+03       -1.0446e+03        1.000          13.7
  28      5.1546e+02       3.6249e+03       -1.2311e+03        1.000          14.1
  29      3.8943e+02       3.7833e+03       -1.4526e+03        1.000          14.6
  30      2.9421e+02       3.9661e+03       -1.7223e+03        1.000          15.1
  31      2.2227e+02       4.1845e+03       -2.0434e+03        1.000          15.5
  32      1.6793e+02       4.4405e+03       -2.4349e+03        1.000          16.0
  33      1.2687e+02       4.7490e+03       -2.9077e+03        1.000          16.4
  34      9.5846e+01       5.1239e+03       -3.4756e+03        1.000          17.0
  35      7.2411e+01       5.5639e+03       -4.1532e+03        0.999          17.8
  36      5.4092e+01       6.1344e+03       -5.0015e+03        0.999          19.4
  37      3.9533e+01       6.9136e+03       -6.0882e+03        0.999          21.2
  38      2.8174e+01       7.9835e+03       -7.4933e+03        0.999          22.6
  39      1.9503e+01       9.4836e+03       -9.3159e+03        0.999          24.2
  40      1.3058e+01       1.1608e+04       -1.1688e+04        0.999          26.0
  41      8.4196e+00       1.4648e+04       -1.4767e+04        0.999          28.2
  42      5.2123e+00       1.8978e+04       -1.8751e+04        1.000          30.8
  43      3.0979e+00       2.5047e+04       -2.3863e+04        1.000          34.1
  44      1.7783e+00       3.3347e+04       -3.0418e+04        1.000          39.1
  45      1.0000e+00       4.4099e+04       -3.8747e+04        0.999          43.7

