File.......:  cell10ppobqliftfsi30wt - NOV,12.2021

System.....:  
Potential..:  -0.002V
Current....:  -37.688nA
Temperature:  -0.7 +-0.1 C
Time.......:  11:50:27 - 11:51:16
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.4624e+02       -3.4035e+02        0.997           0.0
   2      7.5549e+05       4.3865e+02       -3.3773e+02        0.999           1.3
   3      5.7077e+05       5.1598e+02       -3.2121e+02        0.999           1.8
   4      4.3121e+05       5.7859e+02       -2.8469e+02        1.000           2.5
   5      3.2578e+05       6.3125e+02       -2.5020e+02        1.000           3.2
   6      2.4612e+05       6.7089e+02       -2.1572e+02        1.000           3.7
   7      1.8594e+05       7.0110e+02       -1.8570e+02        1.000           4.1
   8      1.4048e+05       7.1914e+02       -1.5728e+02        1.000           4.8
   9      1.0613e+05       7.3648e+02       -1.3945e+02        1.000           5.5
  10      8.0180e+04       7.5075e+02       -1.2720e+02        1.000           5.9
  11      6.0575e+04       7.6334e+02       -1.1989e+02        1.000           6.4
  12      4.5764e+04       7.7544e+02       -1.1795e+02        1.000           6.8
  13      3.4574e+04       7.8727e+02       -1.2065e+02        1.000           7.3
  14      2.6121e+04       8.0023e+02       -1.2798e+02        1.000           7.7
  15      1.9734e+04       8.1455e+02       -1.4038e+02        1.000           8.2
  16      1.4909e+04       8.3085e+02       -1.5734e+02        1.000           8.6
  17      1.1263e+04       8.4954e+02       -1.8013e+02        1.000           9.1
  18      8.5095e+03       8.7132e+02       -2.0870e+02        1.000           9.5
  19      6.4288e+03       8.9654e+02       -2.4435e+02        1.000          10.0
  20      4.8569e+03       9.2633e+02       -2.8741e+02        1.000          10.5
  21      3.6694e+03       9.6187e+02       -3.3859e+02        1.000          10.9
  22      2.7722e+03       1.0027e+03       -4.0219e+02        0.999          11.4
  23      2.0944e+03       1.0508e+03       -4.7889e+02        0.999          11.8
  24      1.5823e+03       1.1073e+03       -5.7158e+02        1.000          12.3
  25      1.1954e+03       1.1732e+03       -6.8472e+02        1.000          12.8
  26      9.0311e+02       1.2508e+03       -8.2199e+02        0.999          13.2
  27      6.8229e+02       1.3416e+03       -9.9008e+02        0.999          13.7
  28      5.1546e+02       1.4487e+03       -1.1962e+03        1.000          14.1
  29      3.8943e+02       1.5778e+03       -1.4492e+03        1.000          14.6
  30      2.9421e+02       1.7304e+03       -1.7618e+03        0.999          15.1
  31      2.2227e+02       1.9179e+03       -2.1462e+03        0.999          15.5
  32      1.6793e+02       2.1447e+03       -2.6219e+03        0.999          16.0
  33      1.2687e+02       2.4255e+03       -3.2083e+03        0.998          16.4
  34      9.5846e+01       2.7778e+03       -3.9292e+03        0.998          17.0
  35      7.2411e+01       3.2215e+03       -4.8089e+03        0.998          17.5
  36      5.4092e+01       3.7794e+03       -5.9163e+03        0.998          19.3
  37      3.9533e+01       4.5819e+03       -7.3858e+03        0.998          21.5
  38      2.8174e+01       5.7169e+03       -9.3480e+03        0.998          22.9
  39      1.9503e+01       7.3664e+03       -1.1989e+04        0.997          24.5
  40      1.3058e+01       9.7987e+03       -1.5581e+04        0.997          26.4
  41      8.4196e+00       1.3445e+04       -2.0498e+04        0.997          28.6
  42      5.2123e+00       1.8943e+04       -2.7270e+04        0.996          31.3
  43      3.0979e+00       2.7170e+04       -3.6509e+04        0.996          34.7
  44      1.7783e+00       3.9299e+04       -4.9065e+04        0.995          39.7
  45      1.0000e+00       5.6203e+04       -6.5491e+04        0.993          46.7

