File.......:  cell1ppocllifsi30wt - NOV,18.2021

System.....:  
Potential..:  0.010V
Current....:  -29.803nA
Temperature:  -0.8 +-0.0 C
Time.......:  14:15:02 - 14:15:51
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.4348e+02       -4.2152e+02        0.999           0.0
   2      7.5549e+05       2.0142e+02       -5.2442e+02        0.999           1.5
   3      5.7077e+05       2.5684e+02       -6.4354e+02        0.998           2.1
   4      4.3121e+05       3.6889e+02       -7.6682e+02        0.998           3.0
   5      3.2578e+05       4.9032e+02       -9.2160e+02        0.999           4.0
   6      2.4612e+05       6.4808e+02       -1.0943e+03        0.998           4.4
   7      1.8594e+05       8.4855e+02       -1.2816e+03        0.999           4.8
   8      1.4048e+05       1.0997e+03       -1.4706e+03        0.999           5.3
   9      1.0613e+05       1.4000e+03       -1.6579e+03        0.999           5.7
  10      8.0180e+04       1.7520e+03       -1.8263e+03        0.999           6.2
  11      6.0575e+04       2.1408e+03       -1.9598e+03        0.999           6.6
  12      4.5764e+04       2.5631e+03       -2.0563e+03        0.999           7.1
  13      3.4574e+04       2.9923e+03       -2.1180e+03        0.999           7.5
  14      2.6121e+04       3.4236e+03       -2.1366e+03        1.000           8.0
  15      1.9734e+04       3.8417e+03       -2.1302e+03        1.000           8.4
  16      1.4909e+04       4.2340e+03       -2.1093e+03        0.999           8.9
  17      1.1263e+04       4.6140e+03       -2.0864e+03        1.000           9.3
  18      8.5095e+03       4.9648e+03       -2.0655e+03        1.000           9.8
  19      6.4288e+03       5.3039e+03       -2.0649e+03        1.000          10.3
  20      4.8569e+03       5.6297e+03       -2.0839e+03        1.000          10.7
  21      3.6694e+03       5.9588e+03       -2.1180e+03        0.999          11.2
  22      2.7722e+03       6.2834e+03       -2.1928e+03        1.000          11.6
  23      2.0944e+03       6.6121e+03       -2.2971e+03        1.000          12.3
  24      1.5823e+03       6.9615e+03       -2.4431e+03        1.000          13.0
  25      1.1954e+03       7.3323e+03       -2.6339e+03        1.000          13.5
  26      9.0311e+02       7.7349e+03       -2.8675e+03        1.000          13.9
  27      6.8229e+02       8.1740e+03       -3.1519e+03        1.000          14.4
  28      5.1546e+02       8.6597e+03       -3.4901e+03        1.000          14.9
  29      3.8943e+02       9.2077e+03       -3.8800e+03        1.000          15.3
  30      2.9421e+02       9.8140e+03       -4.3372e+03        1.000          15.8
  31      2.2227e+02       1.0503e+04       -4.8542e+03        1.000          16.2
  32      1.6793e+02       1.1272e+04       -5.4537e+03        1.000          16.7
  33      1.2687e+02       1.2141e+04       -6.1340e+03        1.000          17.2
  34      9.5846e+01       1.3129e+04       -6.9021e+03        0.999          17.7
  35      7.2411e+01       1.4245e+04       -7.7602e+03        0.999          18.3
  36      5.4092e+01       1.5527e+04       -8.7913e+03        0.999          19.7
  37      3.9533e+01       1.7136e+04       -1.0008e+04        0.999          21.4
  38      2.8174e+01       1.9117e+04       -1.1508e+04        0.999          22.8
  39      1.9503e+01       2.1594e+04       -1.3357e+04        0.999          24.4
  40      1.3058e+01       2.4704e+04       -1.5714e+04        0.999          26.3
  41      8.4196e+00       2.8650e+04       -1.8805e+04        0.999          28.4
  42      5.2123e+00       3.3707e+04       -2.3072e+04        0.999          31.1
  43      3.0979e+00       4.0293e+04       -2.9220e+04        0.999          34.4
  44      1.7783e+00       4.9184e+04       -3.8362e+04        0.999          39.3
  45      1.0000e+00       6.1364e+04       -5.1680e+04        0.999          46.2

