File.......:  cell2ppochloranillibf4 - NOV,23.2021

System.....:  
Potential..:  0.003V
Current....:  11.282pA
Temperature:  -0.8 +-0.2 C
Time.......:  19:44:19 - 19:45:08
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -6.2642e+00       -9.8084e+02        0.996           0.0
   2      7.5549e+05       1.3459e+01       -1.3165e+03        0.992           1.8
   3      5.7077e+05      -8.9472e+00       -1.7196e+03        0.998           2.3
   4      4.3121e+05       9.0082e+01       -2.2515e+03        0.997           3.3
   5      3.2578e+05       1.3884e+02       -2.9639e+03        0.997           4.2
   6      2.4612e+05       1.9153e+02       -3.8668e+03        0.998           4.7
   7      1.8594e+05       2.5792e+02       -5.0759e+03        0.998           5.1
   8      1.4048e+05       4.0561e+02       -6.6550e+03        0.997           5.5
   9      1.0613e+05       4.4969e+02       -8.7191e+03        0.998           6.0
  10      8.0180e+04       7.4316e+02       -1.1487e+04        0.999           6.7
  11      6.0575e+04       9.1004e+02       -1.5007e+04        0.999           7.3
  12      4.5764e+04       1.1175e+03       -1.9694e+04        0.998           7.8
  13      3.4574e+04       1.3725e+03       -2.5840e+04        0.998           8.2
  14      2.6121e+04       1.7407e+03       -3.3907e+04        0.998           8.7
  15      1.9734e+04       2.2269e+03       -4.4599e+04        0.999           9.2
  16      1.4909e+04       2.7658e+03       -5.8490e+04        0.999           9.6
  17      1.1263e+04       3.5310e+03       -7.6885e+04        0.998          10.1
  18      8.5095e+03       6.3675e+03       -1.0144e+05        0.997          10.8
  19      6.4288e+03       7.6369e+03       -1.3305e+05        0.998          11.5
  20      4.8569e+03       9.4752e+03       -1.7485e+05        0.998          11.9
  21      3.6694e+03       1.2069e+04       -2.2967e+05        0.998          12.4
  22      2.7722e+03       1.5360e+04       -3.0163e+05        0.999          12.8
  23      2.0944e+03       2.0199e+04       -3.9654e+05        0.997          13.3
  24      1.5823e+03       2.7158e+04       -5.2118e+05        0.997          13.7
  25      1.1954e+03       3.5773e+04       -6.8516e+05        0.997          14.2
  26      9.0311e+02       7.3739e+04       -9.0381e+05        0.999          14.9
  27      6.8229e+02       9.3581e+04       -1.1829e+06        0.997          15.6
  28      5.1546e+02       1.2043e+05       -1.5483e+06        0.999          16.0
  29      3.8943e+02       1.6426e+05       -2.0315e+06        0.997          16.5
  30      2.9421e+02       2.2228e+05       -2.6498e+06        0.999          17.0
  31      2.2227e+02       3.3344e+05       -3.4801e+06        0.997          17.4
  32      1.6793e+02       4.4018e+05       -4.5408e+06        0.998          17.9
  33      1.2687e+02       6.0750e+05       -5.9312e+06        0.995          18.3
  34      9.5846e+01       9.9767e+05       -7.9208e+06        0.995          18.9
  35      7.2411e+01       1.5325e+06       -1.0159e+07        0.997          19.5
  36      5.4092e+01      -7.3749e+05       -1.3300e+07        0.997          21.3
  37      3.9533e+01       3.3847e+06       -1.6220e+07        0.993          23.5
  38      2.8174e+01       6.2165e+06       -2.3993e+07        0.947          24.9
  39      1.9503e+01       9.4377e+06       -3.2128e+07        0.964          26.6
  40      1.3058e+01       1.4856e+07       -4.3104e+07        0.975          28.5
  41      8.4196e+00       2.6354e+07       -6.3009e+07        0.943          30.7
  42      5.2123e+00       4.3531e+07       -8.3670e+07        0.980          33.4
  43      3.0979e+00       7.6958e+07       -1.1068e+08        0.998          36.8
  44      1.7783e+00       1.2770e+08       -1.3509e+08        0.995          41.8
  45      1.0000e+00       1.8902e+08       -1.5392e+08        0.990          46.5

