File.......:  cell3ppochloranillibf4 - NOV,23.2021

System.....:  
Potential..:  -0.001V
Current....:  13.502pA
Temperature:  -0.8 +-0.2 C
Time.......:  19:46:21 - 19:47:11
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.0221e+02       -9.5544e+02        0.998           0.0
   2      7.5549e+05       9.3683e+01       -1.2228e+03        0.999           1.8
   3      5.7077e+05       3.4780e+01       -1.6030e+03        0.995           2.3
   4      4.3121e+05       1.7948e+02       -2.1024e+03        0.998           3.3
   5      3.2578e+05       2.1432e+02       -2.7636e+03        0.998           4.2
   6      2.4612e+05       2.5934e+02       -3.6135e+03        0.998           4.7
   7      1.8594e+05       2.9557e+02       -4.7155e+03        0.998           5.1
   8      1.4048e+05       4.3796e+02       -6.1863e+03        0.998           5.5
   9      1.0613e+05       4.7458e+02       -8.1268e+03        0.998           6.0
  10      8.0180e+04       7.4513e+02       -1.0686e+04        0.999           6.7
  11      6.0575e+04       8.9718e+02       -1.3996e+04        0.998           7.3
  12      4.5764e+04       1.0917e+03       -1.8351e+04        0.998           7.8
  13      3.4574e+04       1.3164e+03       -2.4092e+04        0.998           8.2
  14      2.6121e+04       1.6632e+03       -3.1620e+04        0.999           8.7
  15      1.9734e+04       2.0648e+03       -4.1564e+04        0.998           9.2
  16      1.4909e+04       2.5678e+03       -5.4594e+04        0.998           9.6
  17      1.1263e+04       3.2902e+03       -7.1809e+04        0.999          10.1
  18      8.5095e+03       5.8526e+03       -9.4766e+04        0.998          10.8
  19      6.4288e+03       6.9913e+03       -1.2433e+05        0.998          11.5
  20      4.8569e+03       8.6378e+03       -1.6343e+05        0.998          11.9
  21      3.6694e+03       1.0932e+04       -2.1479e+05        0.999          12.4
  22      2.7722e+03       1.3830e+04       -2.8225e+05        0.998          12.8
  23      2.0944e+03       1.7968e+04       -3.7101e+05        0.998          13.3
  24      1.5823e+03       2.4015e+04       -4.8799e+05        0.998          13.7
  25      1.1954e+03       3.2006e+04       -6.4122e+05        0.998          14.2
  26      9.0311e+02       6.6073e+04       -8.4594e+05        0.999          14.9
  27      6.8229e+02       8.3062e+04       -1.1089e+06        0.997          15.6
  28      5.1546e+02       1.0661e+05       -1.4542e+06        0.999          16.0
  29      3.8943e+02       1.4261e+05       -1.9042e+06        0.998          16.5
  30      2.9421e+02       1.9789e+05       -2.5023e+06        0.999          17.0
  31      2.2227e+02       2.5796e+05       -3.2596e+06        0.998          17.4
  32      1.6793e+02       3.9378e+05       -4.2760e+06        0.996          17.9
  33      1.2687e+02       5.6731e+05       -5.5898e+06        0.998          18.3
  34      9.5846e+01       8.6442e+05       -7.3710e+06        0.997          19.4
  35      7.2411e+01       1.3552e+06       -9.6090e+06        0.996          20.5
  36      5.4092e+01       1.4331e+06       -1.5710e+07        0.998          22.2
  37      3.9533e+01       1.9880e+06       -1.6199e+07        0.991          24.5
  38      2.8174e+01       4.5801e+06       -2.1270e+07        0.956          25.9
  39      1.9503e+01       7.8177e+06       -3.0613e+07        0.969          27.6
  40      1.3058e+01       1.1880e+07       -4.3068e+07        0.980          29.5
  41      8.4196e+00       2.2118e+07       -6.1830e+07        0.945          31.6
  42      5.2123e+00       3.7861e+07       -8.6364e+07        0.983          34.3
  43      3.0979e+00       6.8395e+07       -1.1943e+08        0.997          37.7
  44      1.7783e+00       1.1958e+08       -1.5830e+08        0.995          42.7
  45      1.0000e+00       1.9396e+08       -1.9329e+08        0.988          47.4

