File.......:  cell4ppochloranillibf4 - NOV,23.2021

System.....:  
Potential..:  -0.012V
Current....:  -9.0693pA
Temperature:  -0.8 +-0.1 C
Time.......:  19:48:01 - 19:48:51
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.0549e+02       -9.5680e+02        0.997           0.0
   2      7.5549e+05       2.4039e+02       -1.2404e+03        0.996           1.8
   3      5.7077e+05       2.2493e+02       -1.5745e+03        0.997           2.3
   4      4.3121e+05       3.3923e+02       -2.0394e+03        0.998           3.3
   5      3.2578e+05       3.8591e+02       -2.6447e+03        0.998           4.2
   6      2.4612e+05       4.5648e+02       -3.4497e+03        0.997           4.7
   7      1.8594e+05       4.8389e+02       -4.5123e+03        0.999           5.1
   8      1.4048e+05       5.6710e+02       -5.8716e+03        0.999           5.5
   9      1.0613e+05       6.7068e+02       -7.7039e+03        0.998           6.0
  10      8.0180e+04       9.6761e+02       -1.0126e+04        0.999           6.7
  11      6.0575e+04       1.1311e+03       -1.3233e+04        0.999           7.3
  12      4.5764e+04       1.3256e+03       -1.7350e+04        0.998           7.8
  13      3.4574e+04       1.5755e+03       -2.2753e+04        0.998           8.2
  14      2.6121e+04       1.9339e+03       -2.9833e+04        0.999           8.7
  15      1.9734e+04       2.3820e+03       -3.9192e+04        0.998           9.2
  16      1.4909e+04       2.9643e+03       -5.1382e+04        0.999           9.6
  17      1.1263e+04       3.7260e+03       -6.7527e+04        0.998          10.1
  18      8.5095e+03       4.7929e+03       -8.8678e+04        0.998          10.5
  19      6.4288e+03       7.6562e+03       -1.1658e+05        0.998          11.2
  20      4.8569e+03       9.5592e+03       -1.5270e+05        0.998          11.9
  21      3.6694e+03       1.2287e+04       -2.0092e+05        0.998          12.4
  22      2.7722e+03       1.5894e+04       -2.6366e+05        0.999          12.8
  23      2.0944e+03       2.0969e+04       -3.4607e+05        0.997          13.3
  24      1.5823e+03       2.8363e+04       -4.5427e+05        0.998          13.7
  25      1.1954e+03       3.8880e+04       -5.9575e+05        0.998          14.2
  26      9.0311e+02       5.3125e+04       -7.8133e+05        0.999          14.7
  27      6.8229e+02       9.5692e+04       -1.0248e+06        0.998          15.3
  28      5.1546e+02       1.2686e+05       -1.3399e+06        0.997          16.0
  29      3.8943e+02       1.7305e+05       -1.7500e+06        0.997          16.5
  30      2.9421e+02       2.3997e+05       -2.2860e+06        0.997          17.0
  31      2.2227e+02       3.5518e+05       -2.9881e+06        0.998          17.4
  32      1.6793e+02       4.9352e+05       -3.8732e+06        0.996          17.9
  33      1.2687e+02       7.4462e+05       -5.0113e+06        0.997          18.3
  34      9.5846e+01       9.8444e+05       -6.6489e+06        0.996          18.9
  35      7.2411e+01       1.5144e+06       -8.5063e+06        0.997          19.5
  36      5.4092e+01       2.9992e+06       -9.1658e+06        0.996          20.9
  37      3.9533e+01       4.0840e+06       -1.4931e+07        0.997          22.8
  38      2.8174e+01       5.3184e+06       -1.8171e+07        0.963          24.7
  39      1.9503e+01       8.8018e+06       -2.4387e+07        0.966          26.7
  40      1.3058e+01       1.5778e+07       -3.2569e+07        0.982          28.6
  41      8.4196e+00       2.4607e+07       -4.2104e+07        0.956          30.8
  42      5.2123e+00       4.1990e+07       -5.3017e+07        0.985          33.5
  43      3.0979e+00       6.3118e+07       -6.3384e+07        0.999          36.9
  44      1.7783e+00       9.0208e+07       -7.0329e+07        0.998          41.9
  45      1.0000e+00       1.1762e+08       -7.6506e+07        0.989          46.5

