File.......:  cell10ppoclliftfsi40wt - DEC,01.2021

System.....:  
Potential..:  -0.009V
Current....:  -6.5388nA
Temperature:  -0.8 +-0.1 C
Time.......:  16:26:20 - 16:27:07
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.2797e+01       -1.0088e+00        0.999           0.0
   2      7.5549e+05       2.2447e+01       -1.6590e+00        0.999           1.3
   3      5.7077e+05       2.2365e+01       -2.3335e+00        1.000           1.8
   4      4.3121e+05       2.1781e+01       -3.0496e+00        1.000           2.5
   5      3.2578e+05       2.2634e+01       -3.8394e+00        1.000           3.2
   6      2.4612e+05       2.3483e+01       -4.7050e+00        1.000           3.7
   7      1.8594e+05       2.4505e+01       -5.6920e+00        1.000           4.1
   8      1.4048e+05       2.5607e+01       -6.8256e+00        1.000           4.6
   9      1.0613e+05       2.5782e+01       -8.1391e+00        1.000           5.0
  10      8.0180e+04       2.7511e+01       -9.7031e+00        1.000           5.5
  11      6.0575e+04       2.8601e+01       -1.1582e+01        1.000           5.9
  12      4.5764e+04       2.9771e+01       -1.3844e+01        1.000           6.3
  13      3.4574e+04       3.1150e+01       -1.6628e+01        1.000           6.8
  14      2.6121e+04       3.3367e+01       -1.9974e+01        1.000           7.3
  15      1.9734e+04       3.5533e+01       -2.4114e+01        1.000           7.7
  16      1.4909e+04       3.7886e+01       -2.9243e+01        0.999           8.2
  17      1.1263e+04       4.0032e+01       -3.5657e+01        1.000           8.6
  18      8.5095e+03       4.2780e+01       -4.3546e+01        1.000           9.1
  19      6.4288e+03       4.7653e+01       -5.3925e+01        1.000           9.8
  20      4.8569e+03       5.2971e+01       -6.6221e+01        1.000          10.5
  21      3.6694e+03       5.9529e+01       -8.1382e+01        0.999          10.9
  22      2.7722e+03       6.7533e+01       -1.0022e+02        0.998          11.4
  23      2.0944e+03       7.7215e+01       -1.2352e+02        0.999          11.8
  24      1.5823e+03       8.9386e+01       -1.5234e+02        0.999          12.3
  25      1.1954e+03       1.0413e+02       -1.8799e+02        0.999          12.8
  26      9.0311e+02       1.2260e+02       -2.3204e+02        0.998          13.2
  27      6.8229e+02       1.4473e+02       -2.8649e+02        0.999          13.7
  28      5.1546e+02       1.7267e+02       -3.5374e+02        0.999          14.1
  29      3.8943e+02       2.0673e+02       -4.3694e+02        0.999          14.6
  30      2.9421e+02       2.4821e+02       -5.3935e+02        0.999          15.1
  31      2.2227e+02       2.9922e+02       -6.6057e+02        0.998          15.8
  32      1.6793e+02       3.6356e+02       -8.1506e+02        0.998          16.4
  33      1.2687e+02       4.4328e+02       -1.0058e+03        0.997          16.9
  34      9.5846e+01       5.4216e+02       -1.2420e+03        0.998          17.4
  35      7.2411e+01       6.6464e+02       -1.5323e+03        0.997          18.0
  36      5.4092e+01       8.2070e+02       -1.9069e+03        0.997          19.5
  37      3.9533e+01       1.0353e+03       -2.4124e+03        0.997          21.2
  38      2.8174e+01       1.3332e+03       -3.1109e+03        0.997          22.7
  39      1.9503e+01       1.7631e+03       -4.0947e+03        0.997          24.4
  40      1.3058e+01       2.4011e+03       -5.5178e+03        0.997          26.2
  41      8.4196e+00       3.3762e+03       -7.6182e+03        0.996          28.9
  42      5.2123e+00       4.9287e+03       -1.0816e+04        0.996          32.1
  43      3.0979e+00       7.4416e+03       -1.5691e+04        0.996          35.5
  44      1.7783e+00       1.1561e+04       -2.3210e+04        0.996          40.5
  45      1.0000e+00       1.8066e+04       -3.4336e+04        0.996          45.1

