File.......:  cell3ppoclliftfsi40wt - DEC,01.2021

System.....:  
Potential..:  0.007V
Current....:  -35.22nA
Temperature:  -0.8 +-0.0 C
Time.......:  16:22:56 - 16:23:44
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.0161e+01       -1.3311e+00        0.999           0.0
   2      7.5549e+05       4.0133e+01       -1.4467e+00        0.999           1.3
   3      5.7077e+05       4.0199e+01       -1.6424e+00        1.000           1.8
   4      4.3121e+05       4.0300e+01       -1.9011e+00        1.000           2.5
   5      3.2578e+05       4.0409e+01       -2.2799e+00        1.000           3.2
   6      2.4612e+05       4.0586e+01       -2.7384e+00        1.000           3.7
   7      1.8594e+05       4.0831e+01       -3.3471e+00        1.000           4.1
   8      1.4048e+05       4.1166e+01       -4.0954e+00        1.000           4.6
   9      1.0613e+05       4.1501e+01       -5.0463e+00        1.000           5.0
  10      8.0180e+04       4.2007e+01       -6.2123e+00        1.000           5.5
  11      6.0575e+04       4.2540e+01       -7.7724e+00        1.000           5.9
  12      4.5764e+04       4.3405e+01       -9.6120e+00        1.000           6.3
  13      3.4574e+04       4.4426e+01       -1.1914e+01        1.000           6.8
  14      2.6121e+04       4.5689e+01       -1.4626e+01        1.000           7.3
  15      1.9734e+04       4.7232e+01       -1.7953e+01        1.000           7.7
  16      1.4909e+04       4.9128e+01       -2.2021e+01        1.000           8.2
  17      1.1263e+04       5.1510e+01       -2.6958e+01        0.999           8.6
  18      8.5095e+03       5.4322e+01       -3.2894e+01        0.999           9.1
  19      6.4288e+03       5.8228e+01       -4.0579e+01        0.999           9.8
  20      4.8569e+03       6.2373e+01       -4.9553e+01        0.999          10.5
  21      3.6694e+03       6.7419e+01       -6.0507e+01        0.999          10.9
  22      2.7722e+03       7.3261e+01       -7.4150e+01        1.000          11.4
  23      2.0944e+03       8.0328e+01       -9.1035e+01        0.999          11.8
  24      1.5823e+03       8.8893e+01       -1.1202e+02        0.999          12.3
  25      1.1954e+03       9.9156e+01       -1.3819e+02        0.999          12.8
  26      9.0311e+02       1.1181e+02       -1.7081e+02        1.000          13.2
  27      6.8229e+02       1.2737e+02       -2.1155e+02        0.998          13.7
  28      5.1546e+02       1.4671e+02       -2.6233e+02        0.999          14.1
  29      3.8943e+02       1.7131e+02       -3.2568e+02        0.998          14.6
  30      2.9421e+02       2.0208e+02       -4.0424e+02        0.999          15.1
  31      2.2227e+02       2.4164e+02       -5.0146e+02        0.999          15.5
  32      1.6793e+02       2.9133e+02       -6.2149e+02        0.999          16.0
  33      1.2687e+02       3.5086e+02       -7.6285e+02        0.999          16.7
  34      9.5846e+01       4.2999e+02       -9.4235e+02        0.999          17.4
  35      7.2411e+01       5.3031e+02       -1.1613e+03        0.999          18.0
  36      5.4092e+01       6.5988e+02       -1.4396e+03        1.000          19.4
  37      3.9533e+01       8.4063e+02       -1.8087e+03        1.000          21.2
  38      2.8174e+01       1.0938e+03       -2.3081e+03        1.000          22.7
  39      1.9503e+01       1.4578e+03       -2.9939e+03        0.999          24.3
  40      1.3058e+01       1.9939e+03       -3.9576e+03        0.999          26.2
  41      8.4196e+00       2.8080e+03       -5.3397e+03        0.999          28.4
  42      5.2123e+00       4.0754e+03       -7.3429e+03        1.000          31.6
  43      3.0979e+00       6.0786e+03       -1.0243e+04        0.999          35.6
  44      1.7783e+00       9.2599e+03       -1.4429e+04        0.998          40.6
  45      1.0000e+00       1.4018e+04       -2.0089e+04        0.998          45.2

