File.......:  cell1ppobqliftfsi30wt - DEC,02.2021

System.....:  
Potential..:  0.018V
Current....:  -117.73nA
Temperature:  -0.8 +-0.1 C
Time.......:  16:20:03 - 16:20:50
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.0504e+02       -8.7733e+01        0.999           0.0
   2      7.5549e+05       2.2024e+02       -7.8112e+01        0.999           1.0
   3      5.7077e+05       2.3364e+02       -6.8791e+01        0.999           1.5
   4      4.3121e+05       2.4428e+02       -6.0182e+01        1.000           2.3
   5      3.2578e+05       2.5212e+02       -5.3009e+01        1.000           3.0
   6      2.4612e+05       2.5860e+02       -4.7128e+01        1.000           3.4
   7      1.8594e+05       2.6382e+02       -4.2432e+01        1.000           3.8
   8      1.4048e+05       2.6875e+02       -3.9217e+01        1.000           4.3
   9      1.0613e+05       2.7433e+02       -3.7252e+01        1.000           4.8
  10      8.0180e+04       2.7829e+02       -3.6475e+01        1.000           5.2
  11      6.0575e+04       2.8180e+02       -3.7514e+01        1.000           5.7
  12      4.5764e+04       2.8615e+02       -3.9488e+01        1.000           6.1
  13      3.4574e+04       2.9109e+02       -4.2990e+01        1.000           6.6
  14      2.6121e+04       2.9636e+02       -4.7418e+01        1.000           7.0
  15      1.9734e+04       3.0251e+02       -5.3470e+01        1.000           7.5
  16      1.4909e+04       3.0976e+02       -6.1208e+01        1.000           7.9
  17      1.1263e+04       3.1794e+02       -7.0600e+01        1.000           8.4
  18      8.5095e+03       3.2712e+02       -8.2053e+01        1.000           8.8
  19      6.4288e+03       3.3797e+02       -9.5997e+01        1.000           9.3
  20      4.8569e+03       3.5057e+02       -1.1259e+02        1.000           9.8
  21      3.6694e+03       3.6526e+02       -1.3197e+02        1.000          10.2
  22      2.7722e+03       3.8241e+02       -1.5596e+02        1.000          10.6
  23      2.0944e+03       4.0184e+02       -1.8483e+02        0.999          11.1
  24      1.5823e+03       4.2491e+02       -2.1962e+02        1.000          11.6
  25      1.1954e+03       4.5235e+02       -2.6194e+02        0.999          12.0
  26      9.0311e+02       4.8540e+02       -3.1275e+02        1.000          12.5
  27      6.8229e+02       5.2491e+02       -3.7404e+02        0.999          12.9
  28      5.1546e+02       5.6912e+02       -4.4427e+02        1.000          13.7
  29      3.8943e+02       6.2867e+02       -5.3096e+02        0.999          14.4
  30      2.9421e+02       7.0089e+02       -6.3374e+02        1.000          14.8
  31      2.2227e+02       7.9126e+02       -7.5388e+02        0.999          15.3
  32      1.6793e+02       9.0072e+02       -8.9402e+02        0.999          15.7
  33      1.2687e+02       1.0347e+03       -1.0553e+03        0.999          16.2
  34      9.5846e+01       1.1980e+03       -1.2395e+03        0.999          16.7
  35      7.2411e+01       1.3953e+03       -1.4454e+03        0.999          17.3
  36      5.4092e+01       1.6381e+03       -1.6860e+03        0.999          18.7
  37      3.9533e+01       1.9544e+03       -1.9707e+03        0.999          20.5
  38      2.8174e+01       2.3627e+03       -2.3105e+03        0.999          21.9
  39      1.9503e+01       2.8900e+03       -2.7131e+03        0.999          23.5
  40      1.3058e+01       3.5699e+03       -3.1962e+03        0.998          25.3
  41      8.4196e+00       4.4472e+03       -3.7856e+03        0.998          27.5
  42      5.2123e+00       5.5771e+03       -4.5181e+03        0.998          30.7
  43      3.0979e+00       7.0396e+03       -5.4536e+03        0.997          34.5
  44      1.7783e+00       8.9495e+03       -6.6698e+03        0.997          39.5
  45      1.0000e+00       1.1326e+04       -8.1929e+03        0.995          44.1

