File.......:  cell2ppobqliftfsi30w - DEC,02.2021

System.....:  
Potential..:  0.110V
Current....:  -35.282nA
Temperature:  -0.8 +-0.0 C
Time.......:  16:22:24 - 16:23:10
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.5852e+02       -2.5335e+02        0.999           0.0
   2      7.5549e+05       4.1697e+02       -2.3374e+02        0.999           1.3
   3      5.7077e+05       4.6718e+02       -2.1508e+02        0.999           1.8
   4      4.3121e+05       5.0506e+02       -1.8368e+02        1.000           2.5
   5      3.2578e+05       5.3685e+02       -1.5865e+02        1.000           3.2
   6      2.4612e+05       5.6124e+02       -1.3629e+02        1.000           3.7
   7      1.8594e+05       5.8045e+02       -1.1655e+02        1.000           4.1
   8      1.4048e+05       5.9862e+02       -1.0035e+02        1.000           4.6
   9      1.0613e+05       6.1018e+02       -8.7091e+01        1.000           5.0
  10      8.0180e+04       6.2398e+02       -7.6985e+01        1.000           5.5
  11      6.0575e+04       6.3103e+02       -7.2187e+01        1.000           5.9
  12      4.5764e+04       6.4063e+02       -6.8732e+01        1.000           6.3
  13      3.4574e+04       6.5249e+02       -6.8957e+01        1.000           6.8
  14      2.6121e+04       6.5305e+02       -6.8759e+01        1.000           7.5
  15      1.9734e+04       6.6185e+02       -7.3814e+01        1.000           8.2
  16      1.4909e+04       6.6818e+02       -8.1366e+01        1.000           8.6
  17      1.1263e+04       6.7914e+02       -9.2487e+01        1.000           9.1
  18      8.5095e+03       6.8649e+02       -1.0696e+02        1.000           9.5
  19      6.4288e+03       6.9868e+02       -1.2576e+02        1.000          10.0
  20      4.8569e+03       7.1175e+02       -1.4886e+02        1.000          10.5
  21      3.6694e+03       7.2854e+02       -1.7662e+02        1.000          10.9
  22      2.7722e+03       7.4826e+02       -2.1216e+02        1.000          11.4
  23      2.0944e+03       7.7012e+02       -2.5549e+02        0.999          11.8
  24      1.5823e+03       7.9995e+02       -3.0845e+02        0.999          12.3
  25      1.1954e+03       8.3632e+02       -3.7379e+02        1.000          12.8
  26      9.0311e+02       8.7647e+02       -4.5367e+02        0.999          13.2
  27      6.8229e+02       9.2468e+02       -5.5219e+02        1.000          13.7
  28      5.1546e+02       9.7835e+02       -6.7375e+02        0.999          14.1
  29      3.8943e+02       1.0453e+03       -8.2353e+02        1.000          14.6
  30      2.9421e+02       1.1282e+03       -1.0094e+03        0.999          15.1
  31      2.2227e+02       1.2307e+03       -1.2389e+03        0.999          15.5
  32      1.6793e+02       1.3534e+03       -1.5240e+03        0.999          16.0
  33      1.2687e+02       1.5051e+03       -1.8769e+03        0.999          16.4
  34      9.5846e+01       1.6997e+03       -2.3141e+03        0.999          17.0
  35      7.2411e+01       1.9393e+03       -2.8527e+03        0.999          17.5
  36      5.4092e+01       2.2412e+03       -3.5465e+03        0.999          18.9
  37      3.9533e+01       2.6617e+03       -4.4787e+03        0.998          20.7
  38      2.8174e+01       3.2559e+03       -5.7569e+03        0.998          22.1
  39      1.9503e+01       4.1180e+03       -7.5286e+03        0.998          24.1
  40      1.3058e+01       5.4235e+03       -1.0053e+04        0.998          26.4
  41      8.4196e+00       7.4442e+03       -1.3695e+04        0.997          28.6
  42      5.2123e+00       1.0670e+04       -1.9015e+04        0.997          31.3
  43      3.0979e+00       1.5851e+04       -2.6720e+04        0.996          34.7
  44      1.7783e+00       2.4098e+04       -3.7811e+04        0.996          39.7
  45      1.0000e+00       3.6509e+04       -5.3030e+04        0.993          44.4

