File.......:  cell4ppoddqliftfsi30wt - DEC,06.2021

System.....:  
Potential..:  0.064V
Current....:  -68.605pA
Temperature:  -0.8 +-0.2 C
Time.......:  11:20:49 - 11:21:42
Comment....:  
              
              
              
              Main
time.......:  15000 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -8.0435e+00       -8.7419e+02        0.998           0.0
   2      7.5549e+05       8.3169e+00       -1.1640e+03        0.996           1.8
   3      5.7077e+05      -4.0888e+01       -1.5194e+03        0.995           2.3
   4      4.3121e+05       5.9432e+01       -2.0232e+03        0.998           3.3
   5      3.2578e+05       9.7112e+01       -2.6566e+03        0.998           4.2
   6      2.4612e+05       1.4176e+02       -3.4829e+03        0.998           4.7
   7      1.8594e+05       1.9483e+02       -4.5791e+03        0.997           5.1
   8      1.4048e+05       3.1438e+02       -6.0172e+03        0.998           5.5
   9      1.0613e+05       3.4030e+02       -7.8624e+03        0.998           6.0
  10      8.0180e+04       5.8981e+02       -1.0362e+04        0.998           6.7
  11      6.0575e+04       7.5885e+02       -1.3557e+04        0.999           7.3
  12      4.5764e+04       9.1517e+02       -1.7798e+04        0.999           7.8
  13      3.4574e+04       1.1336e+03       -2.3417e+04        0.998           8.2
  14      2.6121e+04       1.4751e+03       -3.0710e+04        0.999           8.7
  15      1.9734e+04       1.8774e+03       -4.0403e+04        0.998           9.2
  16      1.4909e+04       2.4055e+03       -5.3032e+04        0.999           9.6
  17      1.1263e+04       3.1042e+03       -6.9730e+04        0.999          10.1
  18      8.5095e+03       4.1921e+03       -9.1868e+04        0.998          10.5
  19      6.4288e+03       7.0810e+03       -1.2073e+05        0.998          11.2
  20      4.8569e+03       8.9839e+03       -1.5857e+05        0.999          11.9
  21      3.6694e+03       1.2157e+04       -2.0857e+05        0.997          12.4
  22      2.7722e+03       1.6238e+04       -2.7391e+05        0.999          12.8
  23      2.0944e+03       2.2309e+04       -3.5966e+05        0.998          13.3
  24      1.5823e+03       3.1716e+04       -4.7249e+05        0.999          13.7
  25      1.1954e+03       4.5813e+04       -6.2017e+05        0.997          14.2
  26      9.0311e+02       6.6122e+04       -8.1211e+05        0.998          14.7
  27      6.8229e+02       1.1893e+05       -1.0644e+06        0.998          15.3
  28      5.1546e+02       1.6735e+05       -1.3903e+06        0.997          16.0
  29      3.8943e+02       2.4405e+05       -1.8113e+06        0.997          16.5
  30      2.9421e+02       3.6034e+05       -2.3580e+06        0.998          17.0
  31      2.2227e+02       5.3426e+05       -3.0213e+06        0.997          17.4
  32      1.6793e+02       8.2609e+05       -3.9410e+06        0.996          17.9
  33      1.2687e+02       1.2352e+06       -5.0530e+06        0.993          18.3
  34      9.5846e+01       1.8486e+06       -6.4882e+06        0.998          18.9
  35      7.2411e+01       2.6708e+06       -7.8633e+06        0.994          20.0
  36      5.4092e+01       6.1297e+06       -1.2598e+07        0.997          22.7
  37      3.9533e+01       7.1187e+06       -1.2743e+07        0.991          26.1
  38      2.8174e+01       1.1011e+07       -1.4099e+07        0.956          28.6
  39      1.9503e+01       1.5595e+07       -1.5545e+07        0.964          30.6
  40      1.3058e+01       2.0040e+07       -1.5581e+07        0.981          32.5
  41      8.4196e+00       2.6157e+07       -1.4500e+07        0.969          34.7
  42      5.2123e+00       3.0531e+07       -1.2570e+07        0.991          37.3
  43      3.0979e+00       3.3988e+07       -9.8208e+06        1.000          40.6
  44      1.7783e+00       3.6539e+07       -7.7378e+06        0.999          45.6
  45      1.0000e+00       3.8449e+07       -6.2586e+06        1.000          50.2

