File.......:  cell1ppochloranillitfsi3 - JUL,08.2021

System.....:  
Potential..:  0.016V
Current....:  -161.27nA
Temperature:  -0.7 +-0.1 C
Time.......:  09:58:25 - 09:59:12
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.6534e+02       -5.4296e+01        0.999           0.0
   2      7.5549e+05       1.7255e+02       -4.7836e+01        0.999           1.0
   3      5.7077e+05       1.7859e+02       -4.2591e+01        0.999           1.5
   4      4.3121e+05       1.8288e+02       -3.8598e+01        1.000           2.3
   5      3.2578e+05       1.8709e+02       -3.6394e+01        1.000           3.0
   6      2.4612e+05       1.9102e+02       -3.5504e+01        1.000           3.4
   7      1.8594e+05       1.9502e+02       -3.5926e+01        1.000           3.8
   8      1.4048e+05       1.9939e+02       -3.7639e+01        1.000           4.3
   9      1.0613e+05       2.0391e+02       -4.0478e+01        1.000           4.8
  10      8.0180e+04       2.0923e+02       -4.4623e+01        1.000           5.2
  11      6.0575e+04       2.1500e+02       -5.0153e+01        1.000           5.7
  12      4.5764e+04       2.2195e+02       -5.6970e+01        1.000           6.1
  13      3.4574e+04       2.3007e+02       -6.5298e+01        1.000           6.6
  14      2.6121e+04       2.3940e+02       -7.4993e+01        0.999           7.0
  15      1.9734e+04       2.5044e+02       -8.6491e+01        1.000           7.5
  16      1.4909e+04       2.6323e+02       -9.9938e+01        1.000           7.9
  17      1.1263e+04       2.7851e+02       -1.1555e+02        0.999           8.4
  18      8.5095e+03       2.9614e+02       -1.3341e+02        1.000           8.8
  19      6.4288e+03       3.1694e+02       -1.5399e+02        1.000           9.3
  20      4.8569e+03       3.4130e+02       -1.7710e+02        1.000           9.8
  21      3.6694e+03       3.7013e+02       -2.0251e+02        1.000          10.2
  22      2.7722e+03       4.0326e+02       -2.3142e+02        0.999          10.6
  23      2.0944e+03       4.4153e+02       -2.6331e+02        1.000          11.1
  24      1.5823e+03       4.8564e+02       -2.9836e+02        1.000          11.6
  25      1.1954e+03       5.3574e+02       -3.3707e+02        1.000          12.0
  26      9.0311e+02       5.8841e+02       -3.7621e+02        1.000          12.7
  27      6.8229e+02       6.5229e+02       -4.2162e+02        0.999          13.4
  28      5.1546e+02       7.2414e+02       -4.7092e+02        0.999          13.9
  29      3.8943e+02       8.0540e+02       -5.2387e+02        0.998          14.3
  30      2.9421e+02       8.9499e+02       -5.8123e+02        0.998          14.8
  31      2.2227e+02       9.9522e+02       -6.4249e+02        0.999          15.3
  32      1.6793e+02       1.1047e+03       -7.0916e+02        0.998          15.7
  33      1.2687e+02       1.2250e+03       -7.8143e+02        0.997          16.2
  34      9.5846e+01       1.3576e+03       -8.6060e+02        0.997          16.7
  35      7.2411e+01       1.5017e+03       -9.4554e+02        0.996          17.3
  36      5.4092e+01       1.6631e+03       -1.0457e+03        0.995          18.7
  37      3.9533e+01       1.8563e+03       -1.1642e+03        0.994          20.4
  38      2.8174e+01       2.0875e+03       -1.3117e+03        0.993          21.9
  39      1.9503e+01       2.3676e+03       -1.4961e+03        0.992          23.5
  40      1.3058e+01       2.7145e+03       -1.7359e+03        0.990          25.3
  41      8.4196e+00       3.1547e+03       -2.0549e+03        0.988          27.5
  42      5.2123e+00       3.7303e+03       -2.4906e+03        0.986          30.1
  43      3.0979e+00       4.4845e+03       -3.0846e+03        0.983          33.4
  44      1.7783e+00       5.4954e+03       -3.9048e+03        0.982          40.3
  45      1.0000e+00       6.8054e+03       -5.0168e+03        0.977          44.8

