File.......:  cell3ppochloranillitfsi3 - JUL,10.2021

System.....:  
Potential..:  -0.001V
Current....:  -16.078nA
Temperature:  -0.7 +-0.1 C
Time.......:  11:14:39 - 11:15:25
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.3067e+02       -5.9171e+02        0.998           0.0
   2      7.5549e+05       6.0626e+02       -6.0715e+02        0.998           1.3
   3      5.7077e+05       7.6362e+02       -6.2633e+02        0.993           1.8
   4      4.3121e+05       9.0510e+02       -5.3332e+02        0.999           2.8
   5      3.2578e+05       1.0172e+03       -4.7036e+02        1.000           3.7
   6      2.4612e+05       1.1032e+03       -4.0909e+02        1.000           4.1
   7      1.8594e+05       1.1704e+03       -3.5220e+02        1.000           4.6
   8      1.4048e+05       1.2282e+03       -3.0482e+02        0.999           5.0
   9      1.0613e+05       1.3127e+03       -2.7553e+02        1.000           5.5
  10      8.0180e+04       1.3696e+03       -2.5175e+02        1.000           5.9
  11      6.0575e+04       1.4064e+03       -2.3833e+02        1.000           6.4
  12      4.5764e+04       1.4462e+03       -2.3444e+02        1.000           6.8
  13      3.4574e+04       1.5130e+03       -2.4173e+02        1.000           7.3
  14      2.6121e+04       1.6095e+03       -2.5754e+02        1.000           7.7
  15      1.9734e+04       1.5405e+03       -2.7787e+02        1.000           8.2
  16      1.4909e+04       1.5662e+03       -3.1082e+02        1.000           8.6
  17      1.1263e+04       1.5939e+03       -3.5452e+02        1.000           9.1
  18      8.5095e+03       1.6499e+03       -4.0996e+02        1.000           9.5
  19      6.4288e+03       1.7051e+03       -4.7861e+02        1.000          10.0
  20      4.8569e+03       1.7202e+03       -5.6110e+02        1.000          10.5
  21      3.6694e+03       1.7424e+03       -6.5822e+02        1.000          10.9
  22      2.7722e+03       1.8185e+03       -7.7876e+02        1.000          11.4
  23      2.0944e+03       1.9131e+03       -9.2260e+02        1.000          11.8
  24      1.5823e+03       2.0207e+03       -1.0941e+03        1.000          12.3
  25      1.1954e+03       2.1634e+03       -1.2997e+03        0.999          12.8
  26      9.0311e+02       2.3359e+03       -1.5426e+03        0.999          13.2
  27      6.8229e+02       2.5455e+03       -1.8306e+03        0.999          13.7
  28      5.1546e+02       2.8082e+03       -2.1702e+03        1.000          14.1
  29      3.8943e+02       3.1233e+03       -2.5669e+03        0.999          14.6
  30      2.9421e+02       3.4982e+03       -3.0302e+03        1.000          15.1
  31      2.2227e+02       3.9537e+03       -3.5638e+03        0.999          15.5
  32      1.6793e+02       4.4953e+03       -4.1801e+03        0.999          16.0
  33      1.2687e+02       5.1281e+03       -4.8818e+03        0.999          16.7
  34      9.5846e+01       5.8719e+03       -5.6829e+03        0.999          17.4
  35      7.2411e+01       6.7725e+03       -6.5860e+03        0.999          18.0
  36      5.4092e+01       7.8702e+03       -7.6511e+03        0.999          19.4
  37      3.9533e+01       9.2456e+03       -8.9496e+03        0.999          21.2
  38      2.8174e+01       1.0988e+04       -1.0543e+04        0.999          22.6
  39      1.9503e+01       1.3249e+04       -1.2522e+04        0.999          24.2
  40      1.3058e+01       1.6205e+04       -1.5017e+04        0.999          26.0
  41      8.4196e+00       2.0202e+04       -1.8184e+04        0.998          28.2
  42      5.2123e+00       2.5575e+04       -2.2251e+04        0.998          30.9
  43      3.0979e+00       3.2777e+04       -2.7463e+04        0.997          34.2
  44      1.7783e+00       4.2134e+04       -3.4236e+04        0.997          39.1
  45      1.0000e+00       5.4096e+04       -4.3016e+04        0.996          43.7

