File.......:  cell1ppobqliftfsi - AUG,18.2021

System.....:  
Potential..:  0.006V
Current....:  -323.7nA
Temperature:  -0.7 +-0.0 C
Time.......:  12:36:58 - 12:37:44
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.6277e+01       -1.0548e+00        0.999           0.0
   2      7.5549e+05       1.6518e+01       -1.6256e+00        0.999           1.0
   3      5.7077e+05       1.6865e+01       -2.1953e+00        1.000           1.5
   4      4.3121e+05       1.7311e+01       -2.7747e+00        1.000           2.3
   5      3.2578e+05       1.7803e+01       -3.3904e+00        1.000           3.0
   6      2.4612e+05       1.8390e+01       -4.0525e+00        1.000           3.4
   7      1.8594e+05       1.9034e+01       -4.7781e+00        1.000           3.9
   8      1.4048e+05       1.9798e+01       -5.5877e+00        1.000           4.4
   9      1.0613e+05       2.0723e+01       -6.4962e+00        1.000           4.8
  10      8.0180e+04       2.1720e+01       -7.5209e+00        1.000           5.3
  11      6.0575e+04       2.2827e+01       -8.7005e+00        1.000           5.7
  12      4.5764e+04       2.4112e+01       -1.0049e+01        1.000           6.2
  13      3.4574e+04       2.5603e+01       -1.1628e+01        1.000           6.7
  14      2.6121e+04       2.7267e+01       -1.3430e+01        1.000           7.1
  15      1.9734e+04       2.9176e+01       -1.5550e+01        0.999           7.6
  16      1.4909e+04       3.1311e+01       -1.8062e+01        0.999           8.1
  17      1.1263e+04       3.3859e+01       -2.1050e+01        0.999           8.5
  18      8.5095e+03       3.6827e+01       -2.4562e+01        1.000           9.0
  19      6.4288e+03       4.0326e+01       -2.8774e+01        0.999           9.5
  20      4.8569e+03       4.4447e+01       -3.3720e+01        0.999           9.9
  21      3.6694e+03       4.9412e+01       -3.9464e+01        1.000          10.4
  22      2.7722e+03       5.5732e+01       -4.6664e+01        1.000          11.1
  23      2.0944e+03       6.2897e+01       -5.4522e+01        1.000          11.8
  24      1.5823e+03       7.1625e+01       -6.3421e+01        1.000          12.3
  25      1.1954e+03       8.2061e+01       -7.3377e+01        0.999          12.8
  26      9.0311e+02       9.4536e+01       -8.4245e+01        1.000          13.2
  27      6.8229e+02       1.0910e+02       -9.5950e+01        0.999          13.7
  28      5.1546e+02       1.2591e+02       -1.0835e+02        0.999          14.2
  29      3.8943e+02       1.4520e+02       -1.2129e+02        0.999          14.7
  30      2.9421e+02       1.6660e+02       -1.3484e+02        1.000          15.1
  31      2.2227e+02       1.9035e+02       -1.4891e+02        0.999          15.7
  32      1.6793e+02       2.1605e+02       -1.6393e+02        0.999          16.1
  33      1.2687e+02       2.4393e+02       -1.8014e+02        0.999          16.6
  34      9.5846e+01       2.7415e+02       -1.9798e+02        1.000          17.1
  35      7.2411e+01       3.0689e+02       -2.1784e+02        1.000          17.7
  36      5.4092e+01       3.4320e+02       -2.4161e+02        1.000          19.2
  37      3.9533e+01       3.8713e+02       -2.7069e+02        1.000          21.0
  38      2.8174e+01       4.4044e+02       -3.0718e+02        1.000          22.4
  39      1.9503e+01       5.0650e+02       -3.5351e+02        1.000          24.0
  40      1.3058e+01       5.8514e+02       -4.1032e+02        1.000          26.3
  41      8.4196e+00       6.9167e+02       -4.8839e+02        1.000          28.9
  42      5.2123e+00       8.3094e+02       -5.9236e+02        1.000          31.7
  43      3.0979e+00       1.0153e+03       -7.3328e+02        1.000          35.0
  44      1.7783e+00       1.2597e+03       -9.2491e+02        1.000          39.9
  45      1.0000e+00       1.5773e+03       -1.1826e+03        1.000          44.5

