File.......:  cell3litfsi - AUG,24.2021

System.....:  
Potential..:  0.026V
Current....:  29.764pA
Temperature:  -0.8 +-0.1 C
Time.......:  09:49:15 - 09:50:04
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.6391e+01       -1.0240e+03        0.996           0.0
   2      7.5549e+05      -2.8300e+00       -1.3653e+03        0.997           1.0
   3      5.7077e+05      -7.0560e+01       -1.7991e+03        0.994           1.5
   4      4.3121e+05       6.1318e+01       -2.3677e+03        0.998           2.5
   5      3.2578e+05       9.9678e+01       -3.1069e+03        0.998           3.4
   6      2.4612e+05       1.5828e+02       -4.0840e+03        0.999           3.9
   7      1.8594e+05       1.5927e+02       -5.3774e+03        0.998           4.3
   8      1.4048e+05       3.1601e+02       -7.0294e+03        0.997           4.8
   9      1.0613e+05       3.7910e+02       -9.2175e+03        0.997           5.2
  10      8.0180e+04       6.7973e+02       -1.2160e+04        0.998           5.9
  11      6.0575e+04       8.1921e+02       -1.5938e+04        0.999           6.6
  12      4.5764e+04       1.0114e+03       -2.0946e+04        0.998           7.1
  13      3.4574e+04       1.1836e+03       -2.7567e+04        0.998           7.6
  14      2.6121e+04       1.5496e+03       -3.6198e+04        0.999           8.1
  15      1.9734e+04       1.9167e+03       -4.7653e+04        0.999           8.6
  16      1.4909e+04       2.4384e+03       -6.2675e+04        0.998           9.0
  17      1.1263e+04       3.1661e+03       -8.2503e+04        0.998           9.5
  18      8.5095e+03       6.1753e+03       -1.0897e+05        0.998          10.3
  19      6.4288e+03       7.3063e+03       -1.4325e+05        1.000          11.0
  20      4.8569e+03       9.7013e+03       -1.8856e+05        0.998          11.4
  21      3.6694e+03       1.2186e+04       -2.4827e+05        0.998          12.0
  22      2.7722e+03       1.6236e+04       -3.2658e+05        0.997          12.4
  23      2.0944e+03       2.2255e+04       -4.3012e+05        0.998          12.9
  24      1.5823e+03       3.2225e+04       -5.6632e+05        0.999          13.4
  25      1.1954e+03       4.6313e+04       -7.4597e+05        0.997          13.9
  26      9.0311e+02       9.8297e+04       -9.8392e+05        0.999          14.6
  27      6.8229e+02       1.3584e+05       -1.2909e+06        0.999          15.3
  28      5.1546e+02       1.9758e+05       -1.6915e+06        0.998          15.8
  29      3.8943e+02       2.9853e+05       -2.2159e+06        0.999          16.3
  30      2.9421e+02       4.6373e+05       -2.8906e+06        0.998          16.8
  31      2.2227e+02       7.5811e+05       -3.7898e+06        0.999          17.2
  32      1.6793e+02       1.1849e+06       -4.8388e+06        1.000          17.7
  33      1.2687e+02       1.9227e+06       -6.1145e+06        0.997          18.2
  34      9.5846e+01       2.8440e+06       -7.6179e+06        0.997          18.7
  35      7.2411e+01       4.7278e+06       -9.0307e+06        0.996          19.6
  36      5.4092e+01       4.5601e+06       -1.0663e+07        0.992          21.7
  37      3.9533e+01       9.6020e+06       -1.1573e+07        0.995          24.3
  38      2.8174e+01       1.4263e+07       -1.1514e+07        0.956          26.1
  39      1.9503e+01       1.7977e+07       -1.0775e+07        0.978          27.7
  40      1.3058e+01       2.1522e+07       -9.1954e+06        0.991          29.6
  41      8.4196e+00       2.3723e+07       -6.8212e+06        0.975          31.8
  42      5.2123e+00       2.4994e+07       -4.8605e+06        0.995          34.4
  43      3.0979e+00       2.5818e+07       -3.2854e+06        1.000          37.7
  44      1.7783e+00       2.6303e+07       -2.1970e+06        1.000          42.7
  45      1.0000e+00       2.6632e+07       -1.5006e+06        0.999          47.2

