File.......:  cell10ppobqlitfsi0702ma - AUG,26.2021

System.....:  
Potential..:  -0.007V
Current....:  -10.974nA
Temperature:  -0.7 +-0.1 C
Time.......:  11:47:44 - 11:48:34
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.7851e+02       -2.5251e+02        0.999           0.0
   2      7.5549e+05       4.3218e+02       -2.2223e+02        0.999           1.3
   3      5.7077e+05       4.7459e+02       -1.9313e+02        0.999           1.8
   4      4.3121e+05       4.9940e+02       -1.5801e+02        1.000           2.5
   5      3.2578e+05       5.1945e+02       -1.3213e+02        1.000           3.3
   6      2.4612e+05       5.3369e+02       -1.1100e+02        1.000           3.7
   7      1.8594e+05       5.4409e+02       -9.4641e+01        1.000           4.1
   8      1.4048e+05       5.5397e+02       -8.2617e+01        1.000           4.6
   9      1.0613e+05       5.6020e+02       -7.4703e+01        1.000           5.1
  10      8.0180e+04       5.6758e+02       -6.9912e+01        1.000           5.5
  11      6.0575e+04       5.7223e+02       -7.0563e+01        1.000           6.0
  12      4.5764e+04       5.7941e+02       -7.2675e+01        1.000           6.4
  13      3.4574e+04       5.8761e+02       -7.8438e+01        1.000           6.9
  14      2.6121e+04       5.9557e+02       -8.6332e+01        1.000           7.4
  15      1.9734e+04       6.0499e+02       -9.7163e+01        1.000           7.9
  16      1.4909e+04       6.1542e+02       -1.1230e+02        1.000           8.3
  17      1.1263e+04       6.2866e+02       -1.3105e+02        1.000           8.8
  18      8.5095e+03       6.4271e+02       -1.5478e+02        1.000           9.3
  19      6.4288e+03       6.5469e+02       -1.8321e+02        1.000          10.0
  20      4.8569e+03       6.7452e+02       -2.1946e+02        0.999          10.7
  21      3.6694e+03       6.9833e+02       -2.6343e+02        1.000          11.1
  22      2.7722e+03       7.2585e+02       -3.1899e+02        1.000          11.6
  23      2.0944e+03       7.5888e+02       -3.8738e+02        1.000          12.1
  24      1.5823e+03       7.9853e+02       -4.7181e+02        1.000          12.6
  25      1.1954e+03       8.4599e+02       -5.7675e+02        0.999          13.0
  26      9.0311e+02       9.0401e+02       -7.0629e+02        0.999          13.5
  27      6.8229e+02       9.7470e+02       -8.6688e+02        0.999          14.0
  28      5.1546e+02       1.0616e+03       -1.0654e+03        0.999          14.4
  29      3.8943e+02       1.1711e+03       -1.3101e+03        1.000          14.9
  30      2.9421e+02       1.3059e+03       -1.6120e+03        1.000          15.4
  31      2.2227e+02       1.4770e+03       -1.9820e+03        0.999          15.9
  32      1.6793e+02       1.6898e+03       -2.4360e+03        0.999          16.3
  33      1.2687e+02       1.9577e+03       -2.9909e+03        0.999          16.8
  34      9.5846e+01       2.2960e+03       -3.6661e+03        0.999          17.3
  35      7.2411e+01       2.7237e+03       -4.4832e+03        0.999          17.9
  36      5.4092e+01       3.2634e+03       -5.5070e+03        0.999          19.3
  37      3.9533e+01       4.0172e+03       -6.8431e+03        0.998          21.5
  38      2.8174e+01       5.0715e+03       -8.6263e+03        0.999          23.4
  39      1.9503e+01       6.5771e+03       -1.1031e+04        0.999          25.0
  40      1.3058e+01       8.7618e+03       -1.4324e+04        0.999          27.0
  41      8.4196e+00       1.1996e+04       -1.8897e+04        0.999          29.2
  42      5.2123e+00       1.6845e+04       -2.5321e+04        0.999          31.9
  43      3.0979e+00       2.4120e+04       -3.4375e+04        0.999          35.3
  44      1.7783e+00       3.4962e+04       -4.7091e+04        0.999          40.3
  45      1.0000e+00       5.0515e+04       -6.4589e+04        0.999          47.3

