File.......:  cell10ppochloranillitfsi0604 - AUG,27.2021

System.....:  
Potential..:  -0.003V
Current....:  -19.069nA
Temperature:  -0.7 +-0.1 C
Time.......:  12:55:04 - 12:55:51
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.5945e+01       -9.2308e+02        0.998           0.0
   2      7.5549e+05       6.6820e+01       -1.2002e+03        0.996           1.3
   3      5.7077e+05       7.7386e+01       -1.5709e+03        0.997           1.8
   4      4.3121e+05       2.0906e+02       -2.0218e+03        0.997           2.8
   5      3.2578e+05       3.1065e+02       -2.6173e+03        0.998           3.7
   6      2.4612e+05       4.6074e+02       -3.3951e+03        0.999           4.1
   7      1.8594e+05       6.3245e+02       -4.3957e+03        0.998           4.6
   8      1.4048e+05       9.2283e+02       -5.6927e+03        0.999           5.0
   9      1.0613e+05       1.3613e+03       -7.3475e+03        0.998           5.5
  10      8.0180e+04       2.1551e+03       -9.4681e+03        0.998           6.2
  11      6.0575e+04       3.1552e+03       -1.2106e+04        0.999           6.8
  12      4.5764e+04       4.6961e+03       -1.5397e+04        0.998           7.3
  13      3.4574e+04       7.0641e+03       -1.9372e+04        0.999           7.8
  14      2.6121e+04       1.0627e+04       -2.3845e+04        0.998           8.3
  15      1.9734e+04       1.5799e+04       -2.8562e+04        0.999           8.9
  16      1.4909e+04       2.2727e+04       -3.2846e+04        0.999           9.4
  17      1.1263e+04       3.1394e+04       -3.5873e+04        0.999           9.9
  18      8.5095e+03       4.1007e+04       -3.6832e+04        0.998          10.4
  19      6.4288e+03       5.0432e+04       -3.5587e+04        0.999          10.9
  20      4.8569e+03       5.8663e+04       -3.2285e+04        0.999          11.3
  21      3.6694e+03       6.5633e+04       -2.7695e+04        1.000          12.1
  22      2.7722e+03       7.0382e+04       -2.3387e+04        1.000          12.8
  23      2.0944e+03       7.3759e+04       -1.9385e+04        0.999          13.2
  24      1.5823e+03       7.6115e+04       -1.5967e+04        1.000          13.7
  25      1.1954e+03       7.7757e+04       -1.3245e+04        1.000          14.2
  26      9.0311e+02       7.8988e+04       -1.1136e+04        1.000          14.6
  27      6.8229e+02       7.9958e+04       -9.6164e+03        1.000          15.1
  28      5.1546e+02       8.0785e+04       -8.5670e+03        1.000          15.5
  29      3.8943e+02       8.1611e+04       -7.8438e+03        1.000          16.0
  30      2.9421e+02       8.2380e+04       -7.5134e+03        1.000          16.5
  31      2.2227e+02       8.3231e+04       -7.3897e+03        1.000          16.9
  32      1.6793e+02       8.4069e+04       -7.5837e+03        1.000          17.4
  33      1.2687e+02       8.5004e+04       -8.0057e+03        1.000          17.8
  34      9.5846e+01       8.6040e+04       -8.6414e+03        1.000          18.4
  35      7.2411e+01       8.7184e+04       -9.4918e+03        1.000          18.9
  36      5.4092e+01       8.8413e+04       -1.0681e+04        1.000          20.3
  37      3.9533e+01       9.0144e+04       -1.2331e+04        1.000          22.1
  38      2.8174e+01       9.2213e+04       -1.4453e+04        1.000          23.5
  39      1.9503e+01       9.4969e+04       -1.7332e+04        1.000          25.1
  40      1.3058e+01       9.8690e+04       -2.1282e+04        1.000          27.0
  41      8.4196e+00       1.0386e+05       -2.6665e+04        1.000          29.1
  42      5.2123e+00       1.1118e+05       -3.4035e+04        1.000          31.8
  43      3.0979e+00       1.2180e+05       -4.3974e+04        1.000          35.1
  44      1.7783e+00       1.3683e+05       -5.7189e+04        1.000          40.1
  45      1.0000e+00       1.5740e+05       -7.3960e+04        1.000          44.6

