File.......:  cell3ppochloranillitfsi0825 - AUG,27.2021

System.....:  
Potential..:  0.052V
Current....:  -2.5975nA
Temperature:  -0.6 +-0.1 C
Time.......:  12:50:58 - 12:51:46
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.7025e+01       -1.0275e+03        0.998           0.0
   2      7.5549e+05      -9.1142e+00       -1.3659e+03        0.995           1.8
   3      5.7077e+05      -5.7297e+01       -1.7879e+03        0.991           2.3
   4      4.3121e+05       6.7005e+01       -2.3639e+03        0.998           3.3
   5      3.2578e+05       1.1995e+02       -3.1054e+03        0.998           4.2
   6      2.4612e+05       1.7616e+02       -4.0648e+03        0.997           4.7
   7      1.8594e+05       2.5588e+02       -5.3296e+03        0.998           5.1
   8      1.4048e+05       3.7867e+02       -6.9740e+03        0.999           5.5
   9      1.0613e+05       5.0252e+02       -9.1701e+03        0.998           6.0
  10      8.0180e+04       8.7868e+02       -1.2070e+04        0.998           6.7
  11      6.0575e+04       1.1328e+03       -1.5783e+04        0.998           7.3
  12      4.5764e+04       1.5301e+03       -2.0675e+04        0.998           7.8
  13      3.4574e+04       2.0566e+03       -2.7119e+04        0.998           8.2
  14      2.6121e+04       2.9099e+03       -3.5511e+04        0.998           8.7
  15      1.9734e+04       4.1887e+03       -4.6602e+04        0.999           9.2
  16      1.4909e+04       6.1402e+03       -6.0925e+04        0.999           9.6
  17      1.1263e+04       9.2026e+03       -7.9769e+04        0.998          10.1
  18      8.5095e+03       1.6113e+04       -1.0434e+05        0.999          10.8
  19      6.4288e+03       2.3741e+04       -1.3551e+05        0.999          11.5
  20      4.8569e+03       3.6447e+04       -1.7570e+05        0.997          11.9
  21      3.6694e+03       5.6542e+04       -2.2591e+05        0.998          12.4
  22      2.7722e+03       8.8202e+04       -2.8720e+05        0.999          12.8
  23      2.0944e+03       1.3704e+05       -3.5908e+05        0.998          13.3
  24      1.5823e+03       2.1018e+05       -4.3743e+05        0.998          13.7
  25      1.1954e+03       3.1153e+05       -5.1378e+05        0.997          14.2
  26      9.0311e+02       4.4259e+05       -5.7455e+05        0.998          14.7
  27      6.8229e+02       6.0745e+05       -5.9569e+05        0.999          15.3
  28      5.1546e+02       7.5969e+05       -5.9284e+05        0.998          16.0
  29      3.8943e+02       9.0068e+05       -5.5898e+05        0.999          16.5
  30      2.9421e+02       1.0182e+06       -5.0693e+05        0.999          17.0
  31      2.2227e+02       1.1105e+06       -4.4742e+05        1.000          17.4
  32      1.6793e+02       1.1828e+06       -3.8859e+05        0.999          17.9
  33      1.2687e+02       1.2377e+06       -3.3976e+05        1.000          18.3
  34      9.5846e+01       1.2807e+06       -2.9498e+05        1.000          18.9
  35      7.2411e+01       1.3156e+06       -2.6624e+05        1.000          19.4
  36      5.4092e+01       1.3282e+06       -2.6432e+05        0.999          20.8
  37      3.9533e+01       1.3884e+06       -2.3615e+05        1.000          22.6
  38      2.8174e+01       1.4174e+06       -2.3261e+05        1.000          24.0
  39      1.9503e+01       1.4588e+06       -2.3431e+05        0.998          25.6
  40      1.3058e+01       1.5095e+06       -2.4495e+05        0.999          27.5
  41      8.4196e+00       1.5672e+06       -2.6941e+05        0.999          29.6
  42      5.2123e+00       1.6413e+06       -3.0584e+05        1.000          32.3
  43      3.0979e+00       1.7373e+06       -3.5879e+05        1.000          35.6
  44      1.7783e+00       1.8578e+06       -4.3196e+05        1.000          40.5
  45      1.0000e+00       2.0074e+06       -5.3009e+05        1.000          45.0

