File.......:  cell3ppochoranillitfsi - AUG,31.2021

System.....:  
Potential..:  0.015V
Current....:  -28.071nA
Temperature:  -0.7 +-0.0 C
Time.......:  14:24:26 - 14:25:16
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       5.7056e+01       -1.2119e+01        0.999           0.0
   2      7.5549e+05       5.8442e+01       -1.3259e+01        0.999           1.9
   3      5.7077e+05       5.9433e+01       -1.5185e+01        0.999           2.7
   4      4.3121e+05       6.1117e+01       -1.6876e+01        1.000           3.7
   5      3.2578e+05       6.3375e+01       -1.9145e+01        1.000           4.4
   6      2.4612e+05       6.5841e+01       -2.1824e+01        1.000           4.8
   7      1.8594e+05       6.9490e+01       -2.5197e+01        1.000           5.5
   8      1.4048e+05       7.2699e+01       -2.9280e+01        1.000           6.2
   9      1.0613e+05       7.6362e+01       -3.4173e+01        1.000           6.6
  10      8.0180e+04       8.0423e+01       -4.0165e+01        1.000           7.1
  11      6.0575e+04       8.4962e+01       -4.7418e+01        1.000           7.5
  12      4.5764e+04       9.0075e+01       -5.6440e+01        1.000           7.9
  13      3.4574e+04       9.5857e+01       -6.7672e+01        1.000           8.4
  14      2.6121e+04       1.0253e+02       -8.1585e+01        1.000           8.9
  15      1.9734e+04       1.1022e+02       -9.9095e+01        1.000           9.3
  16      1.4909e+04       1.1910e+02       -1.2105e+02        0.999           9.8
  17      1.1263e+04       1.2965e+02       -1.4889e+02        0.999          10.2
  18      8.5095e+03       1.4228e+02       -1.8388e+02        0.998          10.7
  19      6.4288e+03       1.5762e+02       -2.2827e+02        0.999          11.1
  20      4.8569e+03       1.7682e+02       -2.8409e+02        0.999          11.6
  21      3.6694e+03       2.0169e+02       -3.5413e+02        0.999          12.1
  22      2.7722e+03       2.3275e+02       -4.4218e+02        0.998          12.5
  23      2.0944e+03       2.7278e+02       -5.5193e+02        0.999          13.0
  24      1.5823e+03       3.2203e+02       -6.8319e+02        0.999          13.7
  25      1.1954e+03       3.8783e+02       -8.5095e+02        0.998          14.4
  26      9.0311e+02       4.7329e+02       -1.0578e+03        1.000          14.8
  27      6.8229e+02       5.8313e+02       -1.3116e+03        0.999          15.3
  28      5.1546e+02       7.2430e+02       -1.6214e+03        0.999          15.7
  29      3.8943e+02       9.0728e+02       -1.9981e+03        0.998          16.2
  30      2.9421e+02       1.1382e+03       -2.4531e+03        0.999          16.7
  31      2.2227e+02       1.4349e+03       -2.9996e+03        0.998          17.1
  32      1.6793e+02       1.8056e+03       -3.6544e+03        0.998          17.6
  33      1.2687e+02       2.2713e+03       -4.4335e+03        0.998          18.0
  34      9.5846e+01       2.8559e+03       -5.3584e+03        0.999          18.5
  35      7.2411e+01       3.5684e+03       -6.4318e+03        0.998          19.4
  36      5.4092e+01       4.4860e+03       -7.7570e+03        0.999          21.0
  37      3.9533e+01       5.7389e+03       -9.4270e+03        0.999          22.8
  38      2.8174e+01       7.4367e+03       -1.1559e+04        0.999          24.2
  39      1.9503e+01       9.7757e+03       -1.4285e+04        0.999          25.8
  40      1.3058e+01       1.3012e+04       -1.7814e+04        0.999          27.6
  41      8.4196e+00       1.7531e+04       -2.2436e+04        0.999          29.8
  42      5.2123e+00       2.3863e+04       -2.8576e+04        0.999          32.4
  43      3.0979e+00       3.2664e+04       -3.6761e+04        1.000          35.7
  44      1.7783e+00       4.4805e+04       -4.7859e+04        0.999          42.5
  45      1.0000e+00       6.0790e+04       -6.2660e+04        0.999          47.1

