File.......:  cell1ppochoranillitfsi - AUG,31.2021

System.....:  
Potential..:  0.021V
Current....:  -182.73nA
Temperature:  -0.7 +-0.2 C
Time.......:  14:13:46 - 14:14:34
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.2924e+01       -3.2506e+00        0.999           0.0
   2      7.5549e+05       4.3173e+01       -3.2866e+00        0.999           1.0
   3      5.7077e+05       4.3562e+01       -3.4621e+00        0.999           1.5
   4      4.3121e+05       4.3962e+01       -3.7747e+00        1.000           2.3
   5      3.2578e+05       4.4275e+01       -4.2733e+00        1.000           3.0
   6      2.4612e+05       4.4960e+01       -4.9426e+00        1.000           3.4
   7      1.8594e+05       4.5671e+01       -5.8420e+00        1.000           3.8
   8      1.4048e+05       4.6177e+01       -6.9789e+00        1.000           4.3
   9      1.0613e+05       4.6978e+01       -8.4411e+00        1.000           4.8
  10      8.0180e+04       4.7813e+01       -1.0246e+01        1.000           5.2
  11      6.0575e+04       4.8670e+01       -1.2645e+01        1.000           5.7
  12      4.5764e+04       5.0112e+01       -1.5545e+01        1.000           6.1
  13      3.4574e+04       5.2039e+01       -1.9250e+01        1.000           6.6
  14      2.6121e+04       5.4005e+01       -2.3704e+01        0.999           7.0
  15      1.9734e+04       5.6597e+01       -2.9247e+01        1.000           7.5
  16      1.4909e+04       6.0071e+01       -3.6486e+01        1.000           8.1
  17      1.1263e+04       6.3599e+01       -4.5202e+01        1.000           8.8
  18      8.5095e+03       6.7941e+01       -5.5989e+01        0.999           9.3
  19      6.4288e+03       7.3567e+01       -6.9418e+01        1.000           9.8
  20      4.8569e+03       8.0875e+01       -8.5974e+01        1.000          10.2
  21      3.6694e+03       9.0237e+01       -1.0626e+02        0.998          10.7
  22      2.7722e+03       1.0224e+02       -1.3120e+02        0.999          11.1
  23      2.0944e+03       1.1813e+02       -1.6140e+02        0.999          11.6
  24      1.5823e+03       1.3909e+02       -1.9757e+02        1.000          12.0
  25      1.1954e+03       1.6623e+02       -2.4030e+02        0.999          12.5
  26      9.0311e+02       2.0119e+02       -2.8985e+02        1.000          13.0
  27      6.8229e+02       2.4518e+02       -3.4653e+02        0.999          13.4
  28      5.1546e+02       2.9977e+02       -4.1002e+02        1.000          13.9
  29      3.8943e+02       3.6712e+02       -4.8021e+02        0.999          14.4
  30      2.9421e+02       4.4329e+02       -5.5253e+02        0.999          15.2
  31      2.2227e+02       5.3594e+02       -6.3433e+02        0.999          15.9
  32      1.6793e+02       6.4142e+02       -7.2306e+02        0.999          16.4
  33      1.2687e+02       7.6133e+02       -8.1940e+02        0.999          16.9
  34      9.5846e+01       8.9617e+02       -9.2522e+02        0.999          17.5
  35      7.2411e+01       1.0450e+03       -1.0418e+03        0.999          18.0
  36      5.4092e+01       1.2147e+03       -1.1798e+03        0.999          19.4
  37      3.9533e+01       1.4214e+03       -1.3494e+03        0.999          21.3
  38      2.8174e+01       1.6749e+03       -1.5655e+03        0.999          22.7
  39      1.9503e+01       1.9910e+03       -1.8455e+03        0.999          24.4
  40      1.3058e+01       2.3979e+03       -2.2203e+03        0.999          26.2
  41      8.4196e+00       2.9356e+03       -2.7326e+03        0.999          28.4
  42      5.2123e+00       3.6664e+03       -3.4478e+03        0.999          31.1
  43      3.0979e+00       4.6753e+03       -4.4528e+03        0.999          34.5
  44      1.7783e+00       6.0998e+03       -5.8738e+03        0.999          41.3
  45      1.0000e+00       8.0547e+03       -7.8221e+03        0.999          45.8

