File.......:  cell10ppochloranillitfsi0604 - AUG,31.2021

System.....:  
Potential..:  -0.006V
Current....:  -38.504nA
Temperature:  -0.7 +-0.1 C
Time.......:  14:28:19 - 14:29:06
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       7.2636e+01       -5.6466e+00        0.999           0.0
   2      7.5549e+05       7.2503e+01       -4.8204e+00        0.999           1.0
   3      5.7077e+05       7.2120e+01       -4.4086e+00        0.999           1.5
   4      4.3121e+05       7.2984e+01       -4.2638e+00        1.000           2.3
   5      3.2578e+05       7.3160e+01       -4.3750e+00        1.000           3.0
   6      2.4612e+05       7.3650e+01       -4.7253e+00        1.000           3.4
   7      1.8594e+05       7.4204e+01       -5.2802e+00        1.000           3.9
   8      1.4048e+05       7.4668e+01       -6.1330e+00        1.000           4.4
   9      1.0613e+05       7.5259e+01       -7.2631e+00        1.000           4.8
  10      8.0180e+04       7.6044e+01       -8.7812e+00        1.000           5.3
  11      6.0575e+04       7.7036e+01       -1.0664e+01        1.000           5.7
  12      4.5764e+04       7.7786e+01       -1.3077e+01        1.000           6.2
  13      3.4574e+04       7.9962e+01       -1.6088e+01        1.000           6.7
  14      2.6121e+04       8.0821e+01       -1.9799e+01        1.000           7.1
  15      1.9734e+04       8.2644e+01       -2.4429e+01        1.000           7.6
  16      1.4909e+04       8.5247e+01       -3.0068e+01        1.000           8.1
  17      1.1263e+04       8.8892e+01       -3.7059e+01        1.000           8.5
  18      8.5095e+03       9.3127e+01       -4.5625e+01        0.999           9.0
  19      6.4288e+03       9.7810e+01       -5.6233e+01        0.999           9.5
  20      4.8569e+03       1.0336e+02       -6.9304e+01        0.999           9.9
  21      3.6694e+03       1.1042e+02       -8.5395e+01        1.000          10.4
  22      2.7722e+03       1.1944e+02       -1.0560e+02        0.999          10.9
  23      2.0944e+03       1.3028e+02       -1.3070e+02        0.998          11.4
  24      1.5823e+03       1.4376e+02       -1.6194e+02        0.999          11.8
  25      1.1954e+03       1.5823e+02       -2.0082e+02        1.000          12.3
  26      9.0311e+02       1.7757e+02       -2.4900e+02        1.000          12.8
  27      6.8229e+02       2.0180e+02       -3.0864e+02        1.000          13.2
  28      5.1546e+02       2.3386e+02       -3.8218e+02        1.000          13.7
  29      3.8943e+02       2.7686e+02       -4.7251e+02        0.999          14.2
  30      2.9421e+02       3.2945e+02       -5.8298e+02        0.999          14.7
  31      2.2227e+02       3.9099e+02       -7.1168e+02        0.999          15.5
  32      1.6793e+02       4.7387e+02       -8.7308e+02        1.000          16.1
  33      1.2687e+02       5.8049e+02       -1.0673e+03        1.000          16.7
  34      9.5846e+01       7.1787e+02       -1.3000e+03        1.000          17.3
  35      7.2411e+01       8.8984e+02       -1.5756e+03        1.000          17.9
  36      5.4092e+01       1.0990e+03       -1.9140e+03        1.000          19.4
  37      3.9533e+01       1.3969e+03       -2.3450e+03        0.999          21.3
  38      2.8174e+01       1.8014e+03       -2.9012e+03        0.999          22.7
  39      1.9503e+01       2.3633e+03       -3.6239e+03        0.999          24.4
  40      1.3058e+01       3.1515e+03       -4.5776e+03        0.999          26.3
  41      8.4196e+00       4.2795e+03       -5.8491e+03        0.999          29.0
  42      5.2123e+00       5.9156e+03       -7.5720e+03        0.999          32.2
  43      3.0979e+00       8.2836e+03       -9.8839e+03        0.999          35.6
  44      1.7783e+00       1.1693e+04       -1.2949e+04        0.999          40.6
  45      1.0000e+00       1.6352e+04       -1.6850e+04        0.999          45.2

