File.......:  cell4ppochloranillitfsi0604 - AUG,31.2021

System.....:  
Potential..:  0.001V
Current....:  -5.0265nA
Temperature:  -0.7 +-0.0 C
Time.......:  14:26:15 - 14:27:02
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.0246e+01       -8.3755e+02        0.990           0.0
   2      7.5549e+05      -3.5406e+00       -1.1349e+03        0.995           1.8
   3      5.7077e+05       5.5479e-01       -1.4632e+03        0.991           2.3
   4      4.3121e+05       9.1740e+01       -1.9130e+03        0.997           3.3
   5      3.2578e+05       1.3903e+02       -2.5153e+03        0.998           4.2
   6      2.4612e+05       2.2679e+02       -3.2675e+03        0.998           4.7
   7      1.8594e+05       3.2380e+02       -4.3143e+03        0.997           5.1
   8      1.4048e+05       5.0342e+02       -5.6400e+03        0.995           5.5
   9      1.0613e+05       7.0695e+02       -7.3337e+03        0.998           6.0
  10      8.0180e+04       1.0443e+03       -9.6136e+03        0.998           6.4
  11      6.0575e+04       1.7086e+03       -1.2455e+04        0.999           7.1
  12      4.5764e+04       2.4636e+03       -1.6172e+04        0.999           7.8
  13      3.4574e+04       3.6782e+03       -2.0953e+04        0.998           8.2
  14      2.6121e+04       5.5255e+03       -2.7047e+04        0.997           8.7
  15      1.9734e+04       8.4085e+03       -3.4758e+04        0.998           9.2
  16      1.4909e+04       1.2851e+04       -4.4178e+04        1.000           9.6
  17      1.1263e+04       1.9646e+04       -5.5417e+04        0.997          10.1
  18      8.5095e+03       2.9692e+04       -6.8321e+04        0.998          10.5
  19      6.4288e+03       4.5419e+04       -8.1368e+04        0.999          11.2
  20      4.8569e+03       6.4517e+04       -9.3603e+04        0.999          11.9
  21      3.6694e+03       8.8616e+04       -1.0292e+05        0.999          12.4
  22      2.7722e+03       1.1526e+05       -1.0694e+05        0.999          12.8
  23      2.0944e+03       1.4210e+05       -1.0510e+05        0.999          13.3
  24      1.5823e+03       1.6628e+05       -9.8387e+04        0.999          13.7
  25      1.1954e+03       1.8639e+05       -8.8886e+04        1.000          14.2
  26      9.0311e+02       2.0220e+05       -7.8340e+04        0.999          14.7
  27      6.8229e+02       2.1428e+05       -6.8614e+04        1.000          15.1
  28      5.1546e+02       2.2372e+05       -6.0463e+04        1.000          15.6
  29      3.8943e+02       2.3125e+05       -5.3661e+04        1.000          16.0
  30      2.9421e+02       2.3777e+05       -4.9119e+04        1.000          16.5
  31      2.2227e+02       2.4322e+05       -4.5680e+04        1.000          17.0
  32      1.6793e+02       2.4907e+05       -4.4252e+04        1.000          17.4
  33      1.2687e+02       2.5444e+05       -4.4094e+04        1.000          17.9
  34      9.5846e+01       2.6017e+05       -4.4748e+04        1.000          18.4
  35      7.2411e+01       2.6638e+05       -4.6898e+04        1.000          19.0
  36      5.4092e+01       2.7269e+05       -5.3693e+04        1.000          20.4
  37      3.9533e+01       2.8099e+05       -5.5936e+04        1.000          22.1
  38      2.8174e+01       2.9015e+05       -6.4158e+04        0.999          23.6
  39      1.9503e+01       3.0220e+05       -7.4455e+04        0.999          25.1
  40      1.3058e+01       3.1784e+05       -8.8883e+04        1.000          27.0
  41      8.4196e+00       3.3818e+05       -1.0973e+05        0.999          29.2
  42      5.2123e+00       3.6584e+05       -1.3953e+05        1.000          31.8
  43      3.0979e+00       4.0427e+05       -1.8319e+05        1.000          35.1
  44      1.7783e+00       4.5756e+05       -2.4794e+05        1.000          40.0
  45      1.0000e+00       5.3101e+05       -3.4304e+05        0.999          44.6

