File.......:  cell1ppochloranillitfsi0604 - SEP,01.2021

System.....:  
Potential..:  0.003V
Current....:  -75.385nA
Temperature:  -0.7 +-0.1 C
Time.......:  16:16:24 - 16:17:11
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       9.0405e+01       -1.1626e+01        0.998           0.0
   2      7.5549e+05       9.0955e+01       -9.9331e+00        0.999           1.0
   3      5.7077e+05       9.1575e+01       -9.0342e+00        0.999           1.5
   4      4.3121e+05       9.2011e+01       -8.3203e+00        1.000           2.3
   5      3.2578e+05       9.2511e+01       -8.2735e+00        1.000           3.0
   6      2.4612e+05       9.3039e+01       -8.6393e+00        1.000           3.4
   7      1.8594e+05       9.3620e+01       -9.4493e+00        1.000           3.9
   8      1.4048e+05       9.4308e+01       -1.0769e+01        1.000           4.4
   9      1.0613e+05       9.5111e+01       -1.2647e+01        1.000           4.8
  10      8.0180e+04       9.6079e+01       -1.5240e+01        1.000           5.3
  11      6.0575e+04       9.7210e+01       -1.8607e+01        1.000           5.7
  12      4.5764e+04       9.8669e+01       -2.3003e+01        1.000           6.2
  13      3.4574e+04       1.0051e+02       -2.8628e+01        1.000           6.7
  14      2.6121e+04       1.0289e+02       -3.5705e+01        1.000           7.1
  15      1.9734e+04       1.0594e+02       -4.4696e+01        1.000           7.6
  16      1.4909e+04       1.0991e+02       -5.5936e+01        1.000           8.1
  17      1.1263e+04       1.1513e+02       -7.0023e+01        1.000           8.5
  18      8.5095e+03       1.2201e+02       -8.7429e+01        1.000           9.0
  19      6.4288e+03       1.3103e+02       -1.0896e+02        1.000           9.5
  20      4.8569e+03       1.4303e+02       -1.3523e+02        0.999           9.9
  21      3.6694e+03       1.5914e+02       -1.6689e+02        1.000          10.4
  22      2.7722e+03       1.7994e+02       -2.0514e+02        1.000          10.9
  23      2.0944e+03       2.0720e+02       -2.5042e+02        1.000          11.4
  24      1.5823e+03       2.4250e+02       -3.0334e+02        0.999          11.8
  25      1.1954e+03       2.8705e+02       -3.6434e+02        0.999          12.3
  26      9.0311e+02       3.4308e+02       -4.3321e+02        1.000          12.8
  27      6.8229e+02       4.1123e+02       -5.1025e+02        0.999          13.2
  28      5.1546e+02       4.8898e+02       -5.9088e+02        0.999          14.0
  29      3.8943e+02       5.8466e+02       -6.8384e+02        0.999          14.7
  30      2.9421e+02       6.9437e+02       -7.8647e+02        1.000          15.2
  31      2.2227e+02       8.2063e+02       -9.0014e+02        0.999          15.7
  32      1.6793e+02       9.6290e+02       -1.0281e+03        0.999          16.2
  33      1.2687e+02       1.1245e+03       -1.1729e+03        0.999          16.7
  34      9.5846e+01       1.3091e+03       -1.3374e+03        0.999          17.3
  35      7.2411e+01       1.5197e+03       -1.5238e+03        0.999          17.9
  36      5.4092e+01       1.7667e+03       -1.7454e+03        0.999          19.3
  37      3.9533e+01       2.0786e+03       -2.0173e+03        0.999          21.2
  38      2.8174e+01       2.4725e+03       -2.3562e+03        0.999          22.6
  39      1.9503e+01       2.9820e+03       -2.7824e+03        0.999          24.2
  40      1.3058e+01       3.6489e+03       -3.3225e+03        0.999          26.1
  41      8.4196e+00       4.5362e+03       -4.0135e+03        0.999          28.3
  42      5.2123e+00       5.7211e+03       -4.8937e+03        0.999          31.5
  43      3.0979e+00       7.3099e+03       -6.0338e+03        0.999          35.4
  44      1.7783e+00       9.4159e+03       -7.5038e+03        0.999          40.3
  45      1.0000e+00       1.2117e+04       -9.3873e+03        0.998          45.0

