File.......:  cell10ppochloranilliftfsi - SEP,01.2021

System.....:  
Potential..:  -0.005V
Current....:  -127.97nA
Temperature:  -0.7 +-0.1 C
Time.......:  16:25:13 - 16:26:01
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.0680e+01       -1.7226e+00        0.999           0.0
   2      7.5549e+05       4.0653e+01       -1.6030e+00        0.999           1.3
   3      5.7077e+05       4.0771e+01       -1.4926e+00        1.000           1.8
   4      4.3121e+05       4.0882e+01       -1.4940e+00        1.000           2.5
   5      3.2578e+05       4.1053e+01       -1.5673e+00        1.000           3.2
   6      2.4612e+05       4.1212e+01       -1.6995e+00        1.000           3.7
   7      1.8594e+05       4.1404e+01       -1.9059e+00        1.000           4.1
   8      1.4048e+05       4.1602e+01       -2.1777e+00        1.000           4.6
   9      1.0613e+05       4.1793e+01       -2.5580e+00        1.000           5.0
  10      8.0180e+04       4.2054e+01       -3.0193e+00        1.000           5.5
  11      6.0575e+04       4.2239e+01       -3.7385e+00        1.000           5.9
  12      4.5764e+04       4.2589e+01       -4.5343e+00        1.000           6.3
  13      3.4574e+04       4.3150e+01       -5.5798e+00        1.000           6.8
  14      2.6121e+04       4.3733e+01       -6.8009e+00        1.000           7.3
  15      1.9734e+04       4.4394e+01       -8.3346e+00        1.000           7.7
  16      1.4909e+04       4.5176e+01       -1.0278e+01        1.000           8.2
  17      1.1263e+04       4.6231e+01       -1.2668e+01        1.000           8.6
  18      8.5095e+03       4.7456e+01       -1.5615e+01        1.000           9.1
  19      6.4288e+03       4.8991e+01       -1.9292e+01        1.000           9.6
  20      4.8569e+03       5.0844e+01       -2.3796e+01        1.000          10.0
  21      3.6694e+03       5.3181e+01       -2.9269e+01        1.000          10.5
  22      2.7722e+03       5.5997e+01       -3.6132e+01        0.999          10.9
  23      2.0944e+03       5.9972e+01       -4.5026e+01        1.000          11.6
  24      1.5823e+03       6.4232e+01       -5.5677e+01        1.000          12.3
  25      1.1954e+03       6.9410e+01       -6.8971e+01        0.999          12.8
  26      9.0311e+02       7.5992e+01       -8.5499e+01        0.999          13.2
  27      6.8229e+02       8.4319e+01       -1.0603e+02        0.999          13.7
  28      5.1546e+02       9.4999e+01       -1.3137e+02        1.000          14.1
  29      3.8943e+02       1.0892e+02       -1.6248e+02        0.999          14.6
  30      2.9421e+02       1.2660e+02       -2.0042e+02        1.000          15.1
  31      2.2227e+02       1.4951e+02       -2.4634e+02        0.999          15.5
  32      1.6793e+02       1.7821e+02       -3.0174e+02        0.999          16.0
  33      1.2687e+02       2.1443e+02       -3.6812e+02        0.999          16.4
  34      9.5846e+01       2.5991e+02       -4.4752e+02        0.999          17.0
  35      7.2411e+01       3.1639e+02       -5.4148e+02        0.999          17.5
  36      5.4092e+01       3.8334e+02       -6.5234e+02        0.999          19.3
  37      3.9533e+01       4.7821e+02       -8.0084e+02        0.999          21.5
  38      2.8174e+01       6.0616e+02       -9.9632e+02        0.999          23.0
  39      1.9503e+01       7.8267e+02       -1.2572e+03        0.999          24.6
  40      1.3058e+01       1.0309e+03       -1.6145e+03        0.999          26.5
  41      8.4196e+00       1.3911e+03       -2.1139e+03        1.000          28.7
  42      5.2123e+00       1.9290e+03       -2.8252e+03        1.000          31.4
  43      3.0979e+00       2.7430e+03       -3.8276e+03        1.000          34.8
  44      1.7783e+00       3.9819e+03       -5.2369e+03        0.998          41.7
  45      1.0000e+00       5.7764e+03       -7.0948e+03        0.998          46.3

