File.......:  cell2ppochloranilliftfsi0831m - SEP,02.2021

System.....:  
Potential..:  0.008V
Current....:  -40.84nA
Temperature:  -0.7 +-0.1 C
Time.......:  11:34:12 - 11:35:00
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.2977e+01       -5.1127e-01        0.999           0.0
   2      7.5549e+05       2.3335e+01       -1.3773e+00        0.999           1.3
   3      5.7077e+05       2.3761e+01       -2.1179e+00        0.999           1.8
   4      4.3121e+05       2.4194e+01       -2.8372e+00        1.000           2.5
   5      3.2578e+05       2.4712e+01       -3.5406e+00        1.000           3.3
   6      2.4612e+05       2.5221e+01       -4.2409e+00        1.000           3.7
   7      1.8594e+05       2.5931e+01       -4.9822e+00        1.000           4.1
   8      1.4048e+05       2.6701e+01       -5.7961e+00        1.000           4.6
   9      1.0613e+05       2.7571e+01       -6.7015e+00        1.000           5.1
  10      8.0180e+04       2.8546e+01       -7.7422e+00        1.000           5.5
  11      6.0575e+04       2.9559e+01       -8.9829e+00        1.000           6.0
  12      4.5764e+04       3.0690e+01       -1.0443e+01        1.000           6.4
  13      3.4574e+04       3.1907e+01       -1.2247e+01        1.000           6.9
  14      2.6121e+04       3.3275e+01       -1.4397e+01        1.000           7.4
  15      1.9734e+04       3.4745e+01       -1.7108e+01        1.000           7.9
  16      1.4909e+04       3.6272e+01       -2.0526e+01        1.000           8.3
  17      1.1263e+04       3.8118e+01       -2.4886e+01        1.000           8.8
  18      8.5095e+03       4.0127e+01       -3.0379e+01        1.000           9.3
  19      6.4288e+03       4.2518e+01       -3.7425e+01        0.999           9.7
  20      4.8569e+03       4.5326e+01       -4.6363e+01        0.999          10.2
  21      3.6694e+03       4.9188e+01       -5.8218e+01        1.000          10.9
  22      2.7722e+03       5.3167e+01       -7.2904e+01        0.999          11.6
  23      2.0944e+03       5.8014e+01       -9.1670e+01        0.998          12.1
  24      1.5823e+03       6.4091e+01       -1.1566e+02        0.999          12.6
  25      1.1954e+03       7.1632e+01       -1.4634e+02        0.998          13.0
  26      9.0311e+02       8.1444e+01       -1.8547e+02        0.998          13.5
  27      6.8229e+02       9.4071e+01       -2.3534e+02        0.998          14.0
  28      5.1546e+02       1.1062e+02       -2.9871e+02        0.999          14.4
  29      3.8943e+02       1.3289e+02       -3.7913e+02        0.999          14.9
  30      2.9421e+02       1.6213e+02       -4.8053e+02        0.999          15.4
  31      2.2227e+02       2.0206e+02       -6.0796e+02        0.998          15.9
  32      1.6793e+02       2.5199e+02       -7.6116e+02        0.998          16.5
  33      1.2687e+02       3.2108e+02       -9.5745e+02        0.998          17.3
  34      9.5846e+01       4.1276e+02       -1.1999e+03        0.998          17.8
  35      7.2411e+01       5.3325e+02       -1.4972e+03        0.998          18.5
  36      5.4092e+01       6.9333e+02       -1.8751e+03        0.998          19.9
  37      3.9533e+01       9.2054e+02       -2.3784e+03        0.998          21.8
  38      2.8174e+01       1.2423e+03       -3.0597e+03        0.998          23.3
  39      1.9503e+01       1.7115e+03       -4.0040e+03        0.998          24.9
  40      1.3058e+01       2.4106e+03       -5.3426e+03        0.998          26.8
  41      8.4196e+00       3.4948e+03       -7.2730e+03        0.998          29.5
  42      5.2123e+00       5.2412e+03       -1.0104e+04        0.998          32.7
  43      3.0979e+00       8.1168e+03       -1.4211e+04        0.998          36.1
  44      1.7783e+00       1.2828e+04       -2.0013e+04        0.998          41.1
  45      1.0000e+00       2.0309e+04       -2.7430e+04        0.998          45.8

