File.......:  cell4ppochloranilliftfsi - SEP,06.2021

System.....:  
Potential..:  0.003V
Current....:  -51.172nA
Temperature:  -0.8 +-0.2 C
Time.......:  14:48:49 - 14:49:36
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.8989e+02       -4.4810e+01        0.998           0.0
   2      7.5549e+05       1.9414e+02       -3.4854e+01        0.999           1.0
   3      5.7077e+05       1.9667e+02       -2.7729e+01        0.999           1.5
   4      4.3121e+05       1.9780e+02       -2.2142e+01        1.000           2.3
   5      3.2578e+05       1.9883e+02       -1.8199e+01        1.000           3.0
   6      2.4612e+05       1.9972e+02       -1.5398e+01        1.000           3.4
   7      1.8594e+05       2.0056e+02       -1.3663e+01        1.000           3.9
   8      1.4048e+05       2.0126e+02       -1.2443e+01        1.000           4.4
   9      1.0613e+05       2.0203e+02       -1.2198e+01        1.000           4.8
  10      8.0180e+04       2.0291e+02       -1.2534e+01        1.000           5.3
  11      6.0575e+04       2.0372e+02       -1.3777e+01        1.000           5.7
  12      4.5764e+04       2.0489e+02       -1.5545e+01        1.000           6.2
  13      3.4574e+04       2.0632e+02       -1.8113e+01        1.000           6.7
  14      2.6121e+04       2.0790e+02       -2.1338e+01        1.000           7.1
  15      1.9734e+04       2.0985e+02       -2.5685e+01        1.000           7.6
  16      1.4909e+04       2.1220e+02       -3.1205e+01        1.000           8.1
  17      1.1263e+04       2.1519e+02       -3.8162e+01        1.000           8.5
  18      8.5095e+03       2.1872e+02       -4.6890e+01        1.000           9.0
  19      6.4288e+03       2.2310e+02       -5.7876e+01        1.000           9.5
  20      4.8569e+03       2.2858e+02       -7.1375e+01        0.999           9.9
  21      3.6694e+03       2.3550e+02       -8.7764e+01        1.000          10.4
  22      2.7722e+03       2.4388e+02       -1.0848e+02        1.000          10.9
  23      2.0944e+03       2.5430e+02       -1.3399e+02        1.000          11.4
  24      1.5823e+03       2.6721e+02       -1.6550e+02        1.000          11.8
  25      1.1954e+03       2.8298e+02       -2.0459e+02        0.999          12.3
  26      9.0311e+02       3.0255e+02       -2.5290e+02        0.999          12.8
  27      6.8229e+02       3.2665e+02       -3.1292e+02        0.999          13.2
  28      5.1546e+02       3.5669e+02       -3.8749e+02        0.999          13.7
  29      3.8943e+02       3.9505e+02       -4.8019e+02        1.000          14.2
  30      2.9421e+02       4.3981e+02       -5.9065e+02        0.998          14.9
  31      2.2227e+02       5.0275e+02       -7.3143e+02        0.999          15.6
  32      1.6793e+02       5.8396e+02       -9.0446e+02        0.999          16.1
  33      1.2687e+02       6.9079e+02       -1.1147e+03        0.999          16.5
  34      9.5846e+01       8.3138e+02       -1.3673e+03        0.999          17.1
  35      7.2411e+01       1.0148e+03       -1.6657e+03        0.999          17.7
  36      5.4092e+01       1.2566e+03       -2.0283e+03        0.999          19.1
  37      3.9533e+01       1.5966e+03       -2.4786e+03        0.999          20.9
  38      2.8174e+01       2.0653e+03       -3.0390e+03        0.999          22.4
  39      1.9503e+01       2.7081e+03       -3.7346e+03        0.999          24.0
  40      1.3058e+01       3.5796e+03       -4.6059e+03        0.999          25.9
  41      8.4196e+00       4.7483e+03       -5.7210e+03        0.999          28.6
  42      5.2123e+00       6.3169e+03       -7.2121e+03        0.999          31.8
  43      3.0979e+00       8.4189e+03       -9.2869e+03        1.000          35.1
  44      1.7783e+00       1.1266e+04       -1.2262e+04        0.999          40.1
  45      1.0000e+00       1.5084e+04       -1.6546e+04        1.000          44.8

