File.......:  cell2ppochloranilliftfsi - SEP,06.2021

System.....:  
Potential..:  0.008V
Current....:  -21.96nA
Temperature:  -0.7 +-0.1 C
Time.......:  14:50:24 - 14:51:11
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.8930e+02       -1.3218e+02        0.999           0.0
   2      7.5549e+05       3.1017e+02       -1.1296e+02        1.000           1.3
   3      5.7077e+05       3.2375e+02       -9.8488e+01        0.999           1.8
   4      4.3121e+05       3.3477e+02       -8.4912e+01        1.000           2.5
   5      3.2578e+05       3.4343e+02       -7.6865e+01        1.000           3.3
   6      2.4612e+05       3.5119e+02       -7.1621e+01        1.000           3.7
   7      1.8594e+05       3.5884e+02       -6.9410e+01        1.000           4.1
   8      1.4048e+05       3.6720e+02       -6.9794e+01        0.999           4.6
   9      1.0613e+05       3.7504e+02       -7.2416e+01        1.000           5.1
  10      8.0180e+04       3.8473e+02       -7.7166e+01        1.000           5.5
  11      6.0575e+04       3.9417e+02       -8.4807e+01        1.000           6.0
  12      4.5764e+04       4.0619e+02       -9.4088e+01        1.000           6.4
  13      3.4574e+04       4.2016e+02       -1.0612e+02        1.000           6.9
  14      2.6121e+04       4.3509e+02       -1.1959e+02        1.000           7.4
  15      1.9734e+04       4.5222e+02       -1.3584e+02        1.000           7.9
  16      1.4909e+04       4.7161e+02       -1.5502e+02        1.000           8.3
  17      1.1263e+04       4.9492e+02       -1.7725e+02        1.000           8.8
  18      8.5095e+03       5.2047e+02       -2.0285e+02        1.000           9.3
  19      6.4288e+03       5.5005e+02       -2.3307e+02        1.000           9.7
  20      4.8569e+03       5.8342e+02       -2.6792e+02        1.000          10.2
  21      3.6694e+03       6.1674e+02       -3.0527e+02        1.000          10.9
  22      2.7722e+03       6.5812e+02       -3.5306e+02        0.999          11.6
  23      2.0944e+03       7.0450e+02       -4.0989e+02        0.999          12.1
  24      1.5823e+03       7.5659e+02       -4.7837e+02        1.000          12.6
  25      1.1954e+03       8.1570e+02       -5.6200e+02        0.999          13.0
  26      9.0311e+02       8.8367e+02       -6.6389e+02        0.999          13.5
  27      6.8229e+02       9.6238e+02       -7.8881e+02        0.999          14.0
  28      5.1546e+02       1.0549e+03       -9.4183e+02        0.999          14.4
  29      3.8943e+02       1.1662e+03       -1.1280e+03        0.999          14.9
  30      2.9421e+02       1.2974e+03       -1.3557e+03        1.000          15.4
  31      2.2227e+02       1.4572e+03       -1.6320e+03        0.999          15.9
  32      1.6793e+02       1.6487e+03       -1.9685e+03        0.999          16.3
  33      1.2687e+02       1.8815e+03       -2.3774e+03        0.999          16.8
  34      9.5846e+01       2.1680e+03       -2.8729e+03        0.999          17.3
  35      7.2411e+01       2.5213e+03       -3.4719e+03        0.999          17.9
  36      5.4092e+01       2.9673e+03       -4.2202e+03        0.999          19.3
  37      3.9533e+01       3.5809e+03       -5.2026e+03        0.999          21.1
  38      2.8174e+01       4.4333e+03       -6.4916e+03        0.999          22.9
  39      1.9503e+01       5.6664e+03       -8.2024e+03        0.999          25.0
  40      1.3058e+01       7.4588e+03       -1.0478e+04        0.999          26.9
  41      8.4196e+00       1.0085e+04       -1.3488e+04        0.999          29.1
  42      5.2123e+00       1.3902e+04       -1.7473e+04        0.999          31.9
  43      3.0979e+00       1.9355e+04       -2.2799e+04        0.999          35.3
  44      1.7783e+00       2.7131e+04       -2.9933e+04        0.999          40.2
  45      1.0000e+00       3.7920e+04       -3.9236e+04        0.998          44.8

