File.......:  cell10ppochloranillitfsi10wt - SEP,07.2021

System.....:  
Potential..:  -0.008V
Current....:  -72.298nA
Temperature:  -0.7 +-0.1 C
Time.......:  16:44:59 - 16:45:47
Comment....:  
              
              
              
              Main
time.......:  9480 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.6237e+02       -1.3333e+02        0.999           0.0
   2      7.5549e+05       2.8719e+02       -1.1262e+02        0.999           1.0
   3      5.7077e+05       3.0551e+02       -9.3832e+01        0.999           1.5
   4      4.3121e+05       3.1597e+02       -7.4104e+01        1.000           2.3
   5      3.2578e+05       3.2397e+02       -5.9731e+01        1.000           3.0
   6      2.4612e+05       3.2915e+02       -4.8169e+01        1.000           3.4
   7      1.8594e+05       3.3261e+02       -3.8731e+01        1.000           3.9
   8      1.4048e+05       3.3568e+02       -3.1949e+01        1.000           4.4
   9      1.0613e+05       3.3743e+02       -2.6885e+01        1.000           4.8
  10      8.0180e+04       3.3934e+02       -2.3280e+01        1.000           5.3
  11      6.0575e+04       3.4028e+02       -2.1809e+01        1.000           5.7
  12      4.5764e+04       3.4199e+02       -2.1022e+01        1.000           6.2
  13      3.4574e+04       3.4384e+02       -2.1590e+01        1.000           6.7
  14      2.6121e+04       3.4552e+02       -2.2785e+01        1.000           7.1
  15      1.9734e+04       3.4761e+02       -2.5093e+01        1.000           7.6
  16      1.4909e+04       3.4999e+02       -2.8743e+01        1.000           8.1
  17      1.1263e+04       3.5315e+02       -3.3385e+01        1.000           8.5
  18      8.5095e+03       3.5652e+02       -3.9536e+01        1.000           9.0
  19      6.4288e+03       3.6084e+02       -4.7367e+01        1.000           9.5
  20      4.8569e+03       3.6608e+02       -5.6911e+01        1.000           9.9
  21      3.6694e+03       3.7265e+02       -6.7980e+01        1.000          10.4
  22      2.7722e+03       3.8037e+02       -8.2275e+01        1.000          10.9
  23      2.0944e+03       3.8977e+02       -9.9571e+01        1.000          11.4
  24      1.5823e+03       4.0138e+02       -1.2056e+02        1.000          11.8
  25      1.1954e+03       4.1543e+02       -1.4625e+02        1.000          12.3
  26      9.0311e+02       4.3282e+02       -1.7717e+02        1.000          12.8
  27      6.8229e+02       4.5415e+02       -2.1465e+02        0.999          13.2
  28      5.1546e+02       4.8047e+02       -2.5972e+02        0.999          13.7
  29      3.8943e+02       5.1349e+02       -3.1338e+02        1.000          14.2
  30      2.9421e+02       5.5370e+02       -3.7777e+02        1.000          14.7
  31      2.2227e+02       5.9862e+02       -4.5020e+02        0.999          15.4
  32      1.6793e+02       6.5859e+02       -5.3951e+02        0.999          16.1
  33      1.2687e+02       7.3189e+02       -6.4457e+02        0.999          16.5
  34      9.5846e+01       8.2126e+02       -7.6730e+02        0.999          17.1
  35      7.2411e+01       9.2968e+02       -9.1021e+02        0.999          17.7
  36      5.4092e+01       1.0635e+03       -1.0838e+03        0.999          19.1
  37      3.9533e+01       1.2413e+03       -1.3014e+03        0.999          20.9
  38      2.8174e+01       1.4772e+03       -1.5789e+03        0.999          22.3
  39      1.9503e+01       1.7960e+03       -1.9362e+03        0.999          23.9
  40      1.3058e+01       2.2331e+03       -2.4034e+03        0.999          25.7
  41      8.4196e+00       2.8446e+03       -3.0211e+03        0.999          28.0
  42      5.2123e+00       3.7092e+03       -3.8408e+03        0.999          30.6
  43      3.0979e+00       4.9297e+03       -4.9261e+03        1.000          34.0
  44      1.7783e+00       6.6313e+03       -6.3331e+03        0.999          40.9
  45      1.0000e+00       8.9034e+03       -8.1247e+03        1.000          45.4

