File.......:  cell2ppochloranillitfsi10wt - SEP,07.2021

System.....:  
Potential..:  0.015V
Current....:  -33.455nA
Temperature:  -0.8 +-0.1 C
Time.......:  16:48:43 - 16:49:30
Comment....:  
              
              
              
              Main
time.......:  9480 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.5125e+02       -2.4254e+01        0.998           0.0
   2      7.5549e+05       1.5208e+02       -2.0027e+01        0.999           1.0
   3      5.7077e+05       1.5283e+02       -1.7482e+01        0.999           1.5
   4      4.3121e+05       1.5379e+02       -1.5424e+01        1.000           2.3
   5      3.2578e+05       1.5505e+02       -1.4610e+01        1.000           3.0
   6      2.4612e+05       1.5611e+02       -1.4393e+01        1.000           3.4
   7      1.8594e+05       1.5756e+02       -1.4714e+01        1.000           3.9
   8      1.4048e+05       1.5917e+02       -1.5575e+01        1.000           4.4
   9      1.0613e+05       1.6103e+02       -1.7015e+01        1.000           4.8
  10      8.0180e+04       1.6332e+02       -1.8958e+01        1.000           5.3
  11      6.0575e+04       1.6586e+02       -2.1531e+01        1.000           5.7
  12      4.5764e+04       1.6893e+02       -2.4578e+01        1.000           6.2
  13      3.4574e+04       1.7268e+02       -2.8289e+01        1.000           6.7
  14      2.6121e+04       1.7696e+02       -3.2486e+01        1.000           7.1
  15      1.9734e+04       1.8175e+02       -3.7463e+01        1.000           7.6
  16      1.4909e+04       1.8726e+02       -4.3243e+01        1.000           8.1
  17      1.1263e+04       1.9342e+02       -4.9958e+01        1.000           8.5
  18      8.5095e+03       2.0016e+02       -5.7784e+01        1.000           9.0
  19      6.4288e+03       2.0779e+02       -6.7095e+01        1.000           9.5
  20      4.8569e+03       2.1630e+02       -7.8121e+01        0.999           9.9
  21      3.6694e+03       2.2566e+02       -9.1175e+01        0.999          10.4
  22      2.7722e+03       2.3557e+02       -1.0771e+02        1.000          10.9
  23      2.0944e+03       2.4636e+02       -1.2826e+02        1.000          11.4
  24      1.5823e+03       2.5886e+02       -1.5408e+02        1.000          11.8
  25      1.1954e+03       2.7284e+02       -1.8692e+02        1.000          12.3
  26      9.0311e+02       2.8910e+02       -2.2839e+02        1.000          12.8
  27      6.8229e+02       3.0823e+02       -2.8110e+02        0.999          13.2
  28      5.1546e+02       3.3099e+02       -3.4790e+02        1.000          13.7
  29      3.8943e+02       3.5908e+02       -4.3241e+02        0.998          14.2
  30      2.9421e+02       3.9331e+02       -5.3959e+02        0.998          14.7
  31      2.2227e+02       4.3302e+02       -6.6946e+02        0.999          15.4
  32      1.6793e+02       4.8669e+02       -8.3896e+02        0.999          16.1
  33      1.2687e+02       5.5536e+02       -1.0528e+03        0.999          16.5
  34      9.5846e+01       6.4445e+02       -1.3214e+03        0.999          17.1
  35      7.2411e+01       7.6069e+02       -1.6579e+03        0.998          17.7
  36      5.4092e+01       9.1568e+02       -2.0950e+03        0.998          19.1
  37      3.9533e+01       1.1453e+03       -2.6893e+03        0.998          20.9
  38      2.8174e+01       1.4855e+03       -3.5077e+03        0.998          22.4
  39      1.9503e+01       2.0070e+03       -4.6504e+03        0.998          24.0
  40      1.3058e+01       2.8176e+03       -6.2617e+03        0.998          26.3
  41      8.4196e+00       4.1174e+03       -8.5769e+03        0.998          29.0
  42      5.2123e+00       6.2328e+03       -1.1912e+04        0.998          31.8
  43      3.0979e+00       9.6867e+03       -1.6657e+04        0.998          35.2
  44      1.7783e+00       1.5268e+04       -2.3230e+04        0.998          40.2
  45      1.0000e+00       2.3806e+04       -3.1778e+04        0.998          44.8

