File.......:  cell2ppochloranillitfsi5wt - SEP,08.2021

System.....:  
Potential..:  0.000V
Current....:  -20.361nA
Temperature:  -0.7 +-0.1 C
Time.......:  14:30:46 - 14:31:34
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.5591e+02       -3.2800e+02        0.999           0.0
   2      7.5549e+05       4.4149e+02       -3.1072e+02        0.998           1.3
   3      5.7077e+05       5.1489e+02       -2.8005e+02        0.998           1.8
   4      4.3121e+05       5.6294e+02       -2.3296e+02        0.999           2.5
   5      3.2578e+05       6.0018e+02       -1.9249e+02        0.999           3.3
   6      2.4612e+05       6.2578e+02       -1.5788e+02        1.000           3.7
   7      1.8594e+05       6.4224e+02       -1.2785e+02        1.000           4.1
   8      1.4048e+05       6.5515e+02       -1.0430e+02        1.000           4.6
   9      1.0613e+05       6.6318e+02       -8.6629e+01        1.000           5.1
  10      8.0180e+04       6.7132e+02       -7.2767e+01        1.000           5.5
  11      6.0575e+04       6.7526e+02       -6.6258e+01        1.000           6.0
  12      4.5764e+04       6.8131e+02       -6.0743e+01        1.000           6.4
  13      3.4574e+04       6.8796e+02       -5.8803e+01        1.000           6.9
  14      2.6121e+04       6.8870e+02       -5.6226e+01        1.000           7.6
  15      1.9734e+04       6.9542e+02       -5.8153e+01        1.000           8.3
  16      1.4909e+04       7.0317e+02       -6.1691e+01        1.000           8.8
  17      1.1263e+04       7.1108e+02       -6.7375e+01        1.000           9.2
  18      8.5095e+03       7.2049e+02       -7.4762e+01        1.000           9.7
  19      6.4288e+03       7.3086e+02       -8.4270e+01        1.000          10.2
  20      4.8569e+03       7.4219e+02       -9.5382e+01        1.000          10.7
  21      3.6694e+03       7.5532e+02       -1.0774e+02        1.000          11.1
  22      2.7722e+03       7.7006e+02       -1.2404e+02        1.000          11.6
  23      2.0944e+03       7.8666e+02       -1.4325e+02        1.000          12.1
  24      1.5823e+03       8.0512e+02       -1.6610e+02        1.000          12.6
  25      1.1954e+03       8.2532e+02       -1.9432e+02        1.000          13.0
  26      9.0311e+02       8.4782e+02       -2.2839e+02        1.000          13.5
  27      6.8229e+02       8.7300e+02       -2.7078e+02        1.000          14.0
  28      5.1546e+02       9.0159e+02       -3.2372e+02        1.000          14.4
  29      3.8943e+02       9.3420e+02       -3.8917e+02        1.000          14.9
  30      2.9421e+02       9.7130e+02       -4.7294e+02        1.000          15.4
  31      2.2227e+02       1.0158e+03       -5.7816e+02        1.000          15.9
  32      1.6793e+02       1.0688e+03       -7.1203e+02        1.000          16.3
  33      1.2687e+02       1.1364e+03       -8.8231e+02        0.999          16.8
  34      9.5846e+01       1.2253e+03       -1.0956e+03        0.999          17.3
  35      7.2411e+01       1.3456e+03       -1.3593e+03        0.999          17.9
  36      5.4092e+01       1.5155e+03       -1.7053e+03        0.999          19.3
  37      3.9533e+01       1.7804e+03       -2.1613e+03        0.999          21.1
  38      2.8174e+01       2.2031e+03       -2.7491e+03        0.999          22.5
  39      1.9503e+01       2.8823e+03       -3.4882e+03        0.999          24.1
  40      1.3058e+01       3.9588e+03       -4.3362e+03        0.999          26.0
  41      8.4196e+00       5.5691e+03       -5.1274e+03        0.999          28.6
  42      5.2123e+00       7.7098e+03       -5.5277e+03        0.999          31.8
  43      3.0979e+00       1.0081e+04       -5.3311e+03        0.999          35.1
  44      1.7783e+00       1.2228e+04       -4.5767e+03        0.999          40.1
  45      1.0000e+00       1.3818e+04       -3.5839e+03        1.000          44.7

