File.......:  cell1ppochloranillitfsi20wt0913m - SEP,14.2021

System.....:  
Potential..:  -0.008V
Current....:  -177.58nA
Temperature:  -0.7 +-0.1 C
Time.......:  14:31:27 - 14:32:12
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.5123e+02       -1.0628e+02        0.999           0.0
   2      7.5549e+05       2.6776e+02       -8.7564e+01        0.999           1.0
   3      5.7077e+05       2.7997e+02       -7.2444e+01        0.999           1.5
   4      4.3121e+05       2.8739e+02       -5.8421e+01        1.000           2.3
   5      3.2578e+05       2.9310e+02       -4.7736e+01        1.000           3.0
   6      2.4612e+05       2.9720e+02       -3.9458e+01        1.000           3.4
   7      1.8594e+05       3.0032e+02       -3.2867e+01        1.000           3.9
   8      1.4048e+05       3.0321e+02       -2.8034e+01        1.000           4.4
   9      1.0613e+05       3.0512e+02       -2.4794e+01        1.000           4.8
  10      8.0180e+04       3.0720e+02       -2.2641e+01        1.000           5.3
  11      6.0575e+04       3.0865e+02       -2.2242e+01        1.000           5.7
  12      4.5764e+04       3.1068e+02       -2.2443e+01        1.000           6.2
  13      3.4574e+04       3.1301e+02       -2.3821e+01        1.000           6.7
  14      2.6121e+04       3.1518e+02       -2.5932e+01        1.000           7.1
  15      1.9734e+04       3.1785e+02       -2.9080e+01        1.000           7.6
  16      1.4909e+04       3.2085e+02       -3.3603e+01        1.000           8.1
  17      1.1263e+04       3.2457e+02       -3.9318e+01        1.000           8.5
  18      8.5095e+03       3.2871e+02       -4.6737e+01        1.000           9.0
  19      6.4288e+03       3.3378e+02       -5.6112e+01        1.000           9.5
  20      4.8569e+03       3.3997e+02       -6.7628e+01        1.000           9.9
  21      3.6694e+03       3.4772e+02       -8.1277e+01        1.000          10.4
  22      2.7722e+03       3.5712e+02       -9.8790e+01        1.000          10.9
  23      2.0944e+03       3.6894e+02       -1.2004e+02        1.000          11.4
  24      1.5823e+03       3.8406e+02       -1.4578e+02        1.000          11.8
  25      1.1954e+03       4.0332e+02       -1.7708e+02        1.000          12.3
  26      9.0311e+02       4.2836e+02       -2.1392e+02        1.000          12.8
  27      6.8229e+02       4.6070e+02       -2.5711e+02        1.000          13.2
  28      5.1546e+02       5.0257e+02       -3.0626e+02        1.000          13.7
  29      3.8943e+02       5.5659e+02       -3.5998e+02        0.999          14.2
  30      2.9421e+02       6.1847e+02       -4.1395e+02        0.999          14.9
  31      2.2227e+02       6.9956e+02       -4.7043e+02        0.999          15.6
  32      1.6793e+02       7.9369e+02       -5.2494e+02        0.999          16.1
  33      1.2687e+02       9.0002e+02       -5.7452e+02        0.999          16.5
  34      9.5846e+01       1.0161e+03       -6.1733e+02        0.999          17.1
  35      7.2411e+01       1.1382e+03       -6.5338e+02        0.999          17.7
  36      5.4092e+01       1.2668e+03       -6.8667e+02        1.000          19.1
  37      3.9533e+01       1.4087e+03       -7.1741e+02        1.000          20.9
  38      2.8174e+01       1.5625e+03       -7.5118e+02        1.000          22.3
  39      1.9503e+01       1.7308e+03       -7.9316e+02        1.000          23.9
  40      1.3058e+01       1.9175e+03       -8.5262e+02        1.000          25.8
  41      8.4196e+00       2.1326e+03       -9.4159e+02        1.000          27.9
  42      5.2123e+00       2.3869e+03       -1.0756e+03        1.000          30.6
  43      3.0979e+00       2.7017e+03       -1.2832e+03        1.000          33.9
  44      1.7783e+00       3.0982e+03       -1.5963e+03        1.000          38.8
  45      1.0000e+00       3.6049e+03       -2.0633e+03        1.000          43.5

