File.......:  cell3ppochloranillitfsi20wt0913 - SEP,14.2021

System.....:  
Potential..:  0.009V
Current....:  -161.26pA
Temperature:  -0.7 +-0.1 C
Time.......:  14:35:12 - 14:36:00
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.6744e+01       -9.2780e+02        1.000           0.0
   2      7.5549e+05      -1.9007e+01       -1.2447e+03        0.998           1.3
   3      5.7077e+05       2.2340e+01       -1.6337e+03        0.998           2.1
   4      4.3121e+05       6.0437e+01       -2.1411e+03        0.997           3.1
   5      3.2578e+05       6.7970e+01       -2.8163e+03        0.996           3.8
   6      2.4612e+05       1.3289e+02       -3.6851e+03        0.996           4.2
   7      1.8594e+05       1.8308e+02       -4.8409e+03        0.996           4.7
   8      1.4048e+05       3.2644e+02       -6.3599e+03        0.993           5.1
   9      1.0613e+05       3.5830e+02       -8.3416e+03        0.998           5.6
  10      8.0180e+04       5.2877e+02       -1.0917e+04        0.997           6.1
  11      6.0575e+04       8.1185e+02       -1.4429e+04        0.999           6.8
  12      4.5764e+04       1.0472e+03       -1.8955e+04        0.999           7.4
  13      3.4574e+04       1.2902e+03       -2.4906e+04        0.998           7.9
  14      2.6121e+04       1.7301e+03       -3.2628e+04        0.998           8.4
  15      1.9734e+04       2.3967e+03       -4.2866e+04        0.999           8.9
  16      1.4909e+04       3.3024e+03       -5.6381e+04        0.997           9.4
  17      1.1263e+04       4.3169e+03       -7.4032e+04        0.999           9.8
  18      8.5095e+03       6.0082e+03       -9.7324e+04        0.997          10.3
  19      6.4288e+03       1.0382e+04       -1.2763e+05        0.999          11.1
  20      4.8569e+03       1.3980e+04       -1.6734e+05        0.999          11.8
  21      3.6694e+03       2.0719e+04       -2.1957e+05        0.999          12.3
  22      2.7722e+03       3.0376e+04       -2.8739e+05        0.998          12.8
  23      2.0944e+03       4.5180e+04       -3.7578e+05        0.998          13.3
  24      1.5823e+03       6.9277e+04       -4.9048e+05        0.997          13.8
  25      1.1954e+03       1.0821e+05       -6.4018e+05        0.997          14.3
  26      9.0311e+02       1.7135e+05       -8.2766e+05        0.997          14.8
  27      6.8229e+02       2.9058e+05       -1.0601e+06        0.999          15.5
  28      5.1546e+02       4.4951e+05       -1.3408e+06        0.999          16.3
  29      3.8943e+02       6.8573e+05       -1.6672e+06        0.999          16.7
  30      2.9421e+02       1.0700e+06       -2.0192e+06        0.998          17.2
  31      2.2227e+02       1.5047e+06       -2.2705e+06        0.993          17.7
  32      1.6793e+02       2.1519e+06       -2.5445e+06        0.990          18.3
  33      1.2687e+02       2.8574e+06       -2.6761e+06        0.995          18.8
  34      9.5846e+01       3.2811e+06       -2.4932e+06        0.991          19.4
  35      7.2411e+01       4.0395e+06       -2.1047e+06        0.992          20.0
  36      5.4092e+01       5.9073e+06       -6.7292e+05        0.994          21.4
  37      3.9533e+01       5.1904e+06       -1.3660e+06        0.991          23.2
  38      2.8174e+01       5.1257e+06       -1.5256e+06        0.947          24.6
  39      1.9503e+01       5.3536e+06       -1.0278e+06        0.970          26.3
  40      1.3058e+01       5.5879e+06       -9.0580e+05        0.987          28.1
  41      8.4196e+00       5.7128e+06       -8.0619e+05        0.977          30.3
  42      5.2123e+00       5.9024e+06       -6.5508e+05        0.994          32.9
  43      3.0979e+00       6.0705e+06       -6.7990e+05        1.000          36.2
  44      1.7783e+00       6.2461e+06       -7.3649e+05        1.000          41.2
  45      1.0000e+00       6.4544e+06       -8.5779e+05        0.998          45.8

