File.......:  cell1ppobqliftfsi30wt - SEP,16.2021

System.....:  
Potential..:  0.024V
Current....:  -30.692nA
Temperature:  -0.7 +-0.1 C
Time.......:  17:48:41 - 17:49:29
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.0849e+02       -6.6559e+02        0.998           0.0
   2      7.5549e+05       1.5331e+02       -8.6451e+02        0.996           1.5
   3      5.7077e+05       1.9907e+02       -1.0979e+03        0.998           2.1
   4      4.3121e+05       3.1754e+02       -1.3928e+03        0.998           3.0
   5      3.2578e+05       4.2906e+02       -1.7728e+03        0.998           4.0
   6      2.4612e+05       5.8863e+02       -2.2561e+03        0.998           4.4
   7      1.8594e+05       8.1049e+02       -2.8636e+03        0.998           4.8
   8      1.4048e+05       1.1414e+03       -3.5990e+03        0.997           5.3
   9      1.0613e+05       1.6080e+03       -4.5455e+03        0.998           5.7
  10      8.0180e+04       2.2951e+03       -5.6649e+03        0.998           6.2
  11      6.0575e+04       3.2915e+03       -6.9226e+03        0.998           6.6
  12      4.5764e+04       4.8025e+03       -8.2478e+03        0.999           7.3
  13      3.4574e+04       6.7105e+03       -9.5439e+03        0.999           8.0
  14      2.6121e+04       9.1259e+03       -1.0544e+04        1.000           8.5
  15      1.9734e+04       1.1890e+04       -1.1046e+04        0.999           8.9
  16      1.4909e+04       1.4728e+04       -1.0912e+04        0.999           9.4
  17      1.1263e+04       1.7354e+04       -1.0203e+04        0.999           9.8
  18      8.5095e+03       1.9514e+04       -9.1080e+03        0.999          10.3
  19      6.4288e+03       2.1204e+04       -7.8553e+03        0.999          10.7
  20      4.8569e+03       2.2442e+04       -6.6248e+03        0.999          11.2
  21      3.6694e+03       2.3316e+04       -5.5288e+03        1.000          11.6
  22      2.7722e+03       2.3946e+04       -4.6563e+03        1.000          12.1
  23      2.0944e+03       2.4412e+04       -3.9754e+03        1.000          12.6
  24      1.5823e+03       2.4784e+04       -3.4752e+03        1.000          13.0
  25      1.1954e+03       2.5098e+04       -3.1594e+03        1.000          13.5
  26      9.0311e+02       2.5388e+04       -2.9794e+03        1.000          13.9
  27      6.8229e+02       2.5675e+04       -2.9408e+03        1.000          14.4
  28      5.1546e+02       2.5975e+04       -3.0229e+03        1.000          14.9
  29      3.8943e+02       2.6321e+04       -3.2001e+03        1.000          15.3
  30      2.9421e+02       2.6699e+04       -3.5048e+03        1.000          15.8
  31      2.2227e+02       2.7140e+04       -3.8993e+03        1.000          16.2
  32      1.6793e+02       2.7624e+04       -4.4439e+03        1.000          16.7
  33      1.2687e+02       2.8193e+04       -5.1234e+03        1.000          17.2
  34      9.5846e+01       2.8867e+04       -5.9565e+03        1.000          17.7
  35      7.2411e+01       2.9656e+04       -6.9543e+03        1.000          18.3
  36      5.4092e+01       3.0630e+04       -8.2844e+03        1.000          19.7
  37      3.9533e+01       3.1903e+04       -9.9039e+03        1.000          21.4
  38      2.8174e+01       3.3629e+04       -1.2049e+04        1.000          22.8
  39      1.9503e+01       3.6011e+04       -1.4846e+04        1.000          24.4
  40      1.3058e+01       3.9321e+04       -1.8531e+04        1.000          26.3
  41      8.4196e+00       4.4007e+04       -2.3387e+04        0.999          28.4
  42      5.2123e+00       5.0607e+04       -2.9809e+04        0.999          31.1
  43      3.0979e+00       5.9900e+04       -3.8315e+04        0.999          35.0
  44      1.7783e+00       7.2692e+04       -4.9635e+04        0.999          40.6
  45      1.0000e+00       8.9578e+04       -6.4624e+04        0.999          45.2

