File.......:  cell4ppochloranillitfsi10wt - SEP,30.2021

System.....:  
Potential..:  0.019V
Current....:  -24.758nA
Temperature:  -0.8 +-0.1 C
Time.......:  18:43:40 - 18:44:27
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       6.7636e+00       -8.7150e+02        0.998           0.0
   2      7.5549e+05       3.7678e+01       -1.1586e+03        0.997           1.8
   3      5.7077e+05       7.6566e+01       -1.5283e+03        0.997           2.6
   4      4.3121e+05       1.5549e+02       -1.9790e+03        0.997           3.6
   5      3.2578e+05       2.4214e+02       -2.5716e+03        0.998           4.3
   6      2.4612e+05       3.8546e+02       -3.3603e+03        0.998           4.7
   7      1.8594e+05       5.6982e+02       -4.3584e+03        0.998           5.1
   8      1.4048e+05       8.9339e+02       -5.6481e+03        0.996           5.6
   9      1.0613e+05       1.3038e+03       -7.2817e+03        0.999           6.1
  10      8.0180e+04       2.1135e+03       -9.3925e+03        0.999           6.7
  11      6.0575e+04       3.1251e+03       -1.1979e+04        0.998           7.4
  12      4.5764e+04       4.6797e+03       -1.5211e+04        0.999           7.8
  13      3.4574e+04       7.0308e+03       -1.9067e+04        0.999           8.3
  14      2.6121e+04       1.0569e+04       -2.3421e+04        0.999           8.8
  15      1.9734e+04       1.5626e+04       -2.8002e+04        1.000           9.2
  16      1.4909e+04       2.2412e+04       -3.2187e+04        0.998           9.7
  17      1.1263e+04       3.0926e+04       -3.5142e+04        0.999          10.1
  18      8.5095e+03       4.0347e+04       -3.6108e+04        0.998          10.6
  19      6.4288e+03       4.9663e+04       -3.4751e+04        0.999          11.0
  20      4.8569e+03       5.7724e+04       -3.1438e+04        1.000          11.5
  21      3.6694e+03       6.4471e+04       -2.6777e+04        1.000          12.2
  22      2.7722e+03       6.9014e+04       -2.2434e+04        0.999          12.9
  23      2.0944e+03       7.2167e+04       -1.8439e+04        1.000          13.3
  24      1.5823e+03       7.4321e+04       -1.5054e+04        1.000          13.8
  25      1.1954e+03       7.5795e+04       -1.2391e+04        1.000          14.3
  26      9.0311e+02       7.6878e+04       -1.0330e+04        1.000          14.7
  27      6.8229e+02       7.7718e+04       -8.8529e+03        1.000          15.2
  28      5.1546e+02       7.8437e+04       -7.8398e+03        1.000          15.6
  29      3.8943e+02       7.9141e+04       -7.1447e+03        1.000          16.1
  30      2.9421e+02       7.9807e+04       -6.8320e+03        1.000          16.6
  31      2.2227e+02       8.0523e+04       -6.7207e+03        1.000          17.0
  32      1.6793e+02       8.1275e+04       -6.9231e+03        1.000          17.5
  33      1.2687e+02       8.2108e+04       -7.3491e+03        1.000          17.9
  34      9.5846e+01       8.3030e+04       -7.9735e+03        1.000          18.4
  35      7.2411e+01       8.4079e+04       -8.8117e+03        1.000          19.0
  36      5.4092e+01       8.5382e+04       -9.9646e+03        1.000          20.4
  37      3.9533e+01       8.6804e+04       -1.1570e+04        1.000          22.2
  38      2.8174e+01       8.8719e+04       -1.3605e+04        1.000          23.6
  39      1.9503e+01       9.1162e+04       -1.6421e+04        1.000          25.2
  40      1.3058e+01       9.4376e+04       -2.0381e+04        1.000          27.1
  41      8.4196e+00       9.8699e+04       -2.6041e+04        1.000          29.2
  42      5.2123e+00       1.0465e+05       -3.4402e+04        1.000          31.8
  43      3.0979e+00       1.1328e+05       -4.7034e+04        1.000          35.2
  44      1.7783e+00       1.2576e+05       -6.6358e+04        0.999          40.1
  45      1.0000e+00       1.4393e+05       -9.5636e+04        0.999          44.6

