Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\ベッセル\LiFTFSI20wt_2θ_θ.raw
Goniometer	SmartLab(In-plane)
Attachment	Zステージ単独
Monochromater	None
X	0
Y	0
Z	0.03946
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	2/3deg
受光スリット1	20.000mm
受光スリット2	20.000mm
Cu_K-beta	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Offset	0
5	52398.3
5.02	50140.5
5.04	47864.7
5.06	47611.8
5.08	45787.5
5.1	46835.1
5.12	45715.3
5.14	43674.3
5.16	43295
5.18	40368.9
5.2	40603.7
5.22	39538
5.24	39249
5.26	38634.9
5.28	37876.3
5.3	36973.2
5.32	35510.2
5.34	35257.3
5.36	33685.9
5.38	34029.1
5.4	33631.7
5.42	33270.5
5.44	31825.5
5.46	32421.6
5.48	30814
5.5	32331.2
5.52	30434.7
5.54	30850.1
5.56	30669.5
5.58	29513.5
5.6	29603.9
5.62	29712.2
5.64	29549.7
5.66	29730.3
5.68	29947
5.7	29477.4
5.72	29748.4
5.74	27960.2
5.76	28195
5.78	27924.1
5.8	28827.2
5.82	26659.7
5.84	28700.8
5.86	27617
5.88	27869.9
5.9	25901.1
5.92	28050.5
5.94	26587.5
5.96	27400.3
5.98	27418.3
6	26876.5
6.02	27743.5
6.04	28827.2
6.06	27093.2
6.08	27815.7
6.1	27779.6
6.12	27635.1
6.14	27237.7
6.16	27869.9
6.18	27725.4
6.2	27833.8
6.22	28664.6
6.24	27328
6.26	28104.7
6.28	27580.9
6.3	26695.9
6.32	26876.5
6.34	27093.2
6.36	26623.6
6.38	27671.2
6.4	27906
6.42	28086.6
6.44	27833.8
6.46	27255.8
6.48	27328
6.5	28068.6
6.52	25557.9
6.54	27761.5
6.56	26677.8
6.58	27255.8
6.6	28411.8
6.62	25431.5
6.64	28321.4
6.66	27147.4
6.68	28863.3
6.7	28249.2
6.72	27454.5
6.74	27725.4
6.76	27039
6.78	27346.1
6.8	26497.2
6.82	26948.7
6.84	27544.8
6.86	27779.6
6.88	27653.1
6.9	28700.8
6.92	27346.1
6.94	27635.1
6.96	26804.2
6.98	26641.7
7	27255.8
7.02	26479.1
7.04	26894.5
7.06	26461
7.08	27454.5
7.1	26804.2
7.12	26226.2
7.14	27129.3
7.16	27653.1
7.18	27183.5
7.2	27183.5
7.22	26045.6
7.24	25521.8
7.26	25937.2
7.28	26713.9
7.3	26966.8
7.32	25973.4
7.34	27075.2
7.36	26406.9
7.38	27021
7.4	27075.2
7.42	27526.7
7.44	27039
7.46	25268.9
7.48	25232.8
7.5	26316.5
7.52	26190.1
7.54	26497.2
7.56	26424.9
7.58	26424.9
7.6	26117.9
7.62	26045.6
7.64	26099.8
7.66	26768.1
7.68	26443
7.7	26479.1
7.72	27382.2
7.74	26623.6
7.76	26370.7
7.78	27111.3
7.8	26045.6
7.82	26226.2
7.84	25973.4
7.86	27418.3
7.88	26298.5
7.9	25341.2
7.92	26370.7
7.94	26804.2
7.96	25395.4
7.98	27129.3
8	26479.1
8.02	26876.5
8.04	26172.1
8.06	25865
8.08	26081.7
8.1	26659.7
8.12	25684.4
8.14	25467.6
8.16	24636.8
8.18	25305.1
8.2	25865
8.22	26551.4
8.24	25955.3
8.26	25684.4
8.28	27472.5
8.3	27147.4
8.32	27364.2
8.34	26081.7
8.36	25323.1
8.38	25702.4
8.4	25449.6
8.42	26515.2
8.44	25828.9
8.46	27508.7
8.48	27002.9
8.5	26623.6
8.52	27490.6
8.54	27400.3
8.56	26713.9
8.58	27111.3
8.6	27111.3
8.62	27761.5
8.64	26154
8.66	26424.9
8.68	27562.8
8.7	27526.7
8.72	26695.9
8.74	27653.1
8.76	27111.3
8.78	26027.6
8.8	27978.3
8.82	26984.8
8.84	27002.9
8.86	26677.8
8.88	26370.7
8.9	27057.1
8.92	25268.9
8.94	26750
8.96	25016.1
8.98	26533.3
9	24691
9.02	27418.3
9.04	26587.5
9.06	26334.6
9.08	26822.3
9.1	26099.8
9.12	24943.8
9.14	24943.8
9.16	25702.4
9.18	25792.7
9.2	26515.2
9.22	26858.4
9.24	25612.1
9.26	25594.1
9.28	25341.2
9.3	26786.2
9.32	25539.9
9.34	26786.2
9.36	25738.6
9.38	26424.9
9.4	26551.4
9.42	24781.3
9.44	26172.1
9.46	24745.1
9.48	24438.1
9.5	24654.8
9.52	26009.5
9.54	25070.3
9.56	25305.1
9.58	25341.2
9.6	24763.2
9.62	26045.6
9.64	25539.9
9.66	25846.9
9.68	25774.7
9.7	25431.5
9.72	25557.9
9.74	25792.7
9.76	25901.1
9.78	23968.5
9.8	25792.7
9.82	25160.6
9.84	25214.8
9.86	26135.9
9.88	26154
9.9	25955.3
9.92	24943.8
9.94	24925.8
9.96	24853.5
9.98	25503.8
10	26226.2
10.02	25395.4
10.04	24221.3
10.06	25359.3
10.08	25684.4
10.1	25810.8
10.12	25268.9
10.14	25792.7
10.16	25684.4
10.18	25702.4
10.2	25196.7
10.22	25521.8
10.24	24329.7
10.26	25485.7
10.28	26226.2
10.3	24799.3
10.32	24239.4
10.34	24365.8
10.36	26298.5
10.38	24636.8
10.4	25106.4
10.42	25088.3
10.44	25648.2
10.46	24763.2
10.48	25865
10.5	25521.8
10.52	25305.1
10.54	26154
10.56	25088.3
10.58	26045.6
10.6	24329.7
10.62	25684.4
10.64	25955.3
10.66	25756.6
10.68	23444.7
10.7	25214.8
10.72	25846.9
10.74	24600.6
10.76	26063.7
10.78	26063.7
10.8	25323.1
10.82	25431.5
10.84	25883.1
10.86	25503.8
10.88	25214.8
10.9	24347.8
10.92	25413.4
10.94	24654.8
10.96	25865
10.98	26154
11	25594.1
11.02	24979.9
11.04	24347.8
11.06	24709
11.08	25684.4
11.1	25720.5
11.12	24383.9
11.14	25684.4
11.16	25720.5
11.18	26099.8
11.2	25828.9
11.22	25503.8
11.24	25630.2
11.26	25720.5
11.28	23878.2
11.3	25612.1
11.32	26894.5
11.34	25955.3
11.36	25720.5
11.38	24293.6
11.4	24943.8
11.42	25883.1
11.44	26226.2
11.46	24275.5
11.48	25594.1
11.5	25720.5
11.52	25666.3
11.54	27002.9
11.56	25359.3
11.58	25341.2
11.6	25991.4
11.62	26063.7
11.64	26009.5
11.66	25648.2
11.68	25449.6
11.7	25901.1
11.72	27237.7
11.74	24853.5
11.76	26154
11.78	24925.8
11.8	26208.2
11.82	25323.1
11.84	25883.1
11.86	25756.6
11.88	26605.5
11.9	25377.3
11.92	26262.4
11.94	24727.1
11.96	24998
11.98	26316.5
12	25377.3
12.02	27635.1
12.04	25503.8
12.06	24654.8
12.08	24998
12.1	25124.4
12.12	25377.3
12.14	26154
12.16	25485.7
12.18	25756.6
12.2	25250.9
12.22	25395.4
12.24	25937.2
12.26	24799.3
12.28	25268.9
12.3	25648.2
12.32	25955.3
12.34	25268.9
12.36	25196.7
12.38	25413.4
12.4	25901.1
12.42	26081.7
12.44	25539.9
12.46	24618.7
12.48	25503.8
12.5	25991.4
12.52	26081.7
12.54	25106.4
12.56	25268.9
12.58	25828.9
12.6	24691
12.62	25901.1
12.64	25666.3
12.66	26695.9
12.68	27382.2
12.7	25955.3
12.72	25449.6
12.74	26695.9
12.76	25287
12.78	24979.9
12.8	25648.2
12.82	26876.5
12.84	26370.7
12.86	25720.5
12.88	26641.7
12.9	26515.2
12.92	26135.9
12.94	25846.9
12.96	27093.2
12.98	26298.5
13	25846.9
13.02	25865
13.04	26226.2
13.06	25937.2
13.08	25702.4
13.1	25684.4
13.12	25810.8
13.14	24654.8
13.16	25232.8
13.18	27201.6
13.2	23986.5
13.22	26117.9
13.24	26515.2
13.26	25883.1
13.28	25846.9
13.3	26677.8
13.32	25991.4
13.34	25937.2
13.36	24835.5
13.38	26406.9
13.4	25865
13.42	25756.6
13.44	27472.5
13.46	26244.3
13.48	25196.7
13.5	26154
13.52	27093.2
13.54	25756.6
13.56	25557.9
13.58	25323.1
13.6	26244.3
13.62	25395.4
13.64	26370.7
13.66	25196.7
13.68	26027.6
13.7	25612.1
13.72	26117.9
13.74	26461
13.76	25810.8
13.78	26154
13.8	26244.3
13.82	26208.2
13.84	25287
13.86	24907.7
13.88	26424.9
13.9	25539.9
13.92	25666.3
13.94	24835.5
13.96	26135.9
13.98	26840.3
14	25937.2
14.02	25865
14.04	25846.9
14.06	26515.2
14.08	25919.2
14.1	25521.8
14.12	25883.1
14.14	25937.2
14.16	25323.1
14.18	25901.1
14.2	25630.2
14.22	25991.4
14.24	25901.1
14.26	25594.1
14.28	25016.1
14.3	26045.6
14.32	26262.4
14.34	25937.2
14.36	26244.3
14.38	25666.3
14.4	26370.7
14.42	25774.7
14.44	24221.3
14.46	24691
14.48	24925.8
14.5	27526.7
14.52	26262.4
14.54	24456.1
14.56	26154
14.58	25774.7
14.6	25341.2
14.62	25738.6
14.64	25485.7
14.66	24564.5
14.68	25232.8
14.7	25449.6
14.72	25630.2
14.74	24564.5
14.76	24979.9
14.78	25937.2
14.8	25160.6
14.82	24817.4
14.84	25305.1
14.86	24943.8
14.88	25521.8
14.9	25557.9
14.92	25287
14.94	25630.2
14.96	24781.3
14.98	25016.1
15	26063.7
15.02	24871.6
15.04	25467.6
15.06	25720.5
15.08	24672.9
15.1	26479.1
15.12	25774.7
15.14	24492.3
15.16	24817.4
15.18	24745.1
15.2	25395.4
15.22	25106.4
15.24	26406.9
15.26	24239.4
15.28	24275.5
15.3	25268.9
15.32	26244.3
15.34	25268.9
15.36	25720.5
15.38	25702.4
15.4	24998
15.42	25106.4
15.44	23444.7
15.46	26172.1
15.48	24257.5
15.5	25124.4
15.52	26641.7
15.54	24275.5
15.56	25377.3
15.58	25467.6
15.6	25323.1
15.62	24709
15.64	25756.6
15.66	25648.2
15.68	25846.9
15.7	25792.7
15.72	25377.3
15.74	24564.5
15.76	24961.9
15.78	25431.5
15.8	24311.7
15.82	25449.6
15.84	25214.8
15.86	25431.5
15.88	24058.8
15.9	24329.7
15.92	25467.6
15.94	25232.8
15.96	25576
15.98	24727.1
16	25449.6
16.02	24149.1
16.04	25160.6
16.06	24492.3
16.08	25431.5
16.1	24600.6
16.12	25016.1
16.14	25268.9
16.16	25630.2
16.18	26677.8
16.2	24094.9
16.22	24564.5
16.24	25684.4
16.26	25142.5
16.28	25124.4
16.3	25124.4
16.32	23535
16.34	24889.6
16.36	24745.1
16.38	24510.3
16.4	24058.8
16.42	24149.1
16.44	25016.1
16.46	24528.4
16.48	25088.3
16.5	24727.1
16.52	25648.2
16.54	24727.1
16.56	23733.7
16.58	24076.8
16.6	24058.8
16.62	24365.8
16.64	24492.3
16.66	23914.3
16.68	24257.5
16.7	24654.8
16.72	24600.6
16.74	23209.9
16.76	24347.8
16.78	23589.2
16.8	25196.7
16.82	23300.2
16.84	24402
16.86	23679.5
16.88	24167.2
16.9	24799.3
16.92	25160.6
16.94	24709
16.96	24131
16.98	24799.3
17	24672.9
17.02	25557.9
17.04	25576
17.06	25792.7
17.08	25684.4
17.1	24347.8
17.12	24691
17.14	25034.1
17.16	26154
17.18	25323.1
17.2	25431.5
17.22	24456.1
17.24	25937.2
17.26	24853.5
17.28	25810.8
17.3	25052.2
17.32	25485.7
17.34	26045.6
17.36	25377.3
17.38	24889.6
17.4	24961.9
17.42	25612.1
17.44	25774.7
17.46	25774.7
17.48	25268.9
17.5	24817.4
17.52	24654.8
17.54	25467.6
17.56	26858.4
17.58	25774.7
17.6	25810.8
17.62	26713.9
17.64	24239.4
17.66	24510.3
17.68	24510.3
17.7	26334.6
17.72	24709
17.74	24745.1
17.76	24167.2
17.78	24727.1
17.8	23896.2
17.82	23842
