Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\ベッセル\LiFTFSI_2θ_θ.raw
Goniometer	SmartLab(In-plane)
Attachment	Zステージ単独
Monochromater	None
X	0
Y	0
Z	0.02762
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	2/3deg
受光スリット1	20.000mm
受光スリット2	20.000mm
Cu_K-beta	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Offset	0
5	47539.6
5.02	50844.9
5.04	49002.6
5.06	46184.9
5.08	47557.6
5.1	44649.6
5.12	44848.3
5.14	42048.7
5.16	42608.6
5.18	41253.9
5.2	39700.6
5.22	39809
5.24	38833.6
5.26	37551.2
5.28	37244.1
5.3	36557.8
5.32	34697.4
5.34	34354.2
5.36	34462.6
5.38	32096.4
5.4	31735.2
5.42	32078.4
5.44	32313.2
5.46	30109.6
5.48	29676.1
5.5	31265.6
5.52	31121.1
5.54	29495.5
5.56	29856.7
5.58	30055.4
5.6	28700.8
5.62	29621.9
5.64	28122.8
5.66	28754.9
5.68	26894.5
5.7	27869.9
5.72	26515.2
5.74	28628.5
5.76	27526.7
5.78	28357.6
5.8	27400.3
5.82	27039
5.84	27743.5
5.86	26479.1
5.88	27273.8
5.9	27797.6
5.92	26461
5.94	26551.4
5.96	26424.9
5.98	27508.7
6	27382.2
6.02	27472.5
6.04	26154
6.06	25431.5
6.08	25955.3
6.1	26226.2
6.12	27707.3
6.14	26497.2
6.16	27526.7
6.18	26262.4
6.2	25955.3
6.22	26497.2
6.24	26316.5
6.26	26533.3
6.28	25774.7
6.3	26316.5
6.32	26334.6
6.34	27021
6.36	26226.2
6.38	26840.3
6.4	25413.4
6.42	25738.6
6.44	25774.7
6.46	26984.8
6.48	26406.9
6.5	25576
6.52	26984.8
6.54	27400.3
6.56	25521.8
6.58	26443
6.6	27183.5
6.62	26804.2
6.64	25865
6.66	26208.2
6.68	25846.9
6.7	26587.5
6.72	27743.5
6.74	25810.8
6.76	26334.6
6.78	25539.9
6.8	25774.7
6.82	25034.1
6.84	25323.1
6.86	25485.7
6.88	24835.5
6.9	25865
6.92	26659.7
6.94	25016.1
6.96	25431.5
6.98	24853.5
7	26388.8
7.02	26786.2
7.04	24799.3
7.06	25377.3
7.08	26063.7
7.1	25576
7.12	27346.1
7.14	24907.7
7.16	25774.7
7.18	25305.1
7.2	26045.6
7.22	25070.3
7.24	25359.3
7.26	25485.7
7.28	24925.8
7.3	25774.7
7.32	24492.3
7.34	25955.3
7.36	25955.3
7.38	25539.9
7.4	25106.4
7.42	25088.3
7.44	25070.3
7.46	25268.9
7.48	25666.3
7.5	25539.9
7.52	24835.5
7.54	25485.7
7.56	25305.1
7.58	25142.5
7.6	24582.6
7.62	24113
7.64	25359.3
7.66	25919.2
7.68	24257.5
7.7	24799.3
7.72	24727.1
7.74	24185.2
7.76	24745.1
7.78	25214.8
7.8	24618.7
7.82	26587.5
7.84	25323.1
7.86	24925.8
7.88	24365.8
7.9	24871.6
7.92	24402
7.94	24383.9
7.96	24365.8
7.98	25413.4
8	24347.8
8.02	25106.4
8.04	24420
8.06	24672.9
8.08	23733.7
8.1	24185.2
8.12	24781.3
8.14	24709
8.16	24167.2
8.18	24221.3
8.2	24907.7
8.22	24600.6
8.24	24058.8
8.26	24438.1
8.28	24094.9
8.3	23914.3
8.32	24420
8.34	24420
8.36	24727.1
8.38	24149.1
8.4	25142.5
8.42	23896.2
8.44	25088.3
8.46	23625.3
8.48	24492.3
8.5	23697.5
8.52	24040.7
8.54	23643.3
8.56	24004.6
8.58	24149.1
8.6	24871.6
8.62	24474.2
8.64	23209.9
8.66	23878.2
8.68	24094.9
8.7	23101.5
8.72	23896.2
8.74	24058.8
8.76	24654.8
8.78	24203.3
8.8	23878.2
8.82	24781.3
8.84	24149.1
8.86	24420
8.88	23878.2
8.9	24582.6
8.92	23354.4
8.94	23769.8
8.96	24636.8
8.98	25106.4
9	23950.4
9.02	24275.5
9.04	25034.1
9.06	24239.4
9.08	23571.1
9.1	24347.8
9.12	25630.2
9.14	25196.7
9.16	24763.2
9.18	25756.6
9.2	27057.1
9.22	25901.1
9.24	27815.7
9.26	28393.7
9.28	29134.2
9.3	28285.3
9.32	27544.8
9.34	26479.1
9.36	23842
9.38	24149.1
9.4	23787.8
9.42	23246
9.44	23535
9.46	23336.3
9.48	22704.1
9.5	23535
9.52	23516.9
9.54	23318.2
9.56	23227.9
9.58	22342.9
9.6	23336.3
9.62	23679.5
9.64	22993.1
9.66	22071.9
9.68	22415.1
9.7	22017.8
9.72	22397.1
9.74	22180.3
9.76	23643.3
9.78	22812.5
9.8	23047.3
9.82	23191.8
9.84	22541.6
9.86	22577.7
9.88	22071.9
9.9	22180.3
9.92	21764.9
9.94	23173.7
9.96	23715.6
9.98	23444.7
10	22668
10.02	21530.1
10.04	22108.1
10.06	22776.4
10.08	22595.7
10.1	22108.1
10.12	21168.8
10.14	22776.4
10.16	22884.7
10.18	22559.6
10.2	22252.6
10.22	21512
10.24	22505.4
10.26	22216.4
10.28	22216.4
10.3	21819.1
10.32	22397.1
10.34	21620.4
10.36	22071.9
10.38	21710.7
10.4	22631.9
10.42	22758.3
10.44	21205
10.46	22252.6
10.48	21259.1
10.5	22053.9
10.52	21584.3
10.54	21186.9
10.56	22668
10.58	22288.7
10.6	21602.3
10.62	21331.4
10.64	21168.8
10.66	22776.4
10.68	22270.6
10.7	22180.3
10.72	21512
10.74	21819.1
10.76	20554.7
10.78	21692.6
10.8	21512
10.82	21494
10.84	21746.8
10.86	21764.9
10.88	20952.1
10.9	22324.8
10.92	22234.5
10.94	21349.5
10.96	21042.4
10.98	20319.9
11	21403.6
11.02	21728.8
11.04	20175.4
11.06	22451.2
11.08	20283.8
11.1	22397.1
11.12	20446.3
11.14	21764.9
11.16	20663.1
11.18	20861.8
11.2	21620.4
11.22	21873.3
11.24	21403.6
11.26	20536.7
11.28	21837.1
11.3	21945.5
11.32	22234.5
11.34	21205
11.36	21638.5
11.38	21367.5
11.4	20879.8
11.42	21439.8
11.44	20572.8
11.46	21981.6
11.48	21530.1
11.5	21168.8
11.52	21439.8
11.54	19922.5
11.56	21494
11.58	21060.5
11.6	20229.6
11.62	20012.9
11.64	21186.9
11.66	20518.6
11.68	20861.8
11.7	21548.1
11.72	20681.2
11.74	20265.7
11.76	21186.9
11.78	20699.2
11.8	20735.3
11.82	20356
11.84	21078.5
11.86	20049
11.88	20157.4
11.9	20554.7
11.92	20861.8
11.94	20807.6
11.96	21403.6
11.98	20572.8
12	20410.2
12.02	20030.9
12.04	20265.7
12.06	20428.3
12.08	21259.1
12.1	20627
12.12	20121.2
12.14	20446.3
12.16	20681.2
12.18	20428.3
12.2	18838.8
12.22	20681.2
12.24	20934
12.26	20789.5
12.28	20482.5
12.3	20608.9
12.32	20825.7
12.34	20879.8
12.36	20247.7
12.38	20572.8
12.4	20410.2
12.42	20934
12.44	21782.9
12.46	22505.4
12.48	21746.8
12.5	23011.2
12.52	22469.3
12.54	22252.6
12.56	21205
12.58	22144.2
12.6	21530.1
12.62	21313.3
12.64	20934
12.66	19362.6
12.68	20067
12.7	20139.3
12.72	19109.8
12.74	20157.4
12.76	20446.3
12.78	20067
12.8	19832.2
12.82	18549.8
12.84	20825.7
12.86	20645
12.88	19073.6
12.9	19452.9
12.92	19308.4
12.94	19362.6
12.96	20049
12.98	19850.3
13	19362.6
13.02	19615.5
13.04	18622.1
13.06	19976.7
13.08	19597.4
13.1	19940.6
13.12	20157.4
13.14	18965.3
13.16	18856.9
13.18	19019.4
13.2	18098.3
13.22	18983.3
13.24	19796.1
13.26	19398.7
13.28	19452.9
13.3	19037.5
13.32	19796.1
13.34	20229.6
13.36	19940.6
13.38	19308.4
13.4	19452.9
13.42	19073.6
13.44	19001.4
13.46	20229.6
13.48	18784.6
13.5	18387.3
13.52	19290.4
13.54	18604
13.56	18730.4
13.58	18820.8
13.6	19290.4
13.62	20807.6
13.64	17881.5
13.66	19760
13.68	19741.9
13.7	19127.8
13.72	18297
13.74	19308.4
13.76	18098.3
13.78	19561.3
13.8	18441.5
13.82	19416.8
13.84	19326.5
13.86	18802.7
13.88	20157.4
13.9	18513.7
13.92	19218.1
13.94	18676.3
13.96	18242.8
13.98	19109.8
14	18658.2
14.02	18676.3
14.04	19362.6
14.06	18513.7
14.08	18459.5
14.1	18080.2
14.12	18604
14.14	19398.7
14.16	18242.8
14.18	17791.2
14.2	18622.1
14.22	19904.5
14.24	18477.6
14.26	18351.1
14.28	18838.8
14.3	19796.1
14.32	18459.5
14.34	19344.6
14.36	19380.7
14.38	18098.3
14.4	18622.1
14.42	19272.3
14.44	19489.1
14.46	19019.4
14.48	18062.1
14.5	18856.9
14.52	18965.3
14.54	18965.3
14.56	18766.6
14.58	18242.8
14.6	18152.5
14.62	18640.1
14.64	18062.1
14.66	18585.9
14.68	18911.1
14.7	18947.2
14.72	17719
14.74	19019.4
14.76	17917.7
14.78	18116.3
14.8	18640.1
14.82	18784.6
14.84	18477.6
14.86	19380.7
14.88	18838.8
14.9	19019.4
14.92	18567.9
14.94	19760
14.96	19452.9
14.98	18748.5
15	19218.1
15.02	18893
15.04	20518.6
15.06	20121.2
15.08	20319.9
15.1	20319.9
15.12	20753.4
15.14	20410.2
15.16	19778.1
15.18	18983.3
15.2	19145.9
15.22	18838.8
15.24	18152.5
15.26	18676.3
15.28	17321.6
15.3	17213.2
15.32	17592.5
15.34	17935.7
15.36	19055.6
15.38	17917.7
15.4	18477.6
15.42	17411.9
15.44	17719
15.46	18315
15.48	18080.2
15.5	18297
15.52	17700.9
15.54	17484.2
15.56	16653.3
15.58	17917.7
15.6	18369.2
15.62	17267.4
15.64	18549.8
15.66	18062.1
15.68	18260.8
15.7	17628.7
15.72	17303.5
15.74	18134.4
15.76	18315
15.78	18531.8
15.8	18297
15.82	18224.7
15.84	18242.8
15.86	18712.4
15.88	20428.3
15.9	20356
15.92	19850.3
15.94	19994.8
15.96	20482.5
15.98	21692.6
16	24528.4
16.02	24239.4
16.04	25106.4
16.06	27364.2
16.08	29080.1
16.1	30886.3
16.12	31121.1
16.14	31175.3
16.16	29459.4
16.18	26533.3
16.2	23697.5
16.22	20807.6
16.24	18748.5
16.26	18802.7
16.28	18098.3
16.3	17719
16.32	17393.8
16.34	18260.8
16.36	18297
16.38	16653.3
16.4	17159
16.42	15985
16.44	16906.2
16.46	17466.1
16.48	17177.1
16.5	16942.3
16.52	17177.1
16.54	16436.6
16.56	17249.3
16.58	17556.4
16.6	17050.7
16.62	17411.9
16.64	18477.6
16.66	18170.5
16.68	18116.3
16.7	17538.3
16.72	17068.7
16.74	17556.4
16.76	18676.3
16.78	18242.8
16.8	18116.3
16.82	17249.3
