Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiFTFSI20wt_01_0001_0029-1_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.01716
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
5	6917.8
5.02	6881.68
5.04	6267.56
5.06	6682.99
5.08	6791.37
5.1	6177.25
5.12	6845.55
5.14	6845.55
5.16	6556.56
5.18	6484.31
5.2	5906.32
5.22	6971.99
5.24	6791.37
5.26	6755.24
5.28	6484.31
5.3	6484.31
5.32	6664.93
5.34	6249.5
5.36	6357.88
5.38	6105.01
5.4	7008.11
5.42	6971.99
5.44	6737.18
5.46	6556.56
5.48	6592.68
5.5	6177.25
5.52	6556.56
5.54	6664.93
5.56	7224.86
5.58	6448.19
5.6	6755.24
5.62	6231.44
5.64	5942.45
5.66	5743.76
5.68	6863.62
5.7	6610.75
5.72	6014.69
5.74	6646.87
5.76	6430.12
5.78	6863.62
5.8	6014.69
5.82	6520.44
5.84	6466.25
5.86	6177.25
5.88	5779.89
5.9	6538.5
5.92	6899.74
5.94	5960.51
5.96	6375.94
5.98	6123.07
6	6484.31
6.02	6375.94
6.04	6664.93
6.06	5942.45
6.08	6448.19
6.1	6303.69
6.12	6303.69
6.14	6068.88
6.16	6213.38
6.18	6195.32
6.2	6646.87
6.22	6086.94
6.24	6538.5
6.26	6249.5
6.28	6466.25
6.3	6231.44
6.32	6105.01
6.34	6701.06
6.36	6032.76
6.38	5653.45
6.4	6574.62
6.42	5364.46
6.44	6086.94
6.46	5761.82
6.48	6267.56
6.5	6267.56
6.52	5960.51
6.54	6141.13
6.56	5635.39
6.58	5996.63
6.6	5779.89
6.62	5906.32
6.64	5581.2
6.66	5906.32
6.68	5852.14
6.7	5942.45
6.72	6086.94
6.74	5671.51
6.76	5978.57
6.78	5978.57
6.8	5653.45
6.82	5816.01
6.84	6231.44
6.86	6610.75
6.88	5942.45
6.9	5183.84
6.92	6213.38
6.94	5472.83
6.96	5924.38
6.98	5906.32
7	5816.01
7.02	5834.07
7.04	5635.39
7.06	5545.08
7.08	5545.08
7.1	5834.07
7.12	5689.58
7.14	5183.84
7.16	5563.14
7.18	5996.63
7.2	5816.01
7.22	5527.02
7.24	5256.08
7.26	5942.45
7.28	5436.71
7.3	5527.02
7.32	6014.69
7.34	5707.64
7.36	5292.21
7.38	5418.64
7.4	6249.5
7.42	5888.26
7.44	5508.95
7.46	5581.2
7.48	5508.95
7.5	5364.46
7.52	5183.84
7.54	5328.33
7.56	5725.7
7.58	5527.02
7.6	5852.14
7.62	5689.58
7.64	5527.02
7.66	6177.25
7.68	5852.14
7.7	5689.58
7.72	5707.64
7.74	5816.01
7.76	6249.5
7.78	5978.57
7.8	5310.27
7.82	5617.33
7.84	5346.4
7.86	5346.4
7.88	5870.2
7.9	5599.27
7.92	5418.64
7.94	5906.32
7.96	5635.39
7.98	5508.95
8	5852.14
8.02	5942.45
8.04	5165.77
8.06	5527.02
8.08	5057.4
8.1	5653.45
8.12	5400.58
8.14	5707.64
8.16	5671.51
8.18	5165.77
8.2	6105.01
8.22	5797.95
8.24	5635.39
8.26	5996.63
8.28	5761.82
8.3	5581.2
8.32	5581.2
8.34	5635.39
8.36	5472.83
8.38	5599.27
8.4	5472.83
8.42	5816.01
8.44	5834.07
8.46	5256.08
8.48	5238.02
8.5	5436.71
8.52	5960.51
8.54	6827.49
8.56	5797.95
8.58	5075.46
8.6	5942.45
8.62	5472.83
8.64	5978.57
8.66	5671.51
8.68	6249.5
8.7	5165.77
8.72	5508.95
8.74	6086.94
8.76	5852.14
8.78	5219.96
8.8	5689.58
8.82	5490.89
8.84	5346.4
8.86	5761.82
8.88	5454.77
8.9	5238.02
8.92	5834.07
8.94	5490.89
8.96	5527.02
8.98	5165.77
9	5382.52
9.02	5454.77
9.04	5545.08
9.06	5436.71
9.08	5310.27
9.1	5183.84
9.12	5382.52
9.14	5490.89
9.16	5129.65
9.18	5436.71
9.2	5418.64
9.22	5418.64
9.24	5400.58
9.26	4876.78
9.28	5490.89
9.3	5472.83
9.32	5364.46
9.34	5834.07
9.36	5183.84
9.38	5653.45
9.4	5039.34
9.42	4876.78
9.44	5003.21
9.46	4985.15
9.48	4912.9
9.5	5942.45
9.52	5183.84
9.54	5147.71
9.56	5508.95
9.58	5039.34
9.6	4858.72
9.62	5075.46
9.64	5147.71
9.66	5635.39
9.68	5165.77
9.7	5761.82
9.72	5508.95
9.74	5906.32
9.76	5779.89
9.78	5238.02
9.8	5165.77
9.82	5039.34
9.84	5400.58
9.86	5382.52
9.88	5382.52
9.9	5129.65
9.92	5075.46
9.94	5346.4
9.96	5653.45
9.98	4967.09
10	5454.77
10.02	5454.77
10.04	4985.15
10.06	5490.89
10.08	5075.46
10.1	5527.02
10.12	5292.21
10.14	4786.47
10.16	5779.89
10.18	5238.02
10.2	5382.52
10.22	5364.46
10.24	5129.65
10.26	4768.41
10.28	4551.66
10.3	5563.14
10.32	5454.77
10.34	4985.15
10.36	4985.15
10.38	5147.71
10.4	5635.39
10.42	5725.7
10.44	5147.71
10.46	5310.27
10.48	4930.97
10.5	5490.89
10.52	5563.14
10.54	5816.01
10.56	5183.84
10.58	4967.09
10.6	5075.46
10.62	5183.84
10.64	5563.14
10.66	5364.46
10.68	4949.03
10.7	5274.15
10.72	5653.45
10.74	5328.33
10.76	5165.77
10.78	5400.58
10.8	5400.58
10.82	4605.85
10.84	5563.14
10.86	5310.27
10.88	5147.71
10.9	5039.34
10.92	5165.77
10.94	5183.84
10.96	5310.27
10.98	5021.28
11	5039.34
11.02	5274.15
11.04	5527.02
11.06	5201.9
11.08	5310.27
11.1	4678.1
