Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiFTFSI_03_0001_0099-4_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.00908
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
5	3811.11
5.02	3413.75
5.04	3269.25
5.06	3522.12
5.08	3088.63
5.1	3702.74
5.12	3197
5.14	3431.81
5.16	3485.99
5.18	3178.94
5.2	3558.24
5.22	3377.62
5.24	3070.56
5.26	3576.31
5.28	3269.25
5.3	3540.18
5.32	3197
5.34	3142.81
5.36	3233.12
5.38	3269.25
5.4	2980.25
5.42	3774.99
5.44	3467.93
5.46	3684.68
5.48	3811.11
5.5	3576.31
5.52	3413.75
5.54	3323.44
5.56	2908.01
5.58	2998.32
5.6	3449.87
5.62	3504.06
5.64	2817.69
5.66	3052.5
5.68	2889.94
5.7	3359.56
5.72	2727.38
5.74	3088.63
5.76	3287.31
5.78	3287.31
5.8	3287.31
5.82	3251.19
5.84	3197
5.86	3576.31
5.88	3178.94
5.9	3522.12
5.92	3558.24
5.94	3720.8
5.96	3142.81
5.98	3485.99
6	3124.75
6.02	3395.68
6.04	3377.62
6.06	3305.37
6.08	3142.81
6.1	2763.51
6.12	3323.44
6.14	3359.56
6.16	3106.69
6.18	2781.57
6.2	3215.06
6.22	2944.13
6.24	3233.12
6.26	3287.31
6.28	3449.87
6.3	3359.56
6.32	3052.5
6.34	3124.75
6.36	3106.69
6.38	3142.81
6.4	3070.56
6.42	3485.99
6.44	2817.69
6.46	2998.32
6.48	3522.12
6.5	2727.38
6.52	2908.01
6.54	3540.18
6.56	3612.43
6.58	3323.44
6.6	3449.87
6.62	3287.31
6.64	2871.88
6.66	2709.32
6.68	3142.81
6.7	3413.75
6.72	2673.2
6.74	3142.81
6.76	2944.13
6.78	3070.56
6.8	3142.81
6.82	3522.12
6.84	2908.01
6.86	2998.32
6.88	3106.69
6.9	3052.5
6.92	3106.69
6.94	3070.56
6.96	3124.75
6.98	3359.56
7	2926.07
7.02	3178.94
7.04	3197
7.06	3088.63
7.08	3449.87
7.1	3287.31
7.12	3287.31
7.14	3160.88
7.16	2908.01
7.18	3323.44
7.2	3052.5
7.22	3088.63
7.24	3124.75
7.26	3305.37
7.28	3233.12
7.3	2998.32
7.32	3070.56
7.34	2691.26
7.36	2763.51
7.38	2908.01
7.4	3485.99
7.42	2655.14
7.44	3341.5
7.46	2889.94
7.48	2763.51
7.5	2781.57
7.52	2962.19
7.54	2619.01
7.56	3323.44
7.58	3359.56
7.6	3215.06
7.62	2908.01
7.64	2998.32
7.66	3142.81
7.68	2908.01
7.7	3052.5
7.72	3630.49
7.74	3233.12
7.76	2980.25
7.78	3233.12
7.8	2853.82
7.82	2998.32
7.84	2944.13
7.86	3160.88
7.88	2709.32
7.9	3413.75
7.92	2853.82
7.94	2871.88
7.96	3305.37
7.98	2980.25
8	3233.12
8.02	2980.25
8.04	3088.63
8.06	3034.44
8.08	3233.12
8.1	3178.94
8.12	2998.32
8.14	3323.44
8.16	2889.94
8.18	3160.88
8.2	2926.07
8.22	2926.07
8.24	3558.24
8.26	2980.25
8.28	2908.01
8.3	2745.45
8.32	3106.69
8.34	2655.14
8.36	3215.06
8.38	3178.94
8.4	3359.56
8.42	2853.82
8.44	3215.06
8.46	3305.37
8.48	2962.19
8.5	3052.5
8.52	3287.31
8.54	3088.63
8.56	3070.56
8.58	2926.07
8.6	2926.07
8.62	2889.94
8.64	2853.82
8.66	3034.44
8.68	2727.38
8.7	2619.01
8.72	2528.7
8.74	2871.88
8.76	2944.13
8.78	2655.14
8.8	2871.88
8.82	2474.51
8.84	3034.44
8.86	3016.38
8.88	2600.95
8.9	3016.38
8.92	3052.5
8.94	3142.81
8.96	2799.63
8.98	3052.5
9	2980.25
9.02	3124.75
9.04	2998.32
9.06	3088.63
9.08	3323.44
9.1	3233.12
9.12	3323.44
9.14	3305.37
9.16	3305.37
9.18	3630.49
9.2	3395.68
9.22	3088.63
9.24	2673.2
9.26	2853.82
9.28	2745.45
9.3	2799.63
9.32	2998.32
9.34	2998.32
9.36	2673.2
9.38	2908.01
9.4	2691.26
9.42	3052.5
9.44	2998.32
9.46	3197
9.48	2582.89
9.5	2926.07
9.52	2889.94
9.54	3269.25
9.56	3106.69
9.58	2998.32
9.6	3377.62
9.62	3034.44
9.64	2691.26
9.66	3178.94
9.68	3034.44
9.7	3088.63
9.72	2709.32
9.74	2619.01
9.76	3377.62
9.78	2709.32
9.8	2673.2
9.82	2853.82
9.84	3052.5
9.86	2673.2
9.88	2727.38
9.9	2781.57
9.92	3197
9.94	2853.82
9.96	2835.76
9.98	2745.45
10	2637.07
10.02	3178.94
10.04	3016.38
10.06	2528.7
10.08	2600.95
10.1	2727.38
10.12	2980.25
10.14	3088.63
10.16	2889.94
10.18	2546.76
10.2	3034.44
10.22	2709.32
10.24	2926.07
10.26	2926.07
10.28	2727.38
10.3	3034.44
10.32	3070.56
10.34	2763.51
10.36	2655.14
10.38	2889.94
10.4	2528.7
10.42	2600.95
10.44	2366.14
10.46	2889.94
10.48	2817.69
10.5	2474.51
10.52	2275.83
10.54	3377.62
10.56	2709.32
10.58	2926.07
10.6	2582.89
10.62	2980.25
10.64	2781.57
10.66	2727.38
10.68	2763.51
10.7	3178.94
10.72	2456.45
10.74	2528.7
10.76	2853.82
10.78	2456.45
10.8	2745.45
10.82	2817.69
